S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.0231,-0.1124,0.8424,0.5263,-0.1511,0.1629,0.8444,0.4872,-0.0083,0.1375,0.8562,0.4978,-0.062,0.0391,0.9524,0.2957,0.968663305,0.229157158,0.06638303,-0.069077426,55.54743699,-37.43907441,4.285254019
-0.0196,-0.1148,0.8413,0.5277,-0.1431,0.1639,0.8476,0.4838,-0.0019,0.1376,0.8498,0.5087,-0.0575,0.0376,0.9544,0.2904,0.964152794,0.246586008,0.067888692,-0.070681375,55.54743699,-37.43907441,4.285254019
-0.0165,-0.1187,0.8406,0.528,-0.1406,0.163,0.8492,0.4821,0.001,0.1326,0.8442,0.5192,-0.0562,0.0356,0.9553,0.2877,0.963332049,0.249180459,0.067432674,-0.073166225,55.54743699,-37.43907441,4.285254019
-0.0162,-0.1214,0.8397,0.5288,-0.1392,0.1636,0.85,0.4808,0.0023,0.1305,0.8422,0.523,-0.0545,0.0341,0.9565,0.2843,0.963332049,0.249180459,0.067432674,-0.073166225,55.54743699,-37.43907441,4.285254019
-0.0162,-0.1231,0.8394,0.5291,-0.1391,0.1628,0.8504,0.4805,0.0017,0.1279,0.8417,0.5244,-0.0543,0.0345,0.9567,0.2838,0.958713472,0.268040624,0.067376228,-0.066956308,55.54743699,-37.43907441,4.285254019
-0.0162,-0.1231,0.8394,0.5291,-0.1391,0.1628,0.8504,0.4805,0.0017,0.1279,0.8417,0.5244,-0.0543,0.0345,0.9567,0.2838,0.958508804,0.269853455,0.065544405,-0.064373251,55.54743699,-37.43907441,4.285254019
-0.0166,-0.1231,0.8394,0.5289,-0.1396,0.1621,0.8502,0.481,0.0007,0.1266,0.8436,0.5217,-0.0538,0.0341,0.9565,0.2844,0.959701709,0.265962017,0.064280175,-0.064069442,55.54743699,-37.43907441,4.285254019
-0.0181,-0.1218,0.8403,0.5278,-0.1427,0.1604,0.848,0.4844,-0.0036,0.1281,0.8511,0.509,-0.0541,0.0343,0.9561,0.2855,0.963830079,0.250520738,0.061728266,-0.066787419,55.54743699,-37.43907441,4.285254019
-0.0203,-0.1188,0.841,0.5272,-0.1466,0.1593,0.8444,0.4898,-0.0095,0.1298,0.8574,0.4977,-0.0544,0.0357,0.9548,0.2897,0.963830079,0.250520738,0.061728266,-0.066787419,55.54743699,-37.43907441,4.285254019
-0.0256,-0.111,0.8419,0.5272,-0.1563,0.156,0.8361,0.502,-0.0227,0.1322,0.8735,0.4678,-0.0543,0.0382,0.9526,0.2966,0.968182549,0.233586049,0.05741915,-0.069015578,55.54743699,-37.43907441,4.285254019
-0.0256,-0.111,0.8419,0.5272,-0.1563,0.156,0.8361,0.502,-0.0227,0.1322,0.8735,0.4678,-0.0543,0.0382,0.9526,0.2966,0.97004315,0.22653423,0.057004936,-0.066700584,55.54743699,-37.43907441,4.285254019
-0.0321,-0.1054,0.8427,0.5269,-0.1672,0.1513,0.8284,0.5126,-0.0379,0.1303,0.8907,0.4337,-0.054,0.041,0.9501,0.3042,0.985731572,0.146613091,0.033949979,-0.075400724,51.21262834,-34.77563337,8.447280109
-0.0437,-0.0955,0.8433,0.5269,-0.1846,0.1426,0.8159,0.5288,-0.066,0.1196,0.9252,0.3539,-0.054,0.0463,0.9475,0.3116,0.996097896,0.050435298,0.008308376,-0.071946042,51.21262834,-34.77563337,8.447280109
-0.0461,-0.0896,0.8441,0.5264,-0.1919,0.1388,0.8082,0.539,-0.0745,0.1214,0.938,0.3157,-0.0563,0.0494,0.9433,0.3231,0.997200419,-0.002113875,0.00616349,-0.074490716,51.21262834,-34.77563337,8.447280109
-0.0476,-0.0793,0.843,0.5299,-0.197,0.1345,0.7976,0.5538,-0.0773,0.1296,0.9484,0.2787,-0.053,0.0538,0.9403,0.3318,0.997200419,-0.002113875,0.00616349,-0.074490716,51.21262834,-34.77563337,8.447280109
-0.0476,-0.0793,0.843,0.5299,-0.197,0.1345,0.7976,0.5538,-0.0773,0.1296,0.9484,0.2787,-0.053,0.0538,0.9403,0.3318,0.995389017,-0.049910782,0.005587603,-0.081721456,51.21262834,-34.77563337,8.447280109
-0.0496,-0.074,0.8399,0.5353,-0.2022,0.13,0.7892,0.565,-0.0744,0.1351,0.9567,0.2463,-0.0458,0.061,0.9371,0.3405,0.992215323,-0.093316179,0.00507478,-0.082310935,51.21262834,-34.77563337,8.447280109
-0.0618,-0.0687,0.8333,0.545,-0.2139,0.1216,0.7765,0.5799,-0.0784,0.139,0.9694,0.1862,-0.0426,0.0642,0.9338,0.3493,0.98262547,-0.163865824,0.00468564,-0.087024262,17.120214,-33.17787024,5.400549369
-0.0714,-0.0668,0.8294,0.55,-0.2161,0.1182,0.7727,0.5848,-0.087,0.1397,0.9761,0.1414,-0.0424,0.066,0.9325,0.3523,0.973095326,-0.211877621,0.000143073,-0.090517074,17.120214,-33.17787024,5.400549369
-0.0814,-0.0583,0.8242,0.5572,-0.2192,0.1137,0.7671,0.5919,-0.0975,0.1445,0.9815,0.0789,-0.0384,0.0692,0.9339,0.3485,0.973095326,-0.211877621,0.000143073,-0.090517074,17.120214,-33.17787024,5.400549369
-0.0814,-0.0583,0.8242,0.5572,-0.2192,0.1137,0.7671,0.5919,-0.0975,0.1445,0.9815,0.0789,-0.0384,0.0692,0.9339,0.3485,0.957940197,-0.269587993,-0.008467963,-0.097985647,17.120214,-33.17787024,5.400549369
-0.0877,-0.0527,0.822,0.5602,-0.2246,0.1117,0.7617,0.5972,-0.0973,0.1473,0.9829,0.0503,-0.0379,0.0726,0.9332,0.3496,0.949409776,-0.298226317,-0.005705358,-0.098232323,7.395068202,-33.03114623,3.146915544
-0.0932,-0.0463,0.8156,0.5691,-0.2357,0.1056,0.7518,0.6065,-0.1013,0.1475,0.9833,0.0312,-0.04,0.0734,0.932,0.3525,0.948661067,-0.300894391,-0.003136911,-0.097441804,3.691911401,-33.3322435,2.616444078
-0.0953,-0.0421,0.8113,0.5752,-0.2385,0.1,0.7442,0.6157,-0.0986,0.1477,0.984,0.0145,-0.0372,0.0754,0.9299,0.3579,0.948661067,-0.300894391,-0.003136911,-0.097441804,3.691911401,-33.3322435,2.616444078
-0.0935,-0.0357,0.8071,0.5818,-0.2354,0.0922,0.7359,0.628,-0.0827,0.152,0.9841,-0.037,-0.0303,0.078,0.9283,0.3622,0.935072261,-0.340650674,-0.003315011,-0.097908098,3.691911401,-33.3322435,2.616444078
-0.0935,-0.0357,0.8071,0.5818,-0.2354,0.0922,0.7359,0.628,-0.0827,0.152,0.9841,-0.037,-0.0303,0.078,0.9283,0.3622,0.914639048,-0.39269263,0.010989885,-0.095431302,3.691911401,-33.3322435,2.616444078
-0.0926,-0.0331,0.8079,0.5809,-0.24,0.0851,0.7297,0.6344,-0.0717,0.1544,0.9836,-0.059,-0.0226,0.081,0.9268,0.366,0.904171181,-0.417014531,0.017067915,-0.091005733,-3.110990881,-37.78000307,0.737646989
-0.0941,-0.0275,0.8059,0.5838,-0.2445,0.0826,0.7246,0.6389,-0.0714,0.1544,0.9831,-0.0671,-0.0239,0.0816,0.9255,0.3687,0.899584439,-0.426781845,0.019821548,-0.090621193,-4.90208375,-38.42978102,0.482847993
-0.0953,-0.0233,0.806,0.5836,-0.2476,0.0799,0.7175,0.646,-0.0685,0.155,0.9824,-0.0778,-0.0233,0.0845,0.9245,0.3708,0.899584439,-0.426781845,0.019821548,-0.090621193,-4.90208375,-38.42978102,0.482847993
-0.0953,-0.0233,0.806,0.5836,-0.2476,0.0799,0.7175,0.646,-0.0685,0.155,0.9824,-0.0778,-0.0233,0.0845,0.9245,0.3708,0.898794954,-0.429045821,0.019820368,-0.087718112,-4.90208375,-38.42978102,0.482847993
-0.096,-0.016,0.8085,0.5803,-0.2476,0.0788,0.7138,0.6503,-0.0589,0.1566,0.98,-0.1073,-0.0213,0.0881,0.924,0.3713,0.880835778,-0.464928257,0.034053179,-0.08252532,-4.90208375,-38.42978102,0.482847993
-0.0969,-0.0116,0.8112,0.5764,-0.2491,0.0775,0.7099,0.6541,-0.0537,0.1587,0.9777,-0.1264,-0.0189,0.0921,0.9238,0.3709,0.872054875,-0.481402202,0.039378534,-0.078876783,-9.567432733,-41.00649223,-0.256228904
-0.0991,-0.007,0.8131,0.5734,-0.2531,0.0759,0.7034,0.6597,-0.0521,0.1589,0.9758,-0.1405,-0.0199,0.0938,0.9234,0.3714,0.864947923,-0.493951381,0.043510395,-0.07735612,-12.232623,-41.70483891,-0.427820059
-0.1029,-0.0051,0.8146,0.5707,-0.2551,0.0737,0.6995,0.6633,-0.0525,0.1618,0.9736,-0.1514,-0.0202,0.0956,0.9232,0.3716,0.864947923,-0.493951381,0.043510395,-0.07735612,-12.232623,-41.70483891,-0.427820059
-0.1036,-0.0016,0.8184,0.5651,-0.2554,0.0705,0.6936,0.6697,-0.0493,0.1621,0.9703,-0.1721,-0.0187,0.097,0.9229,0.372,0.859230501,-0.503391761,0.045804618,-0.07887724,-12.232623,-41.70483891,-0.427820059
-0.1036,-0.0016,0.8184,0.5651,-0.2554,0.0705,0.6936,0.6697,-0.0493,0.1621,0.9703,-0.1721,-0.0187,0.097,0.9229,0.372,0.84824385,-0.521613197,0.049648124,-0.07705263,-12.232623,-41.70483891,-0.427820059
-0.1033,0.0014,0.82,0.5628,-0.2569,0.0678,0.6887,0.6744,-0.048,0.1632,0.9682,-0.1829,-0.0166,0.0988,0.9219,0.374,0.841262093,-0.532858298,0.050938058,-0.07579867,-15.59924989,-42.91398011,-0.689825133
-0.1035,0.0037,0.8204,0.5623,-0.2587,0.0636,0.6811,0.6819,-0.0487,0.1641,0.9652,-0.1973,-0.0161,0.1002,0.921,0.376,0.832093189,-0.546933208,0.052164468,-0.075920087,-17.9079254,-43.17598507,-1.064807749
-0.1033,0.007,0.8209,0.5615,-0.2592,0.0614,0.6762,0.6868,-0.0501,0.1661,0.9633,-0.2045,-0.0145,0.1025,0.9195,0.379,0.832093189,-0.546933208,0.052164468,-0.075920087,-17.9079254,-43.17598507,-1.064807749
-0.1038,0.0093,0.8212,0.5609,-0.2527,0.0687,0.6686,0.6959,-0.0516,0.1669,0.9615,-0.2117,-0.0139,0.1038,0.9184,0.3814,0.830385382,-0.549929379,0.051641251,-0.073286951,-17.9079254,-43.17598507,-1.064807749
-0.106,0.0122,0.8207,0.5612,-0.2529,0.0716,0.6654,0.6986,-0.0553,0.1672,0.9601,-0.2169,-0.015,0.1058,0.9169,0.3845,0.820459861,-0.564259515,0.051613027,-0.076111186,-17.9079254,-43.17598507,-1.064807749
-0.106,0.0122,0.8207,0.5612,-0.2529,0.0716,0.6654,0.6986,-0.0553,0.1672,0.9601,-0.2169,-0.015,0.1058,0.9169,0.3845,0.818722041,-0.566822099,0.053687227,-0.074327719,-19.45339209,-43.00494866,-1.496595516
