S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.281,0.1105,0.943,0.1395,0.4675,0.0139,0.8081,0.3578,-0.6376,0.1376,0.6843,0.3255,0.1539,0.1672,0.9689,0.0965,0.626181473,0.127257497,-0.757125778,-0.135878064,34.42243781,38.68662154,24.91090316
0.2818,0.1167,0.9423,0.1376,0.4704,0.0178,0.8087,0.3526,-0.6513,0.1251,0.6799,0.3126,0.1522,0.1661,0.9694,0.0973,0.611228863,0.109670965,-0.774686007,-0.119302754,33.2572919,41.6532943,25.97013332
0.2818,0.1167,0.9423,0.1376,0.4704,0.0178,0.8087,0.3526,-0.6513,0.1251,0.6799,0.3126,0.1522,0.1661,0.9694,0.0973,0.611228863,0.109670965,-0.774686007,-0.119302754,33.2572919,41.6532943,25.97013332
0.2824,0.1204,0.9418,0.1362,0.4718,0.0205,0.8095,0.3487,-0.6523,0.1205,0.683,0.3054,0.1505,0.165,0.9697,0.0979,0.614052827,0.103539151,-0.77409447,-0.114002288,30.24760677,42.70281043,25.74424486
0.2797,0.1247,0.9423,0.1346,0.4588,0.0239,0.8199,0.3414,-0.6494,0.1143,0.6909,0.296,0.1491,0.1643,0.97,0.0982,0.621345696,0.095558377,-0.770527662,-0.105286489,30.24760677,42.70281043,25.74424486
0.2744,0.1324,0.9432,0.1317,0.4404,0.0222,0.8303,0.3406,-0.6508,0.1044,0.6952,0.2865,0.1478,0.1638,0.9703,0.0986,0.62380607,0.087425782,-0.770970525,-0.093953016,30.24760677,42.70281043,25.74424486
0.2706,0.1366,0.9439,0.1301,0.4109,0.0225,0.8477,0.3344,-0.6508,0.0953,0.701,0.2754,0.1458,0.1625,0.9707,0.0994,0.628538267,0.078014449,-0.769343355,-0.083451752,26.52284269,42.19254506,25.45046357
0.2657,0.1423,0.9449,0.1274,0.3929,0.0246,0.8588,0.3276,-0.6484,0.0866,0.7088,0.2637,0.1438,0.1612,0.9712,0.1001,0.628538267,0.078014449,-0.769343355,-0.083451752,26.52284269,42.19254506,25.45046357
0.2657,0.1423,0.9449,0.1274,0.3929,0.0246,0.8588,0.3276,-0.6484,0.0866,0.7088,0.2637,0.1438,0.1612,0.9712,0.1001,0.635575837,0.068187222,-0.76557912,-0.072680597,22.88366529,41.4266343,24.85711386
0.2636,0.1461,0.9451,0.1255,0.37,0.0298,0.8734,0.315,-0.6499,0.0826,0.7094,0.2595,0.1425,0.1605,0.9714,0.1008,0.636034096,0.064503377,-0.765869064,-0.068880474,22.88366529,41.4266343,24.85711386
0.2614,0.1537,0.945,0.1218,0.3546,0.0374,0.8832,0.3045,-0.6545,0.0766,0.7072,0.2559,0.1408,0.1596,0.9716,0.1022,0.633466112,0.061125264,-0.768651789,-0.064488872,22.88366529,41.4266343,24.85711386
0.2598,0.1577,0.9451,0.1195,0.3424,0.0425,0.8903,0.297,-0.6553,0.0728,0.708,0.2525,0.1397,0.1593,0.9718,0.1027,0.63415308,0.05812085,-0.768638824,-0.060549119,21.86900815,42.32160832,25.2975146
0.2584,0.1625,0.945,0.1171,0.3289,0.0576,0.8995,0.2816,-0.6541,0.0683,0.7108,0.2494,0.1395,0.1593,0.9718,0.1031,0.63415308,0.05812085,-0.768638824,-0.060549119,21.86900815,42.32160832,25.2975146
0.2584,0.1625,0.945,0.1171,0.3289,0.0576,0.8995,0.2816,-0.6541,0.0683,0.7108,0.2494,0.1395,0.1593,0.9718,0.1031,0.636162164,0.055362711,-0.767571479,-0.055377763,20.91048356,42.00068484,25.5501008
0.2572,0.1658,0.9448,0.1161,0.3197,0.0673,0.9051,0.2718,-0.6539,0.0656,0.7116,0.2482,0.1387,0.1589,0.9719,0.1038,0.63718517,0.054365754,-0.766962432,-0.05299105,20.91048356,42.00068484,25.5501008
0.2563,0.1707,0.9443,0.1148,0.3118,0.0834,0.9108,0.2572,-0.6583,0.0576,0.7098,0.2432,0.1371,0.1586,0.9722,0.104,0.638446854,0.054596647,-0.765898514,-0.052955528,20.91048356,42.00068484,25.5501008
0.256,0.1729,0.9441,0.1146,0.3094,0.0936,0.9132,0.2478,-0.6589,0.0552,0.7098,0.2422,0.1359,0.1583,0.9723,0.1049,0.639519355,0.054256975,-0.764991775,-0.053467363,20.07713077,42.67519384,26.2103571
0.2556,0.1738,0.9439,0.1151,0.3085,0.1024,0.9147,0.2396,-0.658,0.0519,0.7109,0.2423,0.1352,0.1582,0.9724,0.1052,0.639519355,0.054256975,-0.764991775,-0.053467363,20.07713077,42.67519384,26.2103571
0.2556,0.1738,0.9439,0.1151,0.3085,0.1024,0.9147,0.2396,-0.658,0.0519,0.7109,0.2423,0.1352,0.1582,0.9724,0.1052,0.636119631,0.049721296,-0.768947591,-0.039990123,19.93913837,42.44323838,26.73384658
0.2554,0.1734,0.944,0.1157,0.31,0.103,0.9143,0.239,-0.6574,0.0494,0.7118,0.2419,0.1355,0.158,0.9723,0.1058,0.636507045,0.049336043,-0.768757466,-0.037903747,19.93913837,42.44323838,26.73384658
0.2564,0.1696,0.9442,0.1173,0.3187,0.091,0.9088,0.2531,-0.6555,0.0477,0.7136,0.2422,0.1358,0.1579,0.9722,0.1058,0.638035002,0.049997303,-0.767541167,-0.035946675,19.93913837,42.44323838,26.73384658
0.2586,0.1643,0.9443,0.1194,0.3375,0.0673,0.8961,0.2799,-0.6519,0.0496,0.716,0.2444,0.1383,0.1585,0.9719,0.1049,0.639329233,0.05224691,-0.766267545,-0.036911273,19.91904251,41.94843557,27.10032062
0.2685,0.1511,0.9432,0.1239,0.4083,0.0264,0.8475,0.3379,-0.6418,0.0592,0.7218,0.252,0.1416,0.1594,0.9714,0.1038,0.645948446,0.059191351,-0.759765485,-0.044759317,19.91904251,41.94843557,27.10032062
0.2685,0.1511,0.9432,0.1239,0.4083,0.0264,0.8475,0.3379,-0.6418,0.0592,0.7218,0.252,0.1416,0.1594,0.9714,0.1038,0.645948446,0.059191351,-0.759765485,-0.044759317,21.50778459,39.61778629,26.33526924
0.2777,0.1425,0.9414,0.1275,0.4445,0.0234,0.8259,0.3457,-0.6318,0.0744,0.7249,0.2639,0.1478,0.1612,0.9704,0.1017,0.648998946,0.069534905,-0.755334315,-0.058611763,21.50778459,39.61778629,26.33526924
0.2786,0.1353,0.9419,0.1294,0.4516,0.0222,0.8223,0.3454,-0.6168,0.1065,0.7216,0.2957,0.1524,0.1631,0.9696,0.1002,0.652688076,0.097579569,-0.745607901,-0.092441126,21.50778459,39.61778629,26.33526924
0.278,0.1293,0.9425,0.1322,0.4522,0.0199,0.8203,0.3493,-0.6097,0.1262,0.7138,0.3205,0.1569,0.1669,0.9684,0.098,0.648129277,0.118873939,-0.743639184,-0.11312909,29.17166685,36.7750762,25.41027324
0.2774,0.1257,0.9429,0.1347,0.4487,0.0136,0.8182,0.359,-0.603,0.1524,0.6993,0.352,0.158,0.1688,0.968,0.0973,0.648129277,0.118873939,-0.743639184,-0.11312909,37.54808199,36.26116025,25.60082136
0.2774,0.1257,0.9429,0.1347,0.4487,0.0136,0.8182,0.359,-0.603,0.1524,0.6993,0.352,0.158,0.1688,0.968,0.0973,0.6471648,0.117943738,-0.744850747,-0.111643904,37.54808199,36.26116025,25.60082136
0.2767,0.1195,0.9434,0.1376,0.4458,0.0086,0.8172,0.3649,-0.6008,0.163,0.6956,0.3582,0.1571,0.1705,0.9678,0.0968,0.647686953,0.117324783,-0.744765453,-0.109822246,37.54808199,36.26116025,25.60082136
0.2772,0.116,0.9436,0.1389,0.4454,0.0048,0.8158,0.3686,-0.5982,0.166,0.6978,0.3571,0.1573,0.1714,0.9677,0.0964,0.647446675,0.11699839,-0.745149071,-0.108981842,37.54808199,36.26116025,25.60082136
0.2778,0.1115,0.9436,0.1405,0.447,0.0043,0.8146,0.3695,-0.5893,0.174,0.702,0.3598,0.1577,0.1724,0.9675,0.0961,0.650926675,0.151632453,-0.726272739,-0.160717057,37.63804799,35.42965034,24.13206492
0.278,0.1078,0.9439,0.1416,0.4473,0.003,0.8138,0.3707,-0.5856,0.1787,0.7009,0.3655,0.1578,0.1731,0.9673,0.0965,0.651920653,0.156379632,-0.723236201,-0.165753644,39.83570341,34.45033986,23.8682996
0.2789,0.1049,0.9438,0.1424,0.4463,-0.0009,0.8128,0.3743,-0.5835,0.1834,0.6975,0.3732,0.1584,0.1737,0.9671,0.0968,0.651920653,0.156379632,-0.723236201,-0.165753644,39.83570341,34.45033986,23.8682996
0.2789,0.1049,0.9438,0.1424,0.4463,-0.0009,0.8128,0.3743,-0.5835,0.1834,0.6975,0.3732,0.1584,0.1737,0.9671,0.0968,0.650170867,0.163014925,-0.721928164,-0.171824634,39.83570341,34.45033986,23.8682996
0.2795,0.1021,0.9438,0.1433,0.4462,-0.0025,0.8121,0.3759,-0.5793,0.1896,0.6944,0.3822,0.1596,0.1741,0.9667,0.0974,0.649191044,0.170757453,-0.719059285,-0.179851677,39.83570341,34.45033986,23.8682996
0.2805,0.1011,0.9436,0.1431,0.4487,-0.0012,0.8112,0.3748,-0.5783,0.1906,0.695,0.3822,0.1594,0.1744,0.9667,0.0978,0.6503738,0.170285139,-0.717927285,-0.180547237,41.48237335,33.98258361,23.8564621
