S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.1989,-0.0762,0.9212,0.3254,0.32,-0.0405,0.7964,0.5114,-0.6917,0.0475,0.6368,0.3371,0.0523,0.0635,0.9805,0.178,0.651328284,0.17079563,-0.724580527,-0.146912829,37.92206676,47.69274175,40.57206209
0.1985,-0.0767,0.9214,0.325,0.3192,-0.0413,0.7962,0.5121,-0.6916,0.0478,0.6372,0.3366,0.0521,0.0634,0.9805,0.1779,0.651328284,0.17079563,-0.724580527,-0.146912829,37.81499611,47.7481774,40.47306737
0.1979,-0.0779,0.9215,0.3247,0.3189,-0.0416,0.7962,0.5124,-0.692,0.048,0.6369,0.3363,0.0516,0.0632,0.9806,0.1778,0.651745073,0.170344772,-0.724248336,-0.14722556,37.72997636,47.8309544,40.3873904
0.1988,-0.0767,0.9219,0.3232,0.3208,-0.0401,0.7966,0.5106,-0.6923,0.0483,0.6369,0.3355,0.0513,0.0631,0.9806,0.1778,0.652388005,0.169902689,-0.723765152,-0.147264969,37.61558986,47.86141384,40.27263902
0.1992,-0.0744,0.9226,0.3216,0.3217,-0.0393,0.7969,0.5096,-0.692,0.0485,0.6372,0.3355,0.0517,0.0632,0.9806,0.1778,0.651890927,0.169484385,-0.724223064,-0.147696364,37.51722098,47.812418,40.18344654
0.2005,-0.0689,0.9234,0.3198,0.3269,-0.0333,0.798,0.505,-0.6921,0.0464,0.6379,0.3344,0.0534,0.0634,0.9804,0.1782,0.651025394,0.169004894,-0.725250342,-0.147021165,37.46673056,47.80194812,40.29807724
0.2008,-0.064,0.924,0.319,0.3289,-0.0305,0.7986,0.5029,-0.6948,0.0426,0.637,0.3308,0.0537,0.0634,0.9803,0.1788,0.649111481,0.164080858,-0.728813575,-0.14339641,36.85725525,48.41836023,40.54095372
0.2011,-0.0519,0.9258,0.3157,0.3374,-0.0195,0.8004,0.4951,-0.7001,0.0334,0.6376,0.3195,0.054,0.0625,0.9799,0.181,0.648145199,0.157094472,-0.732004484,-0.139278727,35.69392189,48.83060992,40.43806757
0.2011,-0.0435,0.9266,0.3145,0.3399,-0.0155,0.8005,0.4932,-0.7069,0.0251,0.6356,0.3091,0.0545,0.0615,0.9797,0.1823,0.642171199,0.14213685,-0.741748045,-0.131236828,33.4312238,50.53069691,40.41645374
0.2044,-0.0177,0.9286,0.309,0.3676,0.0166,0.8037,0.4675,-0.724,0.003,0.6275,0.286,0.0539,0.0567,0.9788,0.1889,0.634204851,0.123908888,-0.753583253,-0.120594672,31.40863165,52.42571079,40.8933303
0.2067,-0.0038,0.9299,0.3038,0.3776,0.0277,0.8046,0.4572,-0.7335,-0.0052,0.6201,0.278,0.0528,0.054,0.9785,0.1917,0.621121571,0.113828351,-0.766567152,-0.116730041,30.54185477,54.92381273,41.98991882
0.2042,0.0347,0.9364,0.283,0.3929,0.0664,0.8189,0.4129,-0.7329,-0.032,0.6328,0.2475,0.0543,0.0512,0.9776,0.1964,0.621277037,0.113943435,-0.765823397,-0.12060788,25.95387957,54.75176192,40.71033698
0.1906,0.0499,0.9398,0.2789,0.3803,0.0716,0.8295,0.4024,-0.7351,-0.0441,0.6342,0.2355,0.0528,0.0507,0.9773,0.1986,0.627340285,0.080748361,-0.768665289,-0.095276142,22.52673198,55.5601223,40.64438628
0.1727,0.0817,0.947,0.2578,0.3414,0.0872,0.8629,0.3619,-0.7465,-0.0618,0.6253,0.2187,0.0425,0.0473,0.9768,0.2041,0.618642568,0.056462821,-0.780161803,-0.073762342,21.43420353,57.14904143,41.11143765
0.1698,0.0946,0.9483,0.2509,0.3341,0.0916,0.8683,0.3547,-0.7509,-0.072,0.6217,0.2106,0.0405,0.0464,0.9769,0.2044,0.616693482,0.046738475,-0.783298369,-0.06283573,20.10209196,58.24887943,41.63159645
0.1662,0.1286,0.9492,0.2339,0.2913,0.1123,0.8991,0.3065,-0.7539,-0.092,0.6173,0.205,0.0328,0.0433,0.9761,0.2098,0.616265255,0.045163336,-0.784388559,-0.053962919,20.31727959,58.71799082,43.55625849
0.1666,0.1414,0.9487,0.2281,0.2846,0.1161,0.9044,0.2957,-0.755,-0.0974,0.6149,0.2054,0.0305,0.0428,0.976,0.2109,0.616382205,0.04145257,-0.785116469,-0.044122467,20.81807362,59.21829492,45.05744427
0.1677,0.1489,0.9473,0.2284,0.274,0.1199,0.9111,0.2833,-0.7553,-0.1036,0.613,0.2069,0.0266,0.0424,0.9755,0.2139,0.61635045,0.040209448,-0.785423646,-0.040062683,21.00576041,59.26023239,45.84415311
0.1674,0.1466,0.9479,0.2277,0.2781,0.1179,0.9085,0.2884,-0.7546,-0.1036,0.6132,0.2086,0.0273,0.0426,0.9755,0.2139,0.617907074,0.043016833,-0.784057512,-0.039927669,21.69304959,58.98771089,46.36859815
