seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566578943.77,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578943.79,-0.1531,-0.8844,-0.0537,0.4375,0.1928,0.9553,0.0081,-0.2235,0.2983,0.75,0.5729,-0.1423,-0.1237,-0.8178,-0.4923,0.2709,0.3873,0.8094,0.3475,-0.2719,0.2712,0.0286,0.955,0.116,0.1637,0.8653,0.2704,-0.3887,0.3052,0.7026,0.4577,-0.4511,-176.351701539,-52.220811084,158.568964157,-175.506726489,-25.4823960458,156.163021364,111.368828576,-33.7294375275,160.002175975,116.519072259,-34.3999885753,-175.522514782,150.036662732,-45.1906799602,141.567014329,7.86318406416,-30.7594172835,163.982849943,148.286415004,-49.5883809375,173.52471786,115.293757051,-65.989650202,177.755804123,0.0,0.0,0.0,0.0,0.0,0.0,0.0374657141712,0.0796930605982,0.0529455854534,2.74223218332,7.84991998396,13.8586612986,0.0,0.0,0.0,0.0,0.0,0.0,-0.00137,0.04667,-1.13053,-2.0696284497,5.08918195733,-10.0154216833,
1566578943.81,-0.1531,-0.8845,-0.0537,0.4372,0.1928,0.9553,0.0081,-0.2235,0.2985,0.7501,0.5726,-0.1423,-0.1238,-0.8175,-0.4926,0.2709,0.3874,0.8092,0.3476,-0.2722,0.2716,0.0328,0.9552,0.1124,0.1639,0.8653,0.2708,-0.3885,0.3053,0.7023,0.4583,-0.451,-176.363884925,-52.1856892641,158.578499657,-175.506726489,-25.4823960458,156.163021364,111.418018962,-33.7376899328,159.965979635,116.467377969,-34.4073834207,-175.516248636,150.035805686,-45.2340641122,141.558299933,8.27929669026,-30.7671930123,164.295923435,148.241348314,-49.5704224024,173.515173964,115.156975927,-65.9835071451,177.825933791,0.0,0.0,0.0,0.0,0.0,0.0,0.0374657141712,0.0796930605982,0.0529455854534,2.74223218332,7.84991998396,13.8586612986,0.0,0.0,0.0,0.0,0.0,0.0,-0.00137,0.04667,-1.13053,-2.0696284497,5.08918195733,-10.0154216833,
1566578943.83,-0.1531,-0.8845,-0.0537,0.4372,0.1928,0.9553,0.0081,-0.2235,0.2985,0.7501,0.5726,-0.1423,-0.1238,-0.8175,-0.4926,0.2709,0.3874,0.8092,0.3476,-0.2722,0.2716,0.0328,0.9552,0.1124,0.1639,0.8653,0.2708,-0.3885,0.3053,0.7023,0.4583,-0.451,-176.363884925,-52.1856892641,158.578499657,-175.506726489,-25.4823960458,156.163021364,111.418018962,-33.7376899328,159.965979635,116.467377969,-34.4073834207,-175.516248636,150.035805686,-45.2340641122,141.558299933,8.27929669026,-30.7671930123,164.295923435,148.241348314,-49.5704224024,173.515173964,115.156975927,-65.9835071451,177.825933791,0.0,0.0,0.0,0.0,0.0,0.0,0.0371409907168,0.0792857861328,0.0537433337474,2.91159987843,7.59328752545,13.9073322028,0.0,0.0,0.0,0.0,0.0,0.0,-0.00133,0.04596,-1.12897,-1.99778777854,5.17595028599,-10.037398969,
1566578943.85,-0.1531,-0.8845,-0.0537,0.4373,0.1928,0.9553,0.0081,-0.2235,0.2993,0.7497,0.5726,-0.1426,-0.1242,-0.817,-0.493,0.2717,0.3878,0.8089,0.3474,-0.2727,0.27,0.037,0.9559,0.1087,0.1641,0.8648,0.271,-0.3893,0.3057,0.7015,0.4583,-0.4517,-176.360509779,-52.1957669217,158.576448552,-175.506726489,-25.4823960458,156.163021364,111.426514077,-33.8254061845,159.898485142,116.378992687,-34.5093747171,-175.478066325,150.103541979,-45.2990668608,141.485921045,8.6453215889,-30.5459263848,164.660115007,148.195842603,-49.6784865161,173.5365381,115.05506716,-66.1038512739,177.895641052,0.0,0.0,0.0,0.0,0.0,0.0,0.0370112684402,0.0801136994048,0.0521545614922,2.81811176166,7.52610776128,13.913827492,0.0,0.0,0.0,0.0,0.0,0.0,-0.00133,0.04596,-1.12897,-1.99778777854,5.17595028599,-10.037398969,
1566578943.87,-0.1531,-0.8843,-0.0537,0.4376,0.1928,0.9553,0.0081,-0.2235,0.3008,0.7489,0.5727,-0.1429,-0.1249,-0.8159,-0.4942,0.2725,0.3889,0.8078,0.348,-0.2737,0.2684,0.0429,0.9567,0.1035,0.1646,0.8639,0.2719,-0.3905,0.3063,0.7,0.4592,-0.4528,-176.346264868,-52.2357795664,158.563527486,-175.506726489,-25.4823960458,156.163021364,111.429122357,-33.9672249602,159.758749629,116.167647832,-34.6275958225,-175.431523958,150.109732968,-45.480095162,141.351699671,9.175903026,-30.3143493794,165.160401765,148.042592451,-49.848360591,173.584156651,114.676501199,-66.2753278077,178.152363234,0.0,0.0,0.0,0.0,0.0,0.0,0.0370112684402,0.0801136994048,0.0521545614922,2.81811176166,7.52610776128,13.913827492,0.0,0.0,0.0,0.0,0.0,0.0,-0.00133,0.04596,-1.12897,-1.99778777854,5.17595028599,-10.037398969,
1566578943.89,-0.1531,-0.8843,-0.0537,0.4376,0.1928,0.9553,0.0081,-0.2235,0.3014,0.7491,0.5721,-0.1431,-0.1249,-0.8154,-0.4948,0.2728,0.3892,0.8072,0.3486,-0.2742,0.2676,0.0468,0.9569,0.1016,0.1647,0.8633,0.2728,-0.3912,0.3064,0.6992,0.4598,-0.4533,-176.346264868,-52.2357795664,158.563527486,-175.506726489,-25.4823960458,156.163021364,111.536480043,-34.0131827137,159.677079476,116.056731001,-34.6554568378,-175.377379177,150.051656934,-45.577095505,141.339742665,9.58736282134,-30.1810212983,165.287745276,147.876983772,-49.9430844814,173.671140915,114.426233276,-66.3442770581,178.340605674,0.0,0.0,0.0,0.0,0.0,0.0,0.0367113131726,0.0791769447224,0.0537826019986,3.1324388059,7.87239172578,13.9740795309,0.0,0.0,0.0,0.0,0.0,0.0,-0.00182,0.04529,-1.12726,-1.79276192286,5.47028623111,-10.0219402837,
1566578943.91,-0.1531,-0.8843,-0.0537,0.4376,0.1928,0.9553,0.0081,-0.2235,0.3018,0.7492,0.5717,-0.1437,-0.1246,-0.8146,-0.496,0.2734,0.3892,0.8065,0.3497,-0.275,0.2683,0.0521,0.9564,0.1019,0.1646,0.8624,0.2744,-0.392,0.3059,0.6984,0.4606,-0.4542,-176.346264868,-52.2357795664,158.563527486,-175.506726489,-25.4823960458,156.163021364,111.604447574,-34.0882080684,159.65403684,115.839404391,-34.6878441451,-175.240656529,149.90870955,-45.7170334475,141.408124779,10.2866435217,-30.1784543807,165.056283341,147.572938697,-50.0511450223,173.850224191,114.021228739,-66.4076961784,178.72951134,0.0,0.0,0.0,0.0,0.0,0.0,0.0367113131726,0.0791769447224,0.0537826019986,3.1324388059,7.87239172578,13.9740795309,0.0,0.0,0.0,0.0,0.0,0.0,-0.00182,0.04529,-1.12726,-1.79276192286,5.47028623111,-10.0219402837,
1566578943.93,-0.1531,-0.8843,-0.0537,0.4376,0.1928,0.9553,0.0081,-0.2235,0.3018,0.7492,0.5717,-0.1437,-0.1246,-0.8146,-0.496,0.2734,0.3892,0.8065,0.3497,-0.275,0.2683,0.0521,0.9564,0.1019,0.1646,0.8624,0.2744,-0.392,0.3059,0.6984,0.4606,-0.4542,-176.346264868,-52.2357795664,158.563527486,-175.506726489,-25.4823960458,156.163021364,111.687510079,-34.0649358127,159.623014535,115.690170117,-34.6516882914,-175.100489234,149.768045983,-45.8564860569,141.544572406,10.4550361418,-30.3522073935,165.02273191,147.391678719,-50.0957745696,174.012769391,113.629312848,-66.4496191817,179.126011194,0.0,0.0,0.0,0.0,0.0,0.0,0.0358023152916,0.0792855157456,0.0536525008744,3.09624118658,7.67144016782,14.0444407102,0.0,0.0,0.0,0.0,0.0,0.0,-0.00299,0.04472,-1.12565,-1.6108293237,5.68284238379,-9.92475500555,
1566578943.95,-0.1531,-0.8843,-0.0537,0.4375,0.1928,0.9553,0.0081,-0.2235,0.3018,0.7496,0.5712,-0.1436,-0.1238,-0.8142,-0.4968,0.2736,0.3887,0.806,0.3506,-0.276,0.2699,0.0532,0.9559,0.1016,0.1641,0.8621,0.2752,-0.3925,0.3052,0.6977,0.4613,-0.455,-176.349645706,-52.2257035889,158.565584478,-175.506726489,-25.4823960458,156.163021364,111.687510079,-34.0649358127,159.623014535,115.690170117,-34.6516882914,-175.100489234,149.768045983,-45.8564860569,141.544572406,10.4550361418,-30.3522073935,165.02273191,147.391678719,-50.0957745696,174.012769391,113.629312848,-66.4496191817,179.126011194,0.0,0.0,0.0,0.0,0.0,0.0,0.036957343513,0.0801874845784,0.0520688738342,2.8763059029,7.50972237694,13.9123939483,0.0,0.0,0.0,0.0,0.0,0.0,-0.00299,0.04472,-1.12565,-1.6108293237,5.68284238379,-9.92475500555,
