S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3885,0.1639,0.8653,0.2708,-0.2722,0.3874,0.8092,0.3476,37.4657141712,79.6930605982,52.9455854534
-0.3885,0.1639,0.8653,0.2708,-0.2722,0.3874,0.8092,0.3476,37.1409907168,79.2857861328,53.7433337474
-0.3893,0.1641,0.8648,0.271,-0.2727,0.3878,0.8089,0.3474,37.0112684402,80.1136994048,52.1545614922
-0.3912,0.1647,0.8633,0.2728,-0.2742,0.3892,0.8072,0.3486,36.7113131726,79.1769447224,53.7826019986
-0.392,0.1646,0.8624,0.2744,-0.275,0.3892,0.8065,0.3497,35.8023152916,79.2855157456,53.6525008744
-0.3925,0.1641,0.8621,0.2752,-0.276,0.3887,0.806,0.3506,36.957343513,80.1874845784,52.0688738342
-0.3935,0.1611,0.8613,0.2778,-0.2797,0.3854,0.8047,0.3542,35.257078151,79.5845659658,53.2298060654
-0.3942,0.1582,0.8609,0.2797,-0.2821,0.3822,0.8038,0.3576,34.7678197652,79.9149623338,52.862772679
-0.3942,0.1582,0.8609,0.2797,-0.2821,0.3822,0.8038,0.3576,36.143670431,80.2139545816,52.7152738718
-0.3963,0.1578,0.8591,0.2827,-0.2855,0.3825,0.8007,0.3616,34.945252564,79.778120382,52.959280432
-0.3974,0.1581,0.8579,0.2846,-0.286,0.3839,0.798,0.3659,35.2124201264,79.2769997186,53.7069694928
-0.3984,0.1587,0.8567,0.2863,-0.2872,0.3841,0.7972,0.3663,35.454287633,79.9946475346,53.1782197784
-0.3987,0.1596,0.8558,0.2879,-0.2886,0.3848,0.7963,0.3665,35.2433753856,79.22473604,54.3432314514
-0.397,0.1612,0.8551,0.2916,-0.2884,0.3866,0.7949,0.3678,35.0471895776,78.7172271928,55.3876202552
-0.3966,0.1616,0.8547,0.2931,-0.2872,0.3873,0.7943,0.3693,35.3631038976,79.7045747032,53.702780914
-0.3965,0.1618,0.8541,0.2948,-0.2875,0.3878,0.7935,0.3704,34.6612508736,78.5400666664,56.0652413376
-0.3964,0.1633,0.8524,0.299,-0.2881,0.3896,0.7913,0.3726,34.6088303722,78.4635887574,56.2009699636
-0.3963,0.1639,0.8519,0.3002,-0.288,0.3906,0.7905,0.3735,35.320313106,79.2509175734,54.4167829938
-0.3967,0.1646,0.8509,0.3022,-0.289,0.3926,0.7894,0.373,34.54896274,78.2190056882,56.4574865094
-0.3963,0.1648,0.8507,0.3032,-0.2888,0.3933,0.7891,0.3729,34.5512691368,78.4212265324,56.3182275956
-0.3948,0.1655,0.8508,0.3046,-0.2885,0.3942,0.7888,0.3728,35.514834408,78.827521634,54.8079711112
-0.393,0.1676,0.8502,0.3074,-0.2854,0.3984,0.7878,0.3729,34.9578243,78.158348095,56.5809187518
-0.3919,0.1693,0.8493,0.3103,-0.281,0.4022,0.7872,0.3733,35.7785775506,77.8473686674,57.0104002804
-0.39,0.1706,0.8491,0.3124,-0.2739,0.4052,0.7885,0.3726,36.126834214,78.187292948,55.70497097
-0.3872,0.1718,0.8484,0.3173,-0.2695,0.4127,0.7937,0.3563,36.394928072,78.410576252,57.970442348
