seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566579174.65,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579174.67,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.2977,0.7066,0.6225,-0.1558,-0.0742,-0.7423,-0.608,0.2713,0.4006,0.7514,0.4314,-0.2977,0.345,-0.0177,0.8503,0.3969,-0.0234,0.8615,0.2811,-0.4221,0.2348,0.6394,0.5223,-0.5128,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.6155298,-36.2277912826,163.670191953,97.4812756308,-29.5449596637,-165.366055619,137.699809564,-52.4826639674,145.467085584,17.7566829701,-36.9294058376,123.984238444,133.926422832,-45.5763008859,-156.630398591,80.4576418806,-64.32802097,-147.074735864,0.0,0.0,0.0,0.0,0.0,0.0,0.0374920681694,0.080030578915,0.051671016215,10.4820811119,13.0997006126,15.9102585128,0.0,0.0,0.0,0.0,0.0,0.0,0.00484,0.00934,-1.14603,5.63036758293,2.36355540418,-7.83049308946,
1566579174.69,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.2977,0.7066,0.6225,-0.1558,-0.0742,-0.7423,-0.608,0.2713,0.4006,0.7514,0.4314,-0.2977,0.345,-0.0177,0.8503,0.3969,-0.0234,0.8615,0.2811,-0.4221,0.2348,0.6394,0.5223,-0.5128,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.6155298,-36.2277912826,163.670191953,97.4812756308,-29.5449596637,-165.366055619,137.699809564,-52.4826639674,145.467085584,17.7566829701,-36.9294058376,123.984238444,133.926422832,-45.5763008859,-156.630398591,80.4576418806,-64.32802097,-147.074735864,0.0,0.0,0.0,0.0,0.0,0.0,0.037501831408,0.079951586652,0.051611728228,10.4384202141,13.1197366282,15.8877566666,0.0,0.0,0.0,0.0,0.0,0.0,0.00484,0.00934,-1.14603,5.63036758293,2.36355540418,-7.83049308946,
1566579174.71,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.2979,0.7066,0.6225,-0.1561,-0.0739,-0.7419,-0.6088,0.2708,0.401,0.7526,0.4268,-0.3005,0.342,-0.0179,0.853,0.3936,-0.0236,0.8616,0.2817,-0.4213,0.233,0.6396,0.5236,-0.5121,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.621043556,-36.266675191,163.672138792,97.3857670326,-29.4634987377,-165.356615233,138.564364143,-52.6431190842,145.096678005,17.3230355467,-36.7020492107,124.674521029,133.887722603,-45.4680047799,-156.638105711,80.3867505861,-64.0627074051,-146.991928875,0.0,0.0,0.0,0.0,0.0,0.0,0.037501831408,0.079951586652,0.051611728228,10.4384202141,13.1197366282,15.8877566666,0.0,0.0,0.0,0.0,0.0,0.0,0.00484,0.00934,-1.14603,5.63036758293,2.36355540418,-7.83049308946,
1566579174.73,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3016,0.7047,0.6223,-0.1584,-0.0737,-0.7409,-0.6096,0.2719,0.3997,0.7548,0.4218,-0.304,0.3331,-0.0187,0.8601,0.3857,-0.0245,0.8618,0.2823,-0.4206,0.2309,0.6401,0.5236,-0.5125,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.636706302,-36.7748960891,163.465990811,97.1850890685,-29.5249587051,-165.197357296,139.386268784,-52.77377751,144.999506516,16.1305723675,-35.980986219,126.424275989,133.819537362,-45.331543586,-156.552794622,80.3453346235,-63.9003508125,-146.763410454,0.0,0.0,0.0,0.0,0.0,0.0,0.0375647234616,0.080125675168,0.0517379721872,8.74665910232,14.0108339201,15.637804274,0.0,0.0,0.0,0.0,0.0,0.0,0.00491,0.00942,-1.14596,5.64169575803,2.37402518488,-7.79517955368,
1566579174.75,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3056,0.7017,0.6231,-0.1604,-0.0733,-0.7388,-0.611,0.2745,0.3975,0.7586,0.4136,-0.3088,0.3256,-0.0167,0.8645,0.3823,-0.0258,0.8622,0.282,-0.4199,0.2271,0.641,0.5236,-0.513,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.476354075,-37.3074590849,163.26393952,96.77849163,-29.6854712043,-164.842242935,140.719433372,-52.8826297597,144.819337345,15.6191658401,-35.1586124887,127.311737421,133.865165124,-45.2023169154,-156.46612256,80.3052077582,-63.596029126,-146.394816692,0.0,0.0,0.0,0.0,0.0,0.0,0.0375647234616,0.080125675168,0.0517379721872,8.74665910232,14.0108339201,15.637804274,0.0,0.0,0.0,0.0,0.0,0.0,0.00491,0.00942,-1.14596,5.64169575803,2.37402518488,-7.79517955368,
1566579174.78,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3114,0.6976,0.6239,-0.1643,-0.0729,-0.7379,-0.6114,0.2763,0.3941,0.7628,0.4078,-0.3104,0.3142,-0.0168,0.8699,0.3795,-0.0274,0.8624,0.2813,-0.4199,0.2253,0.6419,0.523,-0.5133,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.29206612,-38.1616244778,163.03046418,96.5947595019,-29.7967217266,-164.611334599,141.498190236,-52.6657635619,144.967298825,14.6274961942,-34.0237265785,128.363306354,133.899423445,-45.143678825,-156.299231059,80.429487272,-63.4847900082,-146.2971256,0.0,0.0,0.0,0.0,0.0,0.0,0.0374812936224,0.0809129463852,0.0515888722844,2.87638857429,16.6916510418,16.5240740637,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.00937,-1.14587,5.40600794018,2.5005283604,-7.65581723996,
1566579174.8,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3114,0.6976,0.6239,-0.1643,-0.0729,-0.7379,-0.6114,0.2763,0.3941,0.7628,0.4078,-0.3104,0.3142,-0.0168,0.8699,0.3795,-0.0274,0.8624,0.2813,-0.4199,0.2253,0.6419,0.523,-0.5133,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.29206612,-38.1616244778,163.03046418,96.5947595019,-29.7967217266,-164.611334599,141.498190236,-52.6657635619,144.967298825,14.6274961942,-34.0237265785,128.363306354,133.899423445,-45.143678825,-156.299231059,80.429487272,-63.4847900082,-146.2971256,0.0,0.0,0.0,0.0,0.0,0.0,0.0375407489342,0.0806540372664,0.0519265497262,3.07686765531,16.4894827397,16.454904074,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.00937,-1.14587,5.40600794018,2.5005283604,-7.65581723996,
1566579174.81,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3135,0.6959,0.624,-0.1672,-0.0716,-0.7372,-0.6115,0.2781,0.394,0.7646,0.404,-0.311,0.3072,-0.0187,0.8746,0.3743,-0.0285,0.8627,0.2814,-0.4191,0.2213,0.6427,0.523,-0.5141,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.208637333,-38.6106637907,163.05918172,96.4430271394,-29.8457028071,-164.308837793,142.164925759,-52.5706146914,144.690785544,13.6819131852,-33.4694642714,129.529657865,133.90061603,-45.003508438,-156.222903783,80.3284372564,-63.1795208268,-145.843937782,0.0,0.0,0.0,0.0,0.0,0.0,0.0375407489342,0.0806540372664,0.0519265497262,3.07686765531,16.4894827397,16.454904074,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.00937,-1.14587,5.40600794018,2.5005283604,-7.65581723996,
1566579174.83,-0.0933,-0.8677,0.0086,0.4879,0.1769,0.9537,0.007,-0.2426,0.3159,0.6939,0.6246,-0.1685,-0.0713,-0.7366,-0.6118,0.2788,0.3946,0.7662,0.4011,-0.3101,0.2941,-0.012,0.8786,0.376,-0.0299,0.8627,0.2828,-0.418,0.2186,0.6429,0.5241,-0.5139,-168.556577966,-57.7069199385,161.406014295,-175.301810443,-27.7317321988,157.823162303,102.083084226,-38.9459969262,162.956014477,96.3340914079,-29.8759818936,-164.194675064,142.708297054,-52.3626752615,144.341260689,13.6054366027,-31.7249001761,129.77989345,133.715748308,-44.7822896882,-156.056726832,80.1906507603,-62.8752065788,-145.593989656,0.0,0.0,0.0,0.0,0.0,0.0,0.0371236843796,0.0814573554828,0.0517015288684,-2.86759298357,18.359365194,16.6838180155,0.0,0.0,0.0,0.0,0.0,0.0,0.00494,0.00938,-1.14598,5.16474122985,2.3430240871,-7.58692983301,
