S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.4221,-0.0234,0.8615,0.2811,-0.2977,0.4006,0.7514,0.4314,37.501831408,79.951586652,51.611728228
-0.4206,-0.0245,0.8618,0.2823,-0.304,0.3997,0.7548,0.4218,37.5647234616,80.125675168,51.7379721872
-0.4199,-0.0274,0.8624,0.2813,-0.3104,0.3941,0.7628,0.4078,37.4812936224,80.9129463852,51.5888722844
-0.4199,-0.0274,0.8624,0.2813,-0.3104,0.3941,0.7628,0.4078,37.5407489342,80.6540372664,51.9265497262
-0.418,-0.0299,0.8627,0.2828,-0.3101,0.3946,0.7662,0.4011,37.1236843796,81.4573554828,51.7015288684
-0.4174,-0.0311,0.863,0.2826,-0.3099,0.395,0.7717,0.3901,36.9364027856,82.4293846228,52.25157823
-0.4167,-0.0327,0.8633,0.2826,-0.3234,0.3883,0.7812,0.3663,37.0393284396,82.1909232372,52.606765812
-0.4167,-0.0358,0.8632,0.2824,-0.3384,0.3789,0.781,0.363,36.2343011728,83.7191267136,52.422851976
-0.417,-0.0366,0.8633,0.2816,-0.3381,0.3784,0.7807,0.3644,35.9921675372,83.977819116,51.677069568
-0.4174,-0.0364,0.8633,0.2813,-0.3376,0.3777,0.7804,0.3663,36.34329876,83.794960223,52.273420879
-0.4159,-0.035,0.8631,0.2841,-0.3314,0.374,0.7823,0.3716,36.12092469,83.3935023358,52.6751435694
-0.4171,-0.0338,0.8626,0.2839,-0.3304,0.3695,0.7875,0.366,36.247762009,83.103752556,53.411681847
-0.4182,-0.0331,0.8623,0.2835,-0.3263,0.3573,0.799,0.3568,36.1930688352,83.465602597,52.6402781918
-0.4182,-0.0321,0.8619,0.2848,-0.3005,0.3721,0.7794,0.4044,36.388987908,82.6511287388,53.439492494
-0.4182,-0.0321,0.8619,0.2848,-0.3005,0.3721,0.7794,0.4044,36.658147335,81.2260408474,53.1349325052
-0.4174,-0.0304,0.8623,0.2849,-0.2984,0.3842,0.7622,0.427,36.3909353144,81.4991997008,52.1679012632
-0.4163,-0.0309,0.8625,0.2858,-0.3062,0.3885,0.759,0.423,36.8742382608,80.3752673616,52.2514871216
-0.4154,-0.0324,0.863,0.2852,-0.311,0.3883,0.7636,0.4114,36.652465356,80.7663873826,51.7187025206
-0.4162,-0.0335,0.8632,0.2836,-0.3129,0.387,0.772,0.3951,36.7665194424,80.5925781162,52.005704307
-0.4166,-0.0358,0.864,0.2802,-0.3163,0.3856,0.783,0.3715,36.7378379536,82.5536599136,51.1349477172
-0.4171,-0.0363,0.864,0.2794,-0.3344,0.3759,0.7911,0.3476,36.382559695,83.1555714816,51.3301721508
-0.4174,-0.0366,0.8641,0.2786,-0.3383,0.3779,0.7885,0.3477,36.5250602976,82.6566211896,52.31939387
-0.4185,-0.0354,0.8647,0.2752,-0.3413,0.3784,0.787,0.3476,36.1851923936,83.7240083572,52.0761409288
-0.4192,-0.0331,0.8639,0.2769,-0.341,0.3795,0.7869,0.3468,36.4833079562,83.7839505004,51.5261497608
-0.4193,-0.0328,0.8638,0.2771,-0.3409,0.3807,0.7861,0.3475,36.4104028512,83.5993637178,51.8417296362
