S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
0.0936,0.1169,0.9256,0.3474,0.3009,0.1005,0.6744,0.6666,-1.3596377202,86.2442753322,59.8956191652
0.0944,0.1168,0.9251,0.3484,0.3012,0.0999,0.6727,0.6683,-1.3841489322,85.8842655282,60.3749255508
0.0943,0.1168,0.9252,0.3483,0.3009,0.1,0.6731,0.668,-1.23496334,85.96615206,60.295218658
0.094,0.1169,0.9254,0.3479,0.3012,0.1004,0.6734,0.6676,-1.250564562,85.9373072172,60.2217831228
0.0944,0.1181,0.925,0.3484,0.3012,0.1013,0.6731,0.6677,-1.1551792844,86.0706446424,60.0180390344
0.0943,0.1185,0.9246,0.3495,0.3011,0.1024,0.6724,0.6682,-0.606553294,85.7643249888,60.4273628368
0.0948,0.119,0.9241,0.3504,0.3009,0.1044,0.6721,0.6684,-0.8958337508,85.6547988536,60.4273524876
0.0964,0.1198,0.9194,0.3619,0.3004,0.1109,0.6667,0.6729,-0.2576920336,85.3128878032,60.6866142972
0.0971,0.1195,0.9167,0.3685,0.3001,0.1148,0.6647,0.6744,1.1518552898,83.821628198,62.2814000054
0.1005,0.1174,0.9138,0.3756,0.3002,0.1171,0.6608,0.6777,0.7057731928,84.5136584224,61.1503536232
0.1049,0.113,0.9105,0.3836,0.3092,0.1177,0.652,0.6821,1.026816316,82.8162629504,62.9828887912
0.1058,0.11,0.9077,0.3906,0.3097,0.1165,0.6462,0.6876,0.3640605598,82.0362697464,63.078120661
0.1095,0.1046,0.9041,0.3993,0.3121,0.1079,0.6265,0.7059,0.9271439696,82.7264973008,62.138746856
0.1141,0.0988,0.9,0.4087,0.3152,0.0759,0.5614,0.7613,0.654241192,81.423171568,63.212944616
0.1151,0.0966,0.8977,0.414,0.3163,0.0635,0.5397,0.7774,0.573782682,81.266459247,60.9806041442
0.1154,0.0938,0.8944,0.4215,0.3177,0.08,0.5539,0.7653,0.888136414,81.79771512,60.3026202628
0.1163,0.0913,0.8916,0.4279,0.3196,0.0873,0.5691,0.7525,1.775321736,80.589101352,59.82666996
0.1177,0.0907,0.8896,0.4317,0.3218,0.0939,0.5796,0.7426,1.956990526,80.2474667512,58.8212440176
0.1188,0.0891,0.8879,0.4353,0.326,0.0971,0.5845,0.7365,1.6869303524,80.6049065488,57.9658409116
0.1193,0.0861,0.8839,0.4439,0.3225,0.0911,0.5906,0.7339,2.2106066472,79.3374941588,57.9479158612
0.1185,0.0861,0.8826,0.4466,0.3242,0.0916,0.5892,0.7343,2.9638152008,78.8139798608,56.5971218368
0.1186,0.0863,0.8836,0.4445,0.3239,0.0921,0.5861,0.7369,2.9094880782,79.0598802314,55.2577638488
0.1148,0.0863,0.8846,0.4435,0.322,0.0942,0.5819,0.7407,3.2298998514,78.8611649406,55.1489542488
0.1125,0.0858,0.8841,0.4452,0.3209,0.0964,0.5807,0.7418,3.328742446,79.192872458,54.399777996
0.1111,0.0851,0.8842,0.4455,0.3202,0.0968,0.5789,0.7435,3.3169498728,79.0602232548,54.12982395
0.0968,0.0839,0.8933,0.4307,0.3088,0.0892,0.5719,0.7546,2.0550031044,80.6357946834,53.9155095398
