S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5044,0.147,0.7902,0.3153,-0.2499,0.3192,0.7135,0.5714,-6.6314918344,85.2171341026,63.3778019818
-0.5048,0.147,0.79,0.315,-0.2518,0.3178,0.7135,0.5714,-7.1793254424,85.4657932702,63.6232312704
-0.5055,0.1477,0.7894,0.3151,-0.2533,0.3165,0.7146,0.5699,-6.7596838548,85.5891206576,63.4516213852
-0.5059,0.1481,0.789,0.3154,-0.2536,0.3171,0.7142,0.57,-6.646675872,85.366217997,63.2801484578
-0.5066,0.1477,0.7887,0.3151,-0.2543,0.3176,0.7151,0.5682,-6.6829821168,85.647116452,63.6759650632
-0.5068,0.148,0.7883,0.3157,-0.255,0.3174,0.7149,0.5684,-6.8486913432,85.6378195232,63.6502377028
-0.5066,0.1479,0.7885,0.3155,-0.2562,0.3164,0.7148,0.5684,-6.401314517,85.5942687158,63.2512645024
-0.5089,0.1473,0.7873,0.3151,-0.259,0.3124,0.7191,0.564,-6.56645628,85.93713239,63.53423025
-0.5097,0.1468,0.787,0.315,-0.2621,0.3071,0.7241,0.559,-6.1008245094,87.0771009338,62.2485969868
-0.5108,0.1459,0.7869,0.3138,-0.2644,0.3029,0.7287,0.5541,-5.5891387108,86.9443918148,62.2584525976
-0.5108,0.1445,0.7871,0.314,-0.2639,0.2952,0.7399,0.5437,-5.6278218432,88.4073120512,60.7359742744
-0.5102,0.1439,0.7872,0.3148,-0.2472,0.3222,0.7152,0.5688,-5.593233157,90.073641099,58.4681240862
-0.5093,0.1433,0.7875,0.3158,-0.2398,0.3388,0.6882,0.5949,-4.9475038828,90.0739503104,58.4554586296
-0.5087,0.1422,0.7882,0.3156,-0.2081,0.3558,0.6563,0.6318,-5.4495024936,90.710797992,57.131954394
-0.5075,0.1421,0.7888,0.316,-0.2081,0.3467,0.6643,0.6286,-5.181165426,90.9409611984,56.2840325468
-0.5054,0.1413,0.7904,0.3158,-0.2102,0.3439,0.6661,0.6275,-4.9321858606,91.0786805856,55.6808637274
-0.5059,0.1418,0.7894,0.3172,-0.2149,0.3346,0.6771,0.619,-5.1797575864,91.179392132,55.4922811692
-0.5062,0.1415,0.7892,0.3174,-0.2191,0.3305,0.6817,0.6148,-5.1320465254,91.5882683392,54.4448717006
-0.5045,0.1411,0.7899,0.3184,-0.2208,0.3291,0.6838,0.6126,-5.0002405084,91.5323591244,54.3214045546
-0.5013,0.1402,0.7917,0.3196,-0.2176,0.3259,0.6915,0.6066,-5.6580593546,91.4814726908,54.0557482264
-0.5011,0.1403,0.7915,0.3202,-0.2186,0.3228,0.6921,0.6072,-5.8025527342,91.1909141352,53.1543699216
-0.5029,0.139,0.7909,0.3195,-0.2219,0.3208,0.6943,0.6046,-5.5286559768,91.3801371244,52.698938489
-0.5058,0.133,0.7916,0.3158,-0.2315,0.3084,0.7041,0.5961,-5.7028504592,91.9308890416,51.1562152692
-0.5051,0.1309,0.7926,0.3153,-0.233,0.3007,0.706,0.5972,-6.7076240536,92.4694832422,49.7269317134
-0.5048,0.1295,0.7933,0.3144,-0.2315,0.3013,0.7016,0.6027,-6.2393182472,92.332961496,50.6359179872
-0.5092,0.1307,0.7912,0.3122,-0.2238,0.3211,0.6785,0.6216,-6.9443578806,92.3461974702,51.6559331188
-0.5114,0.1307,0.7903,0.3108,-0.2172,0.3288,0.6672,0.6319,-6.3316226194,92.55186138,52.9849305112
-0.5136,0.129,0.7905,0.3074,-0.2142,0.3315,0.6517,0.6476,-6.0834642996,92.743804381,52.6438571504
-0.5136,0.1305,0.7913,0.3048,-0.2586,0.2875,0.7041,0.5955,-7.2557497236,92.3732541186,54.4901961078
-0.5145,0.1328,0.7901,0.3055,-0.2713,0.2581,0.7462,0.5503,-8.1469257116,90.7889080152,58.0395513464
-0.5155,0.1372,0.7876,0.3081,-0.2687,0.2619,0.7536,0.5396,-7.4852276924,91.4221032786,56.3280895288
-0.5166,0.1402,0.7858,0.3095,-0.2666,0.2685,0.7572,0.5322,-8.2849769156,90.624750155,60.0687445396
-0.5168,0.1415,0.7846,0.3117,-0.2567,0.2796,0.7617,0.525,-8.3460157336,91.8885860896,59.6907278768
-0.5153,0.1429,0.7836,0.316,-0.2567,0.2838,0.7572,0.5292,-6.7439262588,91.6141606336,56.5841154962
-0.5125,0.1428,0.7835,0.3207,-0.2685,0.2722,0.7586,0.5275,-8.451442442,91.6380462726,60.2457824014
-0.5124,0.1427,0.7835,0.3211,-0.2692,0.2768,0.7528,0.5329,-8.3561365308,90.9401189316,60.464034454
-0.5151,0.1452,0.781,0.3215,-0.2714,0.2877,0.7349,0.5507,-8.2431026206,90.2628262536,58.2998207154
-0.5151,0.1452,0.781,0.3215,-0.2714,0.2877,0.7349,0.5507,-7.9245705892,89.9179296264,60.9367718312
-0.5158,0.1459,0.7807,0.321,-0.2735,0.293,0.7313,0.5516,-8.6931968148,88.6827201612,60.9932186572
-0.5136,0.1469,0.7807,0.3241,-0.2705,0.304,0.7207,0.5612,-9.0548097706,88.9324246154,59.6823043584
-0.512,0.1486,0.7796,0.3283,-0.2775,0.3024,0.7232,0.5552,-9.5808652424,85.3884963268,63.8360770576
-0.51,0.1466,0.7808,0.3294,-0.2821,0.302,0.7238,0.5524,-10.3141341448,84.990158844,62.5302775016
-0.5089,0.1437,0.782,0.3297,-0.2825,0.2969,0.7223,0.5569,-9.7601762544,85.723419046,62.3260734092
-0.5089,0.1437,0.782,0.3297,-0.2825,0.2969,0.7223,0.5569,-10.3366820516,84.6727571144,61.4656979868
-0.5079,0.1461,0.7815,0.3314,-0.2844,0.2998,0.7175,0.5606,-9.367048792,83.03184462,63.014803116
-0.5076,0.1488,0.7804,0.3331,-0.2847,0.3029,0.7142,0.5629,-9.8932739824,84.2852096164,63.2935676348
-0.5081,0.1523,0.7782,0.3359,-0.2846,0.3067,0.7106,0.5654,-9.2812284288,81.1312252332,65.3684388424
-0.5076,0.1541,0.7755,0.3421,-0.2871,0.314,0.6987,0.575,-10.6572157782,80.1879437958,66.0756898944
-0.506,0.1494,0.7761,0.3452,-0.289,0.3124,0.6909,0.5843,-9.945237812,81.288533849,64.3520462088
-0.5044,0.1473,0.7765,0.3475,-0.2871,0.3109,0.6871,0.5904,-11.970394905,80.19299991,64.440101277
-0.5012,0.1453,0.7777,0.3502,-0.2843,0.309,0.6817,0.5989,-11.3594261804,78.6565494804,64.5288346756
