seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566578712.12,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578712.14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578712.16,-0.1567,-0.8853,-0.0551,0.4342,0.1907,0.9562,0.0076,-0.2218,0.2965,0.7575,0.4792,-0.3293,-0.1077,-0.7586,-0.5055,0.3966,0.4062,0.7705,0.2799,-0.4035,0.3632,0.1556,0.9096,0.1281,0.1529,0.796,0.2655,-0.5219,0.3148,0.6621,0.4019,-0.5484,-176.426290321,-51.8280776766,158.188160785,-175.555843109,-25.2833720789,156.445109596,121.376296328,-51.556336075,167.589251908,104.342221654,-45.2903340204,-160.262482229,168.687936939,-58.1391897603,130.706985092,28.6768273919,-38.3838047547,153.798642169,140.053861495,-65.808163117,-175.280521736,111.91756654,-78.3730605817,-173.17452002,0.0060080034816,0.0835854227502,0.0655939034372,19.9691787027,27.0567271235,10.4972357269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00792,0.04222,-1.05198,-6.58347309442,20.9352260644,-2.55986511978,
1566578712.18,-0.1567,-0.8853,-0.0551,0.4342,0.1907,0.9562,0.0076,-0.2218,0.2932,0.7626,0.4722,-0.3305,-0.1076,-0.7572,-0.5065,0.3978,0.408,0.7728,0.2769,-0.3993,0.3561,0.1615,0.9122,0.1218,0.1547,0.7956,0.2662,-0.5216,0.3153,0.661,0.4031,-0.5485,-176.426290321,-51.8280776766,158.188160785,-175.555843109,-25.2833720789,156.445109596,122.497816173,-51.3695769448,167.501962951,104.019089699,-45.3675883839,-160.017202926,169.042004752,-57.4879975887,130.359448412,28.7890194173,-37.6205326882,154.796725258,140.13606998,-65.8500408484,-175.577741992,111.321134092,-78.4151343307,-172.738746233,0.0063506285334,0.0840795686526,0.0657584609404,15.6356185031,27.7725446622,7.79061121244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798,0.04291,-1.05104,-6.2892628226,21.000752188,-2.4739587669,
1566578712.2,-0.1567,-0.8852,-0.0551,0.4343,0.1907,0.9562,0.0076,-0.2218,0.2896,0.7677,0.465,-0.3323,-0.1064,-0.7561,-0.5062,0.4008,0.4088,0.7748,0.2741,-0.3966,0.3449,0.1718,0.9158,0.1124,0.1553,0.7955,0.2657,-0.5217,0.3161,0.6593,0.4042,-0.5494,-176.420842862,-51.8430197035,158.182713326,-175.555843109,-25.2833720789,156.445109596,123.60793748,-51.2271848558,167.49181755,103.725262776,-45.5522725174,-159.529361453,169.362675047,-57.0133315369,130.154867079,29.1621948154,-36.3858449529,156.232989098,140.315233875,-65.8979749328,-175.764799352,110.491054797,-78.5668594103,-172.074978579,0.0063506285334,0.0840795686526,0.0657584609404,15.6356185031,27.7725446622,7.79061121244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798,0.04291,-1.05104,-6.2892628226,21.000752188,-2.4739587669,
1566578712.22,-0.1566,-0.8852,-0.0551,0.4344,0.1907,0.9562,0.0076,-0.2218,0.2872,0.7728,0.4579,-0.3324,-0.106,-0.7559,-0.5054,0.4023,0.4111,0.7763,0.2719,-0.3928,0.3441,0.1749,0.9157,0.1115,0.1566,0.7951,0.266,-0.5218,0.3166,0.6576,0.4058,-0.55,-176.425301049,-51.8543693221,158.196996212,-175.555843109,-25.2833720789,156.445109596,124.826632504,-50.9757392217,167.199511464,103.690325236,-45.677373819,-159.348405519,169.655608212,-56.4629624857,129.756585989,29.4941502403,-36.2437248057,156.267860254,140.392430204,-65.9677127756,-175.975837291,109.453053009,-78.6556261186,-171.22973634,0.0067229055166,0.0837808459784,0.0644182698942,15.3320894884,27.7520052195,7.5621745229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798,0.04291,-1.05104,-6.2892628226,21.000752188,-2.4739587669,
1566578712.24,-0.1566,-0.8852,-0.0551,0.4343,0.1907,0.9562,0.0076,-0.2218,0.2877,0.7734,0.4562,-0.3326,-0.108,-0.7546,-0.507,0.402,0.4127,0.7763,0.2716,-0.3914,0.3544,0.1713,0.9115,0.1185,0.1578,0.7946,0.2673,-0.5217,0.3181,0.6552,0.4093,-0.5494,-176.428703213,-51.8442827112,158.199040109,-175.555843109,-25.2833720789,156.445109596,125.155234079,-51.0074131121,166.99489824,103.466369876,-45.7578862838,-159.468290908,169.76104875,-56.2975011313,129.496315137,29.8715655889,-37.2708481801,154.90521723,140.23918095,-65.9974807746,-176.034977927,108.112778919,-78.6623906863,-170.364295918,0.0068565279866,0.0850256069592,0.0649195745446,10.1823920615,28.4479239504,4.50768951596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00796,0.04367,-1.05006,-6.12820779915,21.132361858,-2.46321357393,
1566578712.26,-0.1566,-0.8852,-0.0551,0.4343,0.1907,0.9562,0.0076,-0.2218,0.2877,0.7734,0.4562,-0.3326,-0.108,-0.7546,-0.507,0.402,0.4127,0.7763,0.2716,-0.3914,0.3544,0.1713,0.9115,0.1185,0.1578,0.7946,0.2673,-0.5217,0.3181,0.6552,0.4093,-0.5494,-176.428703213,-51.8442827112,158.199040109,-175.555843109,-25.2833720789,156.445109596,125.155234079,-51.0074131121,166.99489824,103.466369876,-45.7578862838,-159.468290908,169.76104875,-56.2975011313,129.496315137,29.8715655889,-37.2708481801,154.90521723,140.23918095,-65.9974807746,-176.034977927,108.112778919,-78.6623906863,-170.364295918,0.0068565279866,0.0850256069592,0.0649195745446,10.1823920615,28.4479239504,4.50768951596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00796,0.04367,-1.05006,-6.12820779915,21.132361858,-2.46321357393,
1566578712.28,-0.1566,-0.8852,-0.0551,0.4343,0.1907,0.9562,0.0076,-0.2218,0.289,0.7743,0.4545,-0.332,-0.1102,-0.7536,-0.5083,0.4018,0.4151,0.7769,0.2714,-0.3877,0.3629,0.1668,0.908,0.1257,0.1602,0.7943,0.2692,-0.5203,0.3192,0.6547,0.4109,-0.548,-176.428703213,-51.8442827112,158.199040109,-175.555843109,-25.2833720789,156.445109596,125.581665175,-50.9820060322,166.611395341,103.306256145,-45.8662467741,-159.627651192,169.746907289,-55.8783057356,129.216708218,30.0702121441,-38.1138973616,153.634306113,140.217760167,-65.9263524448,-176.395903397,108.063734862,-78.579258785,-170.583490404,0.0074229990518,0.0848306113784,0.064979191326,7.70851180433,29.3055681755,2.84919345756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805,0.04434,-1.0493,-5.89648096628,21.178408484,-2.5273276159,
1566578712.3,-0.1566,-0.8851,-0.0551,0.4345,0.1907,0.9562,0.0076,-0.2218,0.2894,0.7764,0.4522,-0.33,-0.1104,-0.7542,-0.5074,0.4018,0.4161,0.7778,0.2706,-0.3851,0.3684,0.1632,0.9058,0.1304,0.1608,0.7946,0.269,-0.5198,0.3199,0.6544,0.4116,-0.5476,-176.419851536,-51.8693130238,158.191546699,-175.555843109,-25.2833720789,156.445109596,126.130087836,-50.7333124289,166.203441978,103.472757914,-45.9042675032,-159.715442943,169.768137832,-55.5432007405,129.107609009,30.1238508627,-38.6775448029,152.825272725,140.401013053,-65.8896177337,-176.615809449,108.026742253,-78.5741823355,-170.673542024,0.0074229990518,0.0848306113784,0.064979191326,7.70851180433,29.3055681755,2.84919345756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805,0.04434,-1.0493,-5.89648096628,21.178408484,-2.5273276159,
