seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566579330.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579330.02,-0.0921,-0.8682,0.0076,0.4874,0.1789,0.9533,0.0073,-0.2431,-0.0418,0.6968,0.6997,0.1516,0.1324,-0.7694,-0.5856,-0.2175,0.3131,0.7003,0.611,0.195,0.2729,0.1879,0.9411,0.0672,-0.0829,0.9066,0.4134,-0.0141,-0.1027,0.7402,0.6151,-0.251,-168.89516184,-57.6752735381,161.761438975,-175.262601227,-27.7837517025,157.570243918,88.4950561479,15.6528309989,170.801850374,104.571379665,29.3329168979,176.645455248,100.265714519,-6.28726336095,137.074164857,26.573333606,-29.2364762774,164.782428931,131.176095556,2.46333951377,-170.668920659,96.9388171737,-14.1989604642,-151.612146885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579330.04,-0.0921,-0.8681,0.0076,0.4875,0.1789,0.9533,0.0073,-0.2431,-0.0401,0.6959,0.7,0.1547,0.1226,-0.7697,-0.5874,-0.2176,0.3164,0.6979,0.6107,0.1992,0.2729,0.189,0.9403,0.0745,-0.0843,0.9053,0.4158,-0.0152,-0.1104,0.7352,0.6194,-0.2519,-168.88778495,-57.6903324926,161.754062086,-175.262601227,-27.7837517025,157.570243918,88.3297501134,15.7536147028,170.382268906,104.185605391,28.6248267221,175.627920865,100.113983846,-6.2247255641,136.438869478,26.9364048539,-29.0189273812,163.846634723,130.86518811,2.44105046202,-170.476164957,96.235987531,-13.5134113611,-150.791950239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334968022296,0.0941931522728,-0.0281105475464,142.248014509,-59.0784015658,18.535945024,0.0402,0.08008,-1.13419,40.6854244047,-47.6388444035,-8.92941824737,
1566579330.06,-0.0921,-0.8681,0.0076,0.4875,0.1789,0.9533,0.0073,-0.2431,-0.0401,0.6959,0.7,0.1547,0.1226,-0.7697,-0.5874,-0.2176,0.3164,0.6979,0.6107,0.1992,0.2729,0.189,0.9403,0.0745,-0.0843,0.9053,0.4158,-0.0152,-0.1104,0.7352,0.6194,-0.2519,-168.88778495,-57.6903324926,161.754062086,-175.262601227,-27.7837517025,157.570243918,88.3297501134,15.7536147028,170.382268906,104.185605391,28.6248267221,175.627920865,100.113983846,-6.2247255641,136.438869478,26.9364048539,-29.0189273812,163.846634723,130.86518811,2.44105046202,-170.476164957,96.235987531,-13.5134113611,-150.791950239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334968022296,0.0941931522728,-0.0281105475464,142.248014509,-59.0784015658,18.535945024,0.0402,0.08008,-1.13419,40.6854244047,-47.6388444035,-8.92941824737,
1566579330.08,-0.0921,-0.8681,0.0076,0.4875,0.1789,0.9533,0.0073,-0.2431,-0.04,0.6948,0.7004,0.1578,0.1055,-0.775,-0.5835,-0.2181,0.3213,0.6942,0.6098,0.207,0.2716,0.1897,0.9403,0.078,-0.0845,0.9053,0.4157,-0.0158,-0.1152,0.7322,0.6218,-0.2528,-168.88778495,-57.6903324926,161.754062086,-175.262601227,-27.7837517025,157.570243918,88.1449308114,15.9836917881,170.087193686,104.607337996,27.4689601292,174.112168824,99.8695451793,-5.99686826841,135.372267748,27.0836924837,-28.7623283884,163.448377001,130.872213969,2.38738262535,-170.426347665,95.8255655971,-13.1177640309,-150.260417332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030550363872,0.0951712428008,-0.0266845036998,148.651853726,-56.6960329341,18.4180197583,0.04033,0.08025,-1.13386,41.0220791086,-47.5361920922,-8.91243738022,
1566579330.1,-0.0921,-0.8681,0.0076,0.4875,0.1789,0.9533,0.0073,-0.2431,-0.0378,0.694,0.6999,0.164,0.0935,-0.7777,-0.5824,-0.2171,0.325,0.6921,0.6086,0.2116,0.2689,0.1899,0.9409,0.0786,-0.0845,0.9049,0.4168,-0.0173,-0.1209,0.728,0.6249,-0.2543,-168.88778495,-57.6903324926,161.754062086,-175.262601227,-27.7837517025,157.570243918,87.9880687988,16.2957019693,169.365310068,104.714790627,26.5282475504,173.10175794,99.8107692515,-5.89549010433,134.656670143,27.0356954866,-28.440113344,163.476984117,130.727230333,2.24252389875,-170.358860226,95.2604302718,-12.6626690218,-149.583474649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301782269098,0.094797240356,-0.0272076487836,147.999054889,-56.6626754657,19.0217128862,0.04033,0.08025,-1.13386,41.0220791086,-47.5361920922,-8.91243738022,
1566579330.12,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.035,0.6946,0.6989,0.1665,0.0772,-0.7778,-0.5867,-0.2113,0.33,0.6905,0.6065,0.2152,0.2658,0.1924,0.9414,0.0774,-0.0851,0.9041,0.4183,-0.019,-0.126,0.7252,0.626,-0.2571,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,88.0601770949,16.2756690965,168.940890087,104.162196714,24.7948056538,171.902505209,99.9322310105,-5.91857064487,133.885910166,27.2109098836,-28.0807512662,163.672441892,130.523540909,2.11124231762,-170.218411416,94.9246407581,-12.4270196268,-148.877690335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301782269098,0.094797240356,-0.0272076487836,147.999054889,-56.6626754657,19.0217128862,0.04033,0.08025,-1.13386,41.0220791086,-47.5361920922,-8.91243738022,
1566579330.14,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0345,0.695,0.6975,0.1705,0.0618,-0.7817,-0.5854,-0.2054,0.3326,0.6894,0.6048,0.2194,0.2722,0.1925,0.939,0.084,-0.0856,0.9038,0.4186,-0.0197,-0.1338,0.7219,0.6271,-0.26,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,88.1245567321,16.5697212775,168.570559956,104.491967993,23.1770462194,170.994312845,99.9547915355,-5.72896402433,133.302374078,27.6411008985,-28.6127350773,162.596750758,130.475467228,2.06664632513,-170.132526648,94.5849573123,-11.9815986784,-147.93425289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283569810898,0.09543756855,-0.0257745963526,153.27219045,-55.4902627708,18.3410138323,0.04049,0.08052,-1.13393,41.418222369,-47.5811780863,-9.16703563877,
1566579330.16,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0345,0.695,0.6975,0.1705,0.0618,-0.7817,-0.5854,-0.2054,0.3326,0.6894,0.6048,0.2194,0.2722,0.1925,0.939,0.084,-0.0856,0.9038,0.4186,-0.0197,-0.1338,0.7219,0.6271,-0.26,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,88.1245567321,16.5697212775,168.570559956,104.491967993,23.1770462194,170.994312845,99.9547915355,-5.72896402433,133.302374078,27.6411008985,-28.6127350773,162.596750758,130.475467228,2.06664632513,-170.132526648,94.5849573123,-11.9815986784,-147.93425289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283569810898,0.09543756855,-0.0257745963526,153.27219045,-55.4902627708,18.3410138323,0.04049,0.08052,-1.13393,41.418222369,-47.5811780863,-9.16703563877,
1566579330.18,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0389,0.6947,0.6962,0.176,0.0316,-0.7968,-0.5694,-0.1994,0.3342,0.687,0.6033,0.2283,0.2827,0.186,0.9363,0.0933,-0.0869,0.9044,0.417,-0.0207,-0.1391,0.7199,0.6279,-0.2609,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,88.1051181697,17.383199906,168.45146359,106.90310392,20.7197638438,169.107636133,99.6881388654,-5.13966837668,132.455018558,27.4869993771,-29.6523989134,161.210483338,130.669777539,2.00800652161,-169.945250022,94.4075701261,-11.5940210061,-147.38802639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254831433996,0.095908886938,-0.0241488696608,159.287359772,-53.6330996104,19.6596029284,0.04054,0.08057,-1.13357,41.4715676811,-47.5184006078,-9.08670330925,
1566579330.2,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0494,0.6955,0.695,0.1748,0.0175,-0.807,-0.5565,-0.1963,0.3327,0.6874,0.6038,0.2282,0.2661,0.1894,0.9408,0.0899,-0.0872,0.9053,0.4149,-0.0239,-0.1489,0.7167,0.6264,-0.2675,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,88.3458421714,18.1733901395,169.429048339,108.794185124,19.6564344991,168.342970524,99.6268980027,-5.05153195214,132.61388715,27.2006404482,-27.8203726972,162.225271358,130.905318569,1.66688689471,-169.757647709,94.2064476824,-11.3580281975,-145.968581366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025223023676,0.0956778770208,-0.0244218077064,159.061188315,-53.6729861891,19.8426645583,0.04054,0.08057,-1.13357,41.4715676811,-47.5184006078,-9.08670330925,
1566579330.22,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.054,0.701,0.6914,0.166,0.0026,-0.8169,-0.5454,-0.1872,0.3311,0.6931,0.6004,0.2222,0.2514,0.2007,0.9431,0.0838,-0.0876,0.9051,0.4151,-0.0258,-0.1581,0.7143,0.6246,-0.2728,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,89.3211553914,17.9045270082,170.695500357,110.614683797,17.9829308899,167.862785755,100.422945399,-5.13962251307,133.212870737,27.9470987012,-26.1408098714,163.231830516,130.860804941,1.49135837678,-169.625576473,94.1309209652,-11.0852140287,-144.7214288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025223023676,0.0956778770208,-0.0244218077064,159.061188315,-53.6729861891,19.8426645583,0.04054,0.08057,-1.13357,41.4715676811,-47.5184006078,-9.08670330925,
1566579330.24,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.054,0.701,0.6914,0.166,0.0026,-0.8169,-0.5454,-0.1872,0.3311,0.6931,0.6004,0.2222,0.2514,0.2007,0.9431,0.0838,-0.0876,0.9051,0.4151,-0.0258,-0.1581,0.7143,0.6246,-0.2728,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,89.3211553914,17.9045270082,170.695500357,110.614683797,17.9829308899,167.862785755,100.422945399,-5.13962251307,133.212870737,27.9470987012,-26.1408098714,163.231830516,130.860804941,1.49135837678,-169.625576473,94.1309209652,-11.0852140287,-144.7214288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222474562306,0.095792405116,-0.0233084945398,165.938279198,-52.7395897551,21.2848373043,0.04082,0.08086,-1.13361,41.27362143,-47.5447355955,-8.99274358869,
1566579330.26,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0695,0.7101,0.6853,0.1454,-0.0158,-0.8257,-0.5338,-0.1813,0.3306,0.6962,0.5969,0.2227,0.2455,0.2086,0.9442,0.0672,-0.0888,0.9057,0.4135,-0.0272,-0.1655,0.7117,0.6247,-0.275,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,91.0997276395,17.5656992056,173.943071632,112.318335348,16.4139677693,166.760842881,100.883114735,-4.85263930411,133.206611053,28.3187963343,-25.826504088,165.23721791,131.049691609,1.38497022213,-169.431050624,93.9702278214,-10.6436143857,-143.883793201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222474562306,0.095792405116,-0.0233084945398,165.938279198,-52.7395897551,21.2848373043,0.04082,0.08086,-1.13361,41.27362143,-47.5447355955,-8.99274358869,
1566579330.28,-0.0921,-0.8681,0.0076,0.4876,0.1789,0.9533,0.0073,-0.2431,-0.0808,0.7149,0.6812,0.135,-0.0468,-0.8441,-0.5041,-0.1764,0.3289,0.6995,0.5923,0.227,0.2468,0.2109,0.9439,0.06,-0.0897,0.9064,0.4118,-0.0281,-0.1715,0.7092,0.6256,-0.2759,-168.883831362,-57.7001119417,161.750633342,-175.262601227,-27.7837517025,157.570243918,92.1263174937,17.6465736471,175.883603046,116.337140007,14.514946976,164.612747036,101.283876026,-4.13200749391,133.024326037,28.4593368079,-26.1440287195,165.986092871,131.256231941,1.31435399223,-169.291949223,93.7800956857,-10.1821550089,-143.276515275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190400382778,0.095544502102,-0.0212671548104,172.709724815,-52.3294075415,22.5087982045,0.04083,0.08106,-1.13343,41.1102611453,-47.6638120785,-9.00455079766,
