S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0123,-0.0306,0.9206,0.3889,-0.2096,-0.0557,0.7161,0.6633,-0.2763,0.0748,-0.7824,-0.5531,41.8458500304,91.3404807978,-22.0959411852
-0.0123,-0.0306,0.9206,0.3889,-0.2096,-0.0557,0.7161,0.6633,-0.2763,0.0748,-0.7824,-0.5531,39.331077102,92.3594873528,-21.4616386188
-0.0175,-0.0346,0.921,0.3876,-0.2119,-0.0649,0.7127,0.6654,-0.277,0.0591,-0.7863,-0.5489,39.0621154144,92.2203995638,-21.902644439
-0.0191,-0.038,0.9206,0.3881,-0.212,-0.081,0.7066,0.6702,-0.2711,0.0153,-0.8049,-0.5274,34.8385542976,94.1587311622,-19.678489631
-0.0223,-0.0398,0.9205,0.388,-0.2155,-0.0923,0.7034,0.6708,-0.262,-0.0169,-0.8205,-0.5076,31.3820080078,94.9247397696,-17.660544209
-0.024,-0.0406,0.9201,0.3887,-0.2183,-0.0999,0.7005,0.6719,-0.2567,-0.035,-0.828,-0.4973,31.349008764,94.6075599128,-18.0495481344
-0.0265,-0.0435,0.9179,0.3935,-0.2218,-0.1184,0.689,0.6796,-0.2357,-0.0921,-0.8426,-0.4752,28.16134271,95.0936185492,-15.2083327116
-0.0291,-0.0456,0.9158,0.3978,-0.2236,-0.1307,0.6804,0.6854,-0.2262,-0.1159,-0.8453,-0.4696,25.5893337812,94.9593446972,-11.908913216
-0.0277,-0.0471,0.914,0.4019,-0.223,-0.1401,0.6749,0.6892,-0.2213,-0.1358,-0.8473,-0.4632,25.3428127516,94.6579591518,-12.921564508
-0.0299,-0.052,0.913,0.4033,-0.2267,-0.1532,0.6719,0.6881,-0.2152,-0.1535,-0.8491,-0.4573,23.4501854932,94.6330818486,-9.679265552
-0.0286,-0.0539,0.913,0.4031,-0.2255,-0.1549,0.6721,0.6879,-0.2131,-0.1557,-0.8501,-0.4555,21.7009130124,94.4780632084,-10.5826504236
-0.0244,-0.0528,0.9133,0.4028,-0.2229,-0.1513,0.6727,0.689,-0.2139,-0.1582,-0.8503,-0.4539,22.12226859,94.399477655,-10.86167326
-0.0137,-0.0465,0.9119,0.4074,-0.2163,-0.1329,0.674,0.6936,-0.2147,-0.1619,-0.8471,-0.4581,22.7789257716,94.514728029,-10.9906289512
-0.0062,-0.0421,0.9108,0.4106,-0.2125,-0.1207,0.6782,0.6929,-0.2165,-0.1564,-0.844,-0.4649,25.753127151,94.5280127944,-11.6092466258
-0.0032,-0.0396,0.9104,0.4116,-0.2094,-0.1098,0.6827,0.6912,-0.2158,-0.1428,-0.8413,-0.4745,25.6127903854,94.3442328372,-11.731347925
0.0125,-0.0277,0.911,0.4111,-0.1914,-0.0746,0.7009,0.683,-0.2257,-0.0831,-0.8342,-0.496,28.8934716558,94.4259100544,-14.14542756
0.0158,-0.0225,0.9126,0.4077,-0.1854,-0.0604,0.7086,0.6781,-0.2347,-0.0411,-0.8269,-0.5092,33.7846543854,93.947557551,-17.6721810148
0.0164,-0.0203,0.9134,0.406,-0.183,-0.0527,0.7119,0.6758,-0.2422,-0.0112,-0.8178,-0.5217,33.8618940276,94.2987824952,-16.3962824124
0.018,-0.0162,0.9151,0.4025,-0.1813,-0.0375,0.7185,0.6704,-0.2558,0.0437,-0.7922,-0.5521,37.9121888358,93.4773249396,-19.5940632758
0.0175,-0.0145,0.9158,0.4006,-0.1884,-0.0344,0.7232,0.6635,-0.2612,0.0675,-0.7834,-0.5598,41.0446961056,92.4120194754,-20.9982569378
0.0162,-0.0154,0.9165,0.3993,-0.1932,-0.0337,0.7266,0.6583,-0.2667,0.0814,-0.7785,-0.5621,41.0001488794,92.525180281,-19.9390209372
0.0161,-0.0164,0.918,0.3956,-0.2,-0.0277,0.7363,0.6456,-0.2722,0.1118,-0.7745,-0.5598,42.8573439558,91.020630087,-21.9620479644
0.019,-0.0156,0.9189,0.3936,-0.1973,-0.0254,0.7401,0.6423,-0.2776,0.1237,-0.7745,-0.5546,44.6871667186,89.677956751,-22.0688756118
0.0177,-0.0171,0.9197,0.3916,-0.1979,-0.0312,0.7371,0.6453,-0.2803,0.1195,-0.7763,-0.5517,45.092454472,90.0990574888,-21.7686574376
-0.0027,-0.0289,0.9189,0.3933,-0.2062,-0.0579,0.7216,0.6582,-0.2818,0.0867,-0.7822,-0.5487,42.9269364668,90.9511217462,-20.6416737682
-0.0137,-0.035,0.9199,0.3901,-0.2073,-0.0711,0.7157,0.663,-0.2742,0.0391,-0.798,-0.535,37.228657023,93.6978815218,-18.8817897924
-0.0142,-0.0351,0.92,0.3898,-0.2057,-0.0788,0.7113,0.6674,-0.2636,-0.0039,-0.8153,-0.5153,36.9009614428,93.5765736666,-19.786686747
-0.0176,-0.0368,0.9169,0.3967,-0.2108,-0.0955,0.6984,0.6771,-0.2389,-0.0819,-0.8342,-0.4901,32.9231335888,94.8631187912,-15.8022682028
-0.0183,-0.0377,0.9163,0.398,-0.2126,-0.106,0.6927,0.6809,-0.2299,-0.1162,-0.8441,-0.4701,29.4644825352,95.3032073212,-13.5735995188
-0.0179,-0.0379,0.9165,0.3977,-0.2135,-0.1124,0.6885,0.6838,-0.2281,-0.1319,-0.8465,-0.4624,29.258017868,94.73623462,-14.410186424
-0.0223,-0.0406,0.9147,0.4013,-0.2176,-0.1261,0.6792,0.6894,-0.2192,-0.16,-0.8488,-0.4535,26.3795167696,94.715026264,-12.5459581728
-0.0223,-0.0415,0.9147,0.401,-0.2181,-0.1294,0.6778,0.69,-0.2171,-0.1665,-0.8506,-0.4488,24.3693432816,94.2922878608,-10.9433081216
-0.022,-0.0427,0.9141,0.4024,-0.2168,-0.1301,0.676,0.692,-0.2145,-0.1697,-0.8505,-0.4491,24.2702282762,94.1999052708,-11.8018188642
-0.0191,-0.0453,0.9132,0.4044,-0.2155,-0.1298,0.677,0.6916,-0.2148,-0.1705,-0.8499,-0.4497,23.1185674404,93.9144247012,-10.5060692948
-0.0128,-0.044,0.9133,0.4045,-0.2106,-0.1203,0.6798,0.692,-0.218,-0.1658,-0.8481,-0.4533,23.9430238322,93.9634823098,-10.984672536
-0.0055,-0.0407,0.913,0.4058,-0.2045,-0.1074,0.6842,0.6917,-0.2194,-0.1575,-0.8457,-0.46,24.7485268632,94.2011989432,-11.9610496944
0.0139,-0.0255,0.9124,0.4082,-0.1856,-0.0665,0.7015,0.6848,-0.2254,-0.1112,-0.8382,-0.4838,28.861598368,94.1040321016,-13.913227726
0.0176,-0.0177,0.9135,0.406,-0.1787,-0.0482,0.7102,0.6791,-0.2283,-0.0894,-0.8353,-0.4918,34.6082435708,93.6279417646,-18.223167582
0.018,-0.0136,0.9141,0.4046,-0.176,-0.0393,0.7133,0.6771,-0.2359,-0.0557,-0.8299,-0.5023,33.786825388,94.054665484,-16.66761148
0.0202,-0.0084,0.9145,0.4038,-0.1724,-0.0274,0.7179,0.6738,-0.2533,0.0002,-0.8118,-0.526,38.063464734,92.883749812,-19.91626274
0.0202,-0.0084,0.9145,0.4038,-0.1724,-0.0274,0.7179,0.6738,-0.2533,0.0002,-0.8118,-0.526,39.7149736556,92.4720951136,-19.4205531016
0.0197,-0.0102,0.9139,0.4052,-0.1738,-0.0294,0.717,0.6743,-0.259,0.0157,-0.8065,-0.531,39.8497162764,92.72342238,-19.7016599548
0.0067,-0.0202,0.914,0.405,-0.1824,-0.0503,0.7076,0.6807,-0.2601,-0.0038,-0.8134,-0.5202,39.3039927208,92.711292308,-18.5306617036
0.0067,-0.0202,0.914,0.405,-0.1824,-0.0503,0.7076,0.6807,-0.2601,-0.0038,-0.8134,-0.5202,35.3214650346,93.8653097406,-17.1803114344
-0.0064,-0.032,0.9154,0.4011,-0.1969,-0.0819,0.6996,0.6818,-0.247,-0.0437,-0.8274,-0.5024,35.5283730068,93.827363113,-17.4962390182
-0.0106,-0.036,0.9144,0.4028,-0.203,-0.1067,0.6882,0.6882,-0.2314,-0.1071,-0.8441,-0.4715,30.1685743152,94.8314560408,-14.2491872616
-0.0106,-0.036,0.9144,0.4028,-0.203,-0.1067,0.6882,0.6882,-0.2314,-0.1071,-0.8441,-0.4715,27.8155516492,94.734747252,-11.9543473856
-0.0197,-0.0451,0.9129,0.405,-0.2109,-0.1287,0.6784,0.6917,-0.2165,-0.1481,-0.8386,-0.4772,27.5855292818,94.4130435152,-12.4528590614
-0.0208,-0.0531,0.9129,0.404,-0.2146,-0.1447,0.6754,0.6904,-0.214,-0.1608,-0.8378,-0.4756,24.3711360554,94.68583784,-10.2634821074
-0.0208,-0.0531,0.9129,0.404,-0.2146,-0.1447,0.6754,0.6904,-0.214,-0.1608,-0.8378,-0.4756,22.8793906216,94.65717512,-10.3549796944
-0.0188,-0.0529,0.9122,0.4057,-0.2147,-0.1464,0.6734,0.692,-0.2114,-0.1663,-0.838,-0.4746,23.1294043932,94.3936898706,-10.620546122
-0.0015,-0.0399,0.9111,0.4101,-0.2043,-0.1188,0.6774,0.6965,-0.2128,-0.1694,-0.837,-0.4747,23.9863864996,94.4301218836,-10.7119140084
-0.0015,-0.0399,0.9111,0.4101,-0.2043,-0.1188,0.6774,0.6965,-0.2128,-0.1694,-0.837,-0.4747,28.75439654,94.0735324904,-12.8050673576
0.0197,-0.0242,0.9088,0.416,-0.1831,-0.0746,0.6961,0.6901,-0.2174,-0.1452,-0.8337,-0.4863,28.814604745,94.233935413,-12.4460266168
0.0262,-0.0153,0.9121,0.4086,-0.1702,-0.0488,0.712,0.6794,-0.223,-0.0739,-0.8255,-0.5131,35.7498081722,93.5590101084,-16.0404172036
0.0262,-0.0153,0.9121,0.4086,-0.1702,-0.0488,0.712,0.6794,-0.223,-0.0739,-0.8255,-0.5131,39.217162914,92.9711496748,-18.4118849472
0.0265,-0.0131,0.9132,0.4062,-0.1703,-0.0382,0.7176,0.6741,-0.2419,0.0057,-0.7954,-0.5556,39.3161597488,93.312274642,-17.5729501856
0.0281,-0.009,0.9125,0.4078,-0.1742,-0.0294,0.7214,0.6695,-0.2577,0.054,-0.78,-0.5675,42.2084350814,92.1681749664,-19.366148345
0.0281,-0.009,0.9125,0.4078,-0.1742,-0.0294,0.7214,0.6695,-0.2577,0.054,-0.78,-0.5675,44.6316244552,90.9713710832,-19.8457134344
0.0263,-0.0086,0.9138,0.4052,-0.1823,-0.0241,0.7271,0.6614,-0.27,0.0834,-0.7732,-0.5676,44.7468597442,90.9362327996,-19.5331905462
0.0267,-0.0085,0.9151,0.4021,-0.1839,-0.0208,0.7328,0.6547,-0.2768,0.0989,-0.7745,-0.56,45.5882868022,89.8957336076,-21.2912252742
0.0291,-0.0044,0.9169,0.3978,-0.1819,-0.0126,0.739,0.6485,-0.2872,0.115,-0.7772,-0.5478,47.265475041,88.7027877764,-21.5171432346
0.02,-0.01,0.9188,0.3938,-0.1893,-0.0288,0.7323,0.6533,-0.2906,0.1093,-0.7791,-0.5444,48.0936341736,88.7329626966,-21.0419519184
0.02,-0.01,0.9188,0.3938,-0.1893,-0.0288,0.7323,0.6533,-0.2906,0.1093,-0.7791,-0.5444,46.255529469,89.5427969208,-21.4435330932
0.0045,-0.0199,0.9221,0.3862,-0.1928,-0.0491,0.728,0.656,-0.2915,0.0842,-0.7877,-0.536,41.801053916,91.8109154292,-20.6194951292
-0.0032,-0.0239,0.9238,0.3819,-0.1928,-0.0573,0.7269,0.6564,-0.2916,0.0687,-0.7942,-0.5286,41.6489832828,91.8547472614,-20.6068651298
-0.0138,-0.0335,0.923,0.3829,-0.1997,-0.085,0.7185,0.6607,-0.2699,0.007,-0.8171,-0.5092,35.4849678746,94.1636527026,-17.9422823662
-0.0148,-0.0343,0.9229,0.3831,-0.2008,-0.0971,0.7148,0.6627,-0.2572,-0.0244,-0.83,-0.4943,30.9702881956,94.7705037992,-13.978804688
-0.0269,-0.0441,0.9218,0.384,-0.2098,-0.1234,0.6976,0.6737,-0.2293,-0.0968,-0.8455,-0.4723,30.745387701,94.5941574508,-15.4091922548
-0.0215,-0.0465,0.9189,0.3909,-0.2072,-0.1297,0.6932,0.6779,-0.2249,-0.124,-0.8496,-0.4605,26.7746718558,94.7021349284,-12.6254237388
-0.0189,-0.0465,0.9183,0.3924,-0.2065,-0.1363,0.6881,0.6821,-0.2238,-0.1351,-0.8499,-0.4573,24.6833063848,94.552618417,-9.0097463392
-0.0214,-0.0469,0.9146,0.4008,-0.2062,-0.1395,0.6828,0.6867,-0.2145,-0.1506,-0.8469,-0.4625,24.2395745326,94.4085157638,-10.5252123336
-0.021,-0.0473,0.9149,0.4002,-0.2064,-0.1378,0.6832,0.6866,-0.2123,-0.1552,-0.8474,-0.4611,23.7138296838,93.9191894214,-8.7908534248
-0.02,-0.047,0.9149,0.4002,-0.2047,-0.1324,0.6838,0.6876,-0.2125,-0.1564,-0.8474,-0.4606,23.4381718726,93.938694707,-9.7737684712
-0.0084,-0.0418,0.9143,0.4026,-0.1996,-0.1156,0.6864,0.6896,-0.2164,-0.1578,-0.8439,-0.4646,23.5497018032,94.0680742036,-10.0423418752
-0.0084,-0.0418,0.9143,0.4026,-0.1996,-0.1156,0.6864,0.6896,-0.2164,-0.1578,-0.8439,-0.4646,24.7435768236,94.09652532,-10.353875802
0.0061,-0.0305,0.9118,0.4094,-0.1835,-0.0774,0.6991,0.6866,-0.2177,-0.142,-0.8385,-0.4789,29.154308599,94.3941319368,-12.3750867016
0.0211,-0.0174,0.9132,0.4066,-0.1705,-0.049,0.715,0.6762,-0.2216,-0.0907,-0.8291,-0.5051,28.8150874902,94.2559823286,-12.3910184526
0.0211,-0.0174,0.9132,0.4066,-0.1705,-0.049,0.715,0.6762,-0.2216,-0.0907,-0.8291,-0.5051,34.7667273212,93.9075948214,-16.1495227402
0.0214,-0.0136,0.9158,0.4006,-0.1683,-0.0341,0.7249,0.667,-0.2301,-0.0181,-0.8134,-0.5338,37.4347096656,93.479882714,-18.7706891908
0.0219,-0.0106,0.9188,0.3938,-0.1746,-0.0226,0.7333,0.6566,-0.258,0.055,-0.7942,-0.5473,37.5975365164,93.646056126,-17.5412917512
0.0219,-0.0106,0.9188,0.3938,-0.1746,-0.0226,0.7333,0.6566,-0.258,0.055,-0.7942,-0.5473,41.0698042592,92.280375937,-20.7775475976
0.0215,-0.0103,0.9218,0.3867,-0.1812,-0.0195,0.7385,0.6491,-0.2799,0.0958,-0.7878,-0.5401,43.9108899968,91.3027412928,-21.8596883968
0.0225,-0.0071,0.9227,0.3847,-0.184,-0.0163,0.7395,0.6472,-0.2869,0.1123,-0.7846,-0.538,43.7022955584,91.332812824,-20.7339651612
0.0225,-0.0071,0.9227,0.3847,-0.184,-0.0163,0.7395,0.6472,-0.2869,0.1123,-0.7846,-0.538,46.0876832208,90.547069193,-21.7556168094
0.0136,-0.0108,0.9221,0.3863,-0.1928,-0.0395,0.7266,0.6581,-0.2904,0.0974,-0.7876,-0.5345,45.1586268696,91.0760428068,-20.9805406404
-0.0053,-0.0252,0.9222,0.3857,-0.1997,-0.0668,0.7158,0.6657,-0.2786,0.0302,-0.8167,-0.5043,44.6124572924,90.7610400856,-20.7587908944
-0.0053,-0.0252,0.9222,0.3857,-0.1997,-0.0668,0.7158,0.6657,-0.2786,0.0302,-0.8167,-0.5043,38.2069062364,93.5341785466,-18.3136490584
