S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0825,-0.1006,0.9357,0.3277,-0.3078,-0.0807,0.785,0.5313,0.2448,0.5734,0.6455,0.4409,37.6709411376,99.170123637,1.3564247832
-0.0811,-0.1006,0.936,0.327,-0.3068,-0.077,0.7861,0.5309,0.2457,0.572,0.646,0.4415,37.7666975288,99.126886581,0.9825988616
-0.0786,-0.1002,0.9368,0.3256,-0.3063,-0.0698,0.789,0.5278,0.2495,0.566,0.6483,0.4438,38.8681538326,99.0049744002,0.2685295086
-0.0766,-0.0997,0.9374,0.3245,-0.3049,-0.0647,0.7915,0.5255,0.2516,0.5641,0.6488,0.4442,38.9749534936,98.9141761066,0.1346207594
-0.0751,-0.0994,0.938,0.3233,-0.3049,-0.0609,0.7932,0.5234,0.2521,0.5628,0.6495,0.4445,40.58852951,98.55681237,-0.9342826948
-0.0748,-0.0991,0.9382,0.3228,-0.3067,-0.0579,0.7943,0.5211,0.2542,0.5602,0.6488,0.4478,41.202691157,98.4650270168,-2.0772706716
-0.0733,-0.0996,0.9382,0.3229,-0.3081,-0.0582,0.7944,0.52,0.2559,0.5587,0.6484,0.4492,40.994051242,98.4147393586,-1.9555961662
-0.0723,-0.1002,0.9383,0.3228,-0.3096,-0.0582,0.7946,0.5189,0.2575,0.5568,0.6484,0.4506,41.1247412428,98.4745866622,-2.2247328162
-0.0724,-0.1005,0.9384,0.3223,-0.3122,-0.0581,0.7943,0.5177,0.2578,0.556,0.6484,0.4514,41.1061040076,98.3969640366,-3.3055720242
-0.0728,-0.1007,0.9383,0.3225,-0.3128,-0.0582,0.7941,0.5177,0.2583,0.5559,0.6481,0.4517,41.144679183,98.3134583842,-3.3652800608
-0.0727,-0.101,0.9383,0.3225,-0.3132,-0.0587,0.7941,0.5173,0.2595,0.5553,0.6478,0.4522,41.136852204,98.2676340784,-3.6601175372
-0.0736,-0.1015,0.9378,0.3236,-0.3173,-0.063,0.791,0.5191,0.2592,0.5552,0.6481,0.452,40.9224186066,98.261302669,-3.6200696698
-0.0758,-0.1013,0.9369,0.3257,-0.3203,-0.0685,0.7874,0.522,0.2594,0.5568,0.6476,0.4506,40.9194516882,98.331227909,-3.6208616358
-0.0772,-0.1012,0.9362,0.3273,-0.3218,-0.0729,0.7847,0.5245,0.2579,0.5596,0.6466,0.4495,39.9318143604,98.4532518714,-2.9517055614
-0.0786,-0.1008,0.9344,0.3323,-0.3157,-0.0867,0.7776,0.5366,0.2484,0.5747,0.643,0.4409,37.5125661644,99.031500934,-0.3398326548
-0.0784,-0.101,0.9338,0.3338,-0.3106,-0.091,0.7755,0.5419,0.249,0.579,0.6361,0.445,37.7047263456,99.0601236936,-0.4918855248
-0.0779,-0.1016,0.9337,0.3344,-0.3036,-0.0989,0.773,0.548,0.2545,0.5783,0.6297,0.4517,34.290288232,99.3085066104,3.963092018
-0.0769,-0.1024,0.9322,0.3384,-0.2988,-0.1073,0.7682,0.5558,0.2672,0.5738,0.6156,0.4693,31.8144625308,99.0528488088,7.2181852564
-0.0761,-0.1021,0.9321,0.3389,-0.2977,-0.1071,0.768,0.5567,0.2689,0.5737,0.6132,0.4716,32.2682147688,98.8954098398,6.7926186294
-0.0765,-0.1016,0.9322,0.3386,-0.2976,-0.1068,0.7686,0.556,0.2692,0.5737,0.6128,0.4719,31.6866472632,98.843683683,7.4434846358
-0.0784,-0.0997,0.9327,0.3375,-0.2962,-0.1023,0.7706,0.5548,0.2692,0.5742,0.6129,0.4712,31.7656941688,98.806033307,6.5591126294
-0.0785,-0.0998,0.933,0.3366,-0.2946,-0.0988,0.7703,0.5568,0.2687,0.5729,0.614,0.4716,31.556594268,98.774316465,6.887630287
