seconds,S8.x,S8.y,S8.z,S9.x,S9.y,S9.z,S10.x,S10.y,S10.z,S11.x,S11.y,S11.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1565366108.39,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1565366108.41,134.407123738,-29.7985913192,107.200719303,107.607236472,-21.8628797148,156.434086731,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.01605709243,0.0808490757084,0.034943281887,-21.8742299736,-5.9104810427,-6.098670989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09424,-0.16706,-1.24544,18.7942006975,-13.2775955701,27.4055325962,
1565366108.43,134.291664841,-29.7530800126,107.335370449,107.444474987,-21.8038334126,156.643422801,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.01605709243,0.0808490757084,0.034943281887,-21.8742299736,-5.9104810427,-6.098670989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09424,-0.16706,-1.24544,18.7942006975,-13.2775955701,27.4055325962,
1565366108.45,134.242767727,-29.6270122479,107.339063216,107.303874883,-21.7173843638,156.649445619,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0157834853466,0.0812304004506,0.0334960694116,-24.9034676376,-5.79225226802,-6.86053960427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,-0.16716,-1.24551,18.8775369595,-13.3315556449,27.5723894471,
1565366108.47,134.220331398,-29.5361193717,107.322761024,107.082977703,-21.6370147581,156.645347727,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0153591645968,0.081379289574,0.033342026182,-25.0248270001,-5.80829205837,-7.01945512544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,-0.16716,-1.24551,18.8775369595,-13.3315556449,27.5723894471,
1565366108.49,134.151151627,-29.4842648448,107.276020999,106.400359819,-21.6251885103,156.737358271,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0153591645968,0.081379289574,0.033342026182,-25.0248270001,-5.80829205837,-7.01945512544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,-0.16716,-1.24551,18.8775369595,-13.3315556449,27.5723894471,
1565366108.51,134.042114378,-29.4232139565,107.220645368,104.929328337,-21.729038053,157.116471048,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0158317483488,0.081065090928,0.0338176265948,-23.5347532463,-5.633354103,-6.58825174236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09413,-0.16717,-1.24555,18.9632534915,-13.5163778951,27.6634189704,
1565366108.53,133.893432092,-29.3275259333,107.179044104,104.150719487,-21.7872941664,157.377768991,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0158317483488,0.081065090928,0.0338176265948,-23.5347532463,-5.633354103,-6.58825174236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09413,-0.16717,-1.24555,18.9632534915,-13.5163778951,27.6634189704,
1565366108.55,133.721142796,-29.2310100934,107.144696408,102.590222031,-21.8633114579,157.887664572,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0163741574416,0.0806544716384,0.0356075529296,-16.6707052172,-4.44120825081,-4.71024285857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388,-0.16723,-1.24545,19.0361469162,-13.6622408273,27.6977434968,
1565366108.57,133.644449119,-29.1501597317,107.132254841,102.223133945,-21.8658844789,158.109425041,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0159652491122,0.08061638191,0.035402498221,-16.7621975194,-4.32127831847,-4.7823278711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388,-0.16723,-1.24545,19.0361469162,-13.6622408273,27.6977434968,
1565366108.59,133.63648188,-29.1530635208,107.190261448,102.28228769,-21.8127735746,158.095618333,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0159652491122,0.08061638191,0.035402498221,-16.7621975194,-4.32127831847,-4.7823278711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388,-0.16723,-1.24545,19.0361469162,-13.6622408273,27.6977434968,
1565366108.61,133.732106862,-29.1366599067,107.242822243,103.720407599,-21.3838716831,157.551347356,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0163456539742,0.080410220092,0.0359960218502,-14.6878165858,-3.87241240827,-4.38649226028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09382,-0.16731,-1.24548,18.9885793413,-13.8576234815,27.7212917156,
