S8_w,S8_x,S8_y,S8_z,S6_w,S6_x,S6_y,S6_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.108,-0.0683,0.8774,0.4623,0.0603,0.3154,0.8532,0.4108,0.0583,0.314,0.9093,0.2664,0.1223,0.1059,0.9232,0.3485,0.972828487,-0.103193612,0.023835831,-0.205882652,54.90872083,-36.39290202,-23.40393068
0.1075,-0.0686,0.8775,0.4622,0.0602,0.3165,0.8531,0.4102,0.0579,0.3151,0.9096,0.2643,0.1223,0.106,0.9233,0.3482,0.972448524,-0.105105081,0.023919564,-0.206699406,54.6766479,-36.39955677,-23.52399572
0.1075,-0.0688,0.8773,0.4625,0.0593,0.3176,0.8529,0.4098,0.0568,0.3167,0.9094,0.2633,0.1224,0.1058,0.923,0.3488,0.972448524,-0.105105081,0.023919564,-0.206699406,54.36992986,-35.99247329,-23.6877211
0.107,-0.0684,0.877,0.4632,0.0582,0.3203,0.8533,0.407,0.0535,0.3193,0.9101,0.2583,0.1224,0.1062,0.923,0.3488,0.970737377,-0.112451364,0.021928299,-0.211051616,54.02923984,-35.94173176,-23.83791827
0.1072,-0.0684,0.8765,0.4642,0.0579,0.3208,0.8536,0.4062,0.0522,0.319,0.9107,0.2567,0.1221,0.1058,0.9227,0.3499,0.970409765,-0.115243424,0.021431326,-0.211103147,53.69722738,-35.87290234,-23.74133936
0.1056,-0.0687,0.8762,0.4649,0.0566,0.3229,0.8555,0.4006,0.0479,0.3198,0.9131,0.2482,0.122,0.1055,0.9223,0.3508,0.968980971,-0.125385749,0.018784152,-0.212135447,52.77139415,-35.79087761,-23.6716791
0.106,-0.0687,0.8753,0.4666,0.0554,0.3239,0.8555,0.3999,0.0452,0.3203,0.9138,0.2453,0.1215,0.1051,0.9219,0.3522,0.968229572,-0.130113749,0.019135783,-0.212686931,52.03057487,-35.58006549,-23.59796833
0.1052,-0.0685,0.8758,0.4658,0.0563,0.3244,0.8558,0.3988,0.0455,0.3202,0.9143,0.2434,0.1224,0.1054,0.9219,0.3519,0.968052448,-0.131774154,0.017063473,-0.212647285,51.94655379,-35.69079994,-23.64966197
0.1053,-0.0685,0.8753,0.4668,0.0565,0.3244,0.8559,0.3985,0.0457,0.3197,0.9147,0.2426,0.1218,0.1055,0.9222,0.3514,0.968212403,-0.131835918,0.01748474,-0.211845031,51.73011675,-35.78109668,-23.59579636
0.1051,-0.0682,0.8753,0.4669,0.056,0.3245,0.8558,0.3988,0.0449,0.32,0.9146,0.2428,0.1222,0.1055,0.9217,0.3525,0.967960354,-0.132993992,0.016807237,-0.212327266,51.82578156,-35.70769902,-23.59607382
