S8_w,S8_x,S8_y,S8_z,S6_w,S6_x,S6_y,S6_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.0709,-0.0046,0.8693,0.4889,-0.1156,0.3143,0.9012,0.2749,-0.217,0.1414,0.9648,-0.0449,-0.0546,0.1251,0.9242,0.3564,0.905322744,-0.404831043,-0.091873508,-0.089787602,5.522968806,-20.18930312,-3.349378045
-0.0703,-0.0048,0.8703,0.4874,-0.115,0.3078,0.9033,0.2754,-0.2207,0.1372,0.9641,-0.0526,-0.0516,0.125,0.924,0.3574,0.900753637,-0.413765324,-0.098589357,-0.08787082,-2.264112076,-18.58214548,-1.847675515
-0.0709,-0.004,0.871,0.486,-0.1163,0.3018,0.9049,0.2762,-0.232,0.1258,0.9615,-0.0753,-0.0483,0.1255,0.924,0.3577,0.900073456,-0.414615744,-0.101703557,-0.087280836,-7.116553639,-16.94564038,-0.865321402
-0.0718,-0.0038,0.872,0.4841,-0.1182,0.2984,0.9061,0.2752,-0.2395,0.1209,0.9592,-0.0888,-0.0465,0.1258,0.9242,0.3573,0.881232,-0.449360392,-0.122391383,-0.08078212,-7.116553639,-16.94564038,-0.865321402
-0.0725,-0.0034,0.8728,0.4824,-0.1179,0.2971,0.9066,0.2754,-0.2458,0.1177,0.957,-0.0985,-0.0457,0.126,0.9244,0.3569,0.881232,-0.449360392,-0.122391383,-0.08078212,-7.116553639,-16.94564038,-0.865321402
-0.0725,-0.0034,0.8728,0.4824,-0.1179,0.2971,0.9066,0.2754,-0.2458,0.1177,0.957,-0.0985,-0.0457,0.126,0.9244,0.3569,0.881265223,-0.449125441,-0.123233622,-0.080445134,-7.116553639,-16.94564038,-0.865321402
-0.0732,-0.0039,0.8736,0.4809,-0.1138,0.2974,0.9066,0.2766,-0.2534,0.1121,0.9539,-0.1143,-0.0438,0.1264,0.9248,0.3559,0.866936501,-0.472415948,-0.13824842,-0.07830485,-10.33955332,-15.50786349,-0.608734961
-0.0729,-0.004,0.8746,0.4791,-0.1101,0.2983,0.9064,0.2777,-0.2597,0.1083,0.9509,-0.1286,-0.0416,0.1267,0.9252,0.3549,0.85880614,-0.484937676,-0.146012953,-0.077250775,-13.14429469,-14.4804186,-0.508704219
-0.0725,-0.0038,0.8746,0.4793,-0.106,0.2988,0.9061,0.2797,-0.2636,0.1042,0.9494,-0.1351,-0.0392,0.1262,0.9255,0.3547,0.854326701,-0.491022828,-0.152752733,-0.075425942,-13.14429469,-14.4804186,-0.508704219
-0.0733,-0.0025,0.8738,0.4807,-0.1036,0.2993,0.9059,0.281,-0.2695,0.0996,0.947,-0.1436,-0.0386,0.1255,0.9254,0.3552,0.854326701,-0.491022828,-0.152752733,-0.075425942,-13.14429469,-14.4804186,-0.508704219
