S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.2888,0.0954,0.785,0.5396,-0.3753,0.3464,0.7008,0.4979,-0.3232,0.2471,0.8954,0.1803,-0.3248,0.1673,0.8616,0.352,0.981498491,-0.133680433,0.069188803,-0.118334964,17.13263494,-1.324450752,0.484208701
-0.2874,0.0908,0.7896,0.5344,-0.372,0.3477,0.7113,0.4843,-0.3179,0.2524,0.8927,0.1956,-0.3286,0.1623,0.8647,0.3432,0.98459695,-0.105909068,0.073340043,-0.118208943,22.16138789,-2.098320255,0.161228727
-0.2872,0.0872,0.7924,0.5308,-0.3704,0.3481,0.7172,0.4765,-0.3099,0.2584,0.8895,0.2139,-0.3301,0.1588,0.8674,0.3366,0.98459695,-0.105909068,0.073340043,-0.118208943,26.52643252,-2.785628756,0.179385999
-0.286,0.0761,0.8026,0.5178,-0.3607,0.3486,0.7395,0.4486,-0.2968,0.2761,0.8794,0.2493,-0.333,0.1473,0.8769,0.3135,0.988023615,-0.060601329,0.075605691,-0.120085784,29.95699356,-3.208754999,-0.289136489
-0.2852,0.0728,0.805,0.515,-0.3569,0.3489,0.745,0.4423,-0.2918,0.2807,0.8759,0.2621,-0.3333,0.1449,0.8786,0.3095,0.988519801,-0.050900738,0.073968129,-0.121517217,33.00522845,-3.125009829,-0.30438112
-0.2763,0.0656,0.8109,0.5116,-0.3408,0.3502,0.7594,0.4293,-0.2803,0.2979,0.8629,0.2965,-0.3287,0.1363,0.8865,0.2952,0.987260126,0.045957897,0.082565319,-0.128016734,36.48654554,-2.941560691,-0.740484782
-0.2734,0.064,0.8118,0.5119,-0.3368,0.3504,0.762,0.4277,-0.2764,0.3023,0.8594,0.3056,-0.3265,0.1357,0.8878,0.2942,0.985488257,0.067852065,0.082698415,-0.131795159,39.54390855,-2.961588117,-1.247504194
-0.2746,0.0646,0.8091,0.5153,-0.3372,0.3462,0.763,0.4291,-0.281,0.3041,0.8576,0.3049,-0.3237,0.1323,0.89,0.2922,0.983269079,0.087022076,0.081302141,-0.137837002,39.26402231,-2.688330931,-1.092964174
-0.276,0.0681,0.807,0.5174,-0.3392,0.3458,0.7601,0.433,-0.2862,0.3056,0.8568,0.3007,-0.3233,0.1336,0.8894,0.2941,0.983269079,0.087022076,0.081302141,-0.137837002,38.00202785,-1.410521955,-1.394749508
-0.278,0.0913,0.7927,0.5347,-0.3466,0.3456,0.7381,0.4641,-0.3034,0.2975,0.86,0.2824,-0.324,0.1436,0.8804,0.3149,0.986420199,0.043292609,0.073370115,-0.140419965,36.34481614,-0.694654198,-1.337584161
-0.278,0.0989,0.7878,0.5405,-0.3476,0.3464,0.7317,0.4729,-0.3089,0.2919,0.8627,0.2737,-0.3216,0.148,0.8779,0.3222,0.986420199,0.043292609,0.073370115,-0.140419965,32.86690807,-0.120432715,-0.644813807
-0.2827,0.1267,0.7682,0.5601,-0.3632,0.3457,0.7053,0.501,-0.3325,0.2754,0.8702,0.2371,-0.3234,0.1613,0.8668,0.3432,0.987812367,-0.057713805,0.049494639,-0.135816511,30.36096045,0.721753243,-0.647158047
-0.2855,0.13,0.7642,0.5633,-0.3644,0.3435,0.7009,0.5076,-0.3425,0.2633,0.8752,0.2174,-0.3218,0.1646,0.8652,0.3471,0.987812367,-0.057713805,0.049494639,-0.135816511,24.83630032,1.781563666,0.274983687
-0.3005,0.1387,0.7505,0.5718,-0.3793,0.3333,0.6768,0.5354,-0.3706,0.225,0.8931,0.1196,-0.3102,0.1769,0.8629,0.3574,0.96828471,-0.211781718,0.016508704,-0.131532075,16.05464672,2.032558971,0.1940852
-0.3119,0.1431,0.7394,0.5791,-0.3799,0.3306,0.6663,0.5497,-0.3788,0.2166,0.8952,0.0904,-0.3084,0.1811,0.8603,0.3631,0.96828471,-0.211781718,0.016508704,-0.131532075,8.266184465,2.53584044,-0.747553855
-0.3327,0.15,0.7346,0.5718,-0.387,0.3212,0.646,0.574,-0.3805,0.1738,0.9072,-0.043,-0.2982,0.1904,0.862,0.3627,0.91314123,-0.386801317,0.013763127,-0.127939092,-3.34517875,-0.1036935,-1.980303747
-0.337,0.1533,0.7337,0.5697,-0.3896,0.3168,0.6348,0.587,-0.379,0.1687,0.9081,-0.0562,-0.2988,0.192,0.8592,0.3681,0.91314123,-0.386801317,0.013763127,-0.127939092,-8.294522224,-1.320695813,-1.891972577
-0.3417,0.1517,0.7451,0.5521,-0.3911,0.3026,0.6149,0.6141,-0.3507,0.1383,0.916,-0.1365,-0.2882,0.1941,0.8593,0.3751,0.863990589,-0.489187848,0.041013131,-0.111952825,-13.78461416,-5.05757813,-1.34077922
-0.3471,0.1534,0.7449,0.5485,-0.3926,0.3006,0.6064,0.6226,-0.35,0.1334,0.9154,-0.1469,-0.2896,0.1954,0.8572,0.378,0.863990589,-0.489187848,0.041013131,-0.111952825,-18.36734555,-6.748050878,-0.721615854
-0.3524,0.157,0.7487,0.5389,-0.3937,0.2944,0.5929,0.6376,-0.3466,0.1242,0.9124,-0.1785,-0.2868,0.199,0.8573,0.3782,0.847462717,-0.518007358,0.043454272,-0.107643145,-22.21424185,-7.938568447,-0.67461364
-0.3538,0.1577,0.7481,0.5387,-0.3979,0.2868,0.5855,0.6453,-0.3445,0.122,0.9117,-0.1874,-0.2861,0.1979,0.8566,0.3807,0.833348003,-0.539846858,0.048710181,-0.108276473,-22.89927461,-8.264457315,-0.479984322
-0.3572,0.1557,0.7477,0.5375,-0.4003,0.2813,0.5822,0.6492,-0.3425,0.1194,0.9116,-0.1929,-0.2858,0.1948,0.8576,0.3805,0.829670455,-0.544978079,0.049824015,-0.110287792,-23.77139106,-8.65298617,-0.347865921
-0.3578,0.1538,0.7432,0.544,-0.3998,0.2813,0.5867,0.6455,-0.344,0.1218,0.9124,-0.1849,-0.2873,0.1936,0.8561,0.3833,0.828965705,-0.545849586,0.050459194,-0.110986302,-22.53503771,-8.215833737,-0.328269372
