S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.1985,-0.0767,0.9214,0.325,0.3192,-0.0413,0.7962,0.5121,-0.6916,0.0478,0.6372,0.3366,0.0521,0.0634,0.9805,0.1779,0.651757717,0.170367738,-0.724264107,-0.147065346,37.81499611,47.7481774,40.47306737
0.1979,-0.0779,0.9215,0.3247,0.3189,-0.0416,0.7962,0.5124,-0.692,0.048,0.6369,0.3363,0.0516,0.0632,0.9806,0.1778,0.651745073,0.170344772,-0.724248336,-0.14722556,37.72997636,47.8309544,40.3873904
0.1981,-0.0783,0.9216,0.3241,0.3191,-0.0415,0.7962,0.5122,-0.6918,0.048,0.6372,0.3361,0.0513,0.0631,0.9806,0.1778,0.652240461,0.170197685,-0.723856482,-0.147128933,37.72997636,47.8309544,40.3873904
0.1984,-0.0778,0.9217,0.3238,0.3197,-0.041,0.7963,0.5118,-0.6918,0.0482,0.6373,0.3358,0.0512,0.0631,0.9807,0.1778,0.652388005,0.169902689,-0.723765152,-0.147264969,37.72997636,47.8309544,40.3873904
0.1988,-0.0767,0.9219,0.3232,0.3208,-0.0401,0.7966,0.5106,-0.6923,0.0483,0.6369,0.3355,0.0513,0.0631,0.9806,0.1778,0.652388005,0.169902689,-0.723765152,-0.147264969,37.61558986,47.86141384,40.27263902
0.1988,-0.0767,0.9219,0.3232,0.3208,-0.0401,0.7966,0.5106,-0.6923,0.0483,0.6369,0.3355,0.0513,0.0631,0.9806,0.1778,0.652315712,0.169880075,-0.723826978,-0.147307423,37.61558986,47.86141384,40.27263902
0.1992,-0.0744,0.9226,0.3216,0.3217,-0.0393,0.7969,0.5096,-0.692,0.0485,0.6372,0.3355,0.0517,0.0632,0.9806,0.1778,0.651890927,0.169484385,-0.724223064,-0.147696364,37.51722098,47.812418,40.18344654
0.1994,-0.0733,0.9228,0.3213,0.3228,-0.0383,0.7971,0.5087,-0.6917,0.0484,0.6376,0.3354,0.0523,0.0632,0.9806,0.1778,0.651455328,0.169449992,-0.72458284,-0.147893084,37.51722098,47.812418,40.18344654
0.2,-0.0715,0.923,0.3205,0.3239,-0.0373,0.7973,0.5079,-0.6921,0.0474,0.6373,0.3352,0.0529,0.0633,0.9805,0.1779,0.651025394,0.169004894,-0.725250342,-0.147021165,37.51722098,47.812418,40.18344654
0.2005,-0.0689,0.9234,0.3198,0.3269,-0.0333,0.798,0.505,-0.6921,0.0464,0.6379,0.3344,0.0534,0.0634,0.9804,0.1782,0.651025394,0.169004894,-0.725250342,-0.147021165,37.46673056,47.80194812,40.29807724
