seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566578972.79,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578972.8,-0.1534,-0.8849,-0.0533,0.4364,0.1928,0.9553,0.0081,-0.2236,0.2821,0.7604,0.5739,-0.112,-0.1443,-0.823,-0.4899,0.2484,0.3993,0.811,0.3624,-0.2265,0.2318,0.0416,0.963,0.1309,0.1582,0.8739,0.275,-0.3682,0.2868,0.7263,0.4703,-0.411,-176.309558958,-52.0734469221,158.527340941,-175.504063592,-25.4933041097,156.161968303,111.314422242,-29.6219765851,159.772852215,118.351886798,-33.3897070757,-179.597503212,147.32738996,-41.0660540694,140.102711698,8.99977485283,-25.8216266486,162.451484412,147.767684096,-46.9371358185,173.778431005,116.149534208,-60.099939902,176.547095744,0.0,0.0,0.0,0.0,0.0,0.0,0.0418809726464,0.0746365510848,0.054438913824,2.93295948371,8.07272434819,10.0546184052,0.0,0.0,0.0,0.0,0.0,0.0,-0.00898,0.04864,-1.13565,-3.15235339799,1.04209173764,-5.92341340734,
1566578972.82,-0.1534,-0.8849,-0.0533,0.4364,0.1928,0.9553,0.0081,-0.2236,0.2821,0.7604,0.574,-0.1122,-0.1442,-0.8228,-0.4901,0.2488,0.4,0.8106,0.3626,-0.2263,0.2329,0.0421,0.9625,0.1318,0.1579,0.8739,0.275,-0.3682,0.2864,0.7265,0.4702,-0.411,-176.309558958,-52.0734469221,158.527340941,-175.504063592,-25.4933041097,156.161968303,111.303677066,-29.6405464246,159.790036886,118.304196349,-33.4239111155,-179.548356703,147.329355124,-41.080095638,140.004546448,9.1150006459,-25.933378713,162.302403118,147.747758361,-46.9291031831,173.82303405,116.14673766,-60.0722798094,176.594100122,0.0,0.0,0.0,0.0,0.0,0.0,0.0419091410344,0.0743961391368,0.054323825934,2.88270668265,8.04431881364,10.0460726364,0.0,0.0,0.0,0.0,0.0,0.0,-0.00898,0.04864,-1.13565,-3.15235339799,1.04209173764,-5.92341340734,
1566578972.84,-0.1534,-0.8848,-0.0534,0.4366,0.1928,0.9553,0.0081,-0.2236,0.2813,0.761,0.5736,-0.1121,-0.1437,-0.823,-0.49,0.2486,0.3995,0.8109,0.3626,-0.2262,0.2345,0.041,0.962,0.1328,0.1575,0.8741,0.2749,-0.3679,0.286,0.7268,0.4701,-0.4108,-176.317152985,-52.1005635049,158.527794422,-175.504063592,-25.4933041097,156.161968303,111.354037383,-29.564657823,159.852842976,118.316328847,-33.3729990891,-179.512963808,147.301264731,-41.0484588161,140.079051171,9.04879089007,-26.1292790995,162.176502415,147.747105813,-46.8795789484,173.861958987,116.165343514,-60.0225833143,176.615065848,0.0,0.0,0.0,0.0,0.0,0.0,0.0419091410344,0.0743961391368,0.054323825934,2.88270668265,8.04431881364,10.0460726364,0.0,0.0,0.0,0.0,0.0,0.0,-0.00898,0.04864,-1.13565,-3.15235339799,1.04209173764,-5.92341340734,
1566578972.86,-0.1534,-0.8848,-0.0534,0.4366,0.1928,0.9553,0.0081,-0.2236,0.2813,0.761,0.5736,-0.1121,-0.1437,-0.823,-0.49,0.2486,0.3995,0.8109,0.3626,-0.2262,0.2345,0.041,0.962,0.1328,0.1575,0.8741,0.2749,-0.3679,0.286,0.7268,0.4701,-0.4108,-176.317152985,-52.1005635049,158.527794422,-175.504063592,-25.4933041097,156.161968303,111.354037383,-29.564657823,159.852842976,118.316328847,-33.3729990891,-179.512963808,147.301264731,-41.0484588161,140.079051171,9.04879089007,-26.1292790995,162.176502415,147.747105813,-46.8795789484,173.861958987,116.165343514,-60.0225833143,176.615065848,0.0,0.0,0.0,0.0,0.0,0.0,0.041841191955,0.074734669984,0.054451417355,2.84249333227,8.07684419917,10.1251115309,0.0,0.0,0.0,0.0,0.0,0.0,-0.00898,0.04887,-1.13552,-3.20034130695,1.08612401075,-5.90224145306,
1566578972.88,-0.1534,-0.8848,-0.0534,0.4366,0.1928,0.9553,0.0081,-0.2236,0.281,0.7612,0.5735,-0.112,-0.1431,-0.8231,-0.4901,0.2482,0.3989,0.8112,0.3626,-0.2262,0.2366,0.0387,0.9614,0.1346,0.1575,0.8743,0.2749,-0.3676,0.2858,0.7267,0.4704,-0.4108,-176.317152985,-52.1005635049,158.527794422,-175.504063592,-25.4933041097,156.161968303,111.365963,-29.5312549111,159.874286164,118.299990238,-33.2969530147,-179.471056183,147.270317832,-41.0253333735,140.168869724,8.8702169341,-26.395692955,161.976237923,147.758117145,-46.8400588198,173.84808255,116.083991262,-60.0090343165,176.684787484,0.0,0.0,0.0,0.0,0.0,0.0,0.04198368098,0.0746574450512,0.0545378377384,2.93745378295,7.94318898403,10.1070434604,0.0,0.0,0.0,0.0,0.0,0.0,-0.00877,0.04905,-1.13545,-3.19926477531,1.06292793669,-5.91306678655,
1566578972.9,-0.1534,-0.8848,-0.0534,0.4367,0.1928,0.9553,0.0081,-0.2236,0.2813,0.7613,0.5733,-0.1121,-0.1431,-0.823,-0.4903,0.2481,0.3991,0.8111,0.3626,-0.2263,0.2363,0.0393,0.9614,0.1345,0.1577,0.8742,0.2747,-0.3678,0.2861,0.7266,0.4703,-0.411,-176.31377315,-52.1106431176,158.525739214,-175.504063592,-25.4933041097,156.161968303,111.405862903,-29.554310082,159.840801632,118.272769346,-33.2868723195,-179.469061829,147.283870869,-41.0431133072,140.140961549,8.93435697322,-26.352433485,161.976364729,147.795042602,-46.8716927347,173.814022198,116.109745238,-60.0491684938,176.649706566,0.0,0.0,0.0,0.0,0.0,0.0,0.04198368098,0.0746574450512,0.0545378377384,2.93745378295,7.94318898403,10.1070434604,0.0,0.0,0.0,0.0,0.0,0.0,-0.00877,0.04905,-1.13545,-3.19926477531,1.06292793669,-5.91306678655,
1566578972.92,-0.1534,-0.8848,-0.0534,0.4367,0.1928,0.9553,0.0081,-0.2236,0.2818,0.7611,0.5733,-0.1123,-0.1436,-0.8228,-0.4902,0.2487,0.3984,0.8114,0.3619,-0.2273,0.2339,0.0405,0.9622,0.1327,0.1581,0.8739,0.2747,-0.3684,0.2866,0.7261,0.4702,-0.4116,-176.31377315,-52.1106431176,158.525739214,-175.504063592,-25.4933041097,156.161968303,111.412625616,-29.6084726954,159.800534456,118.274840111,-33.3789172018,-179.484083512,147.372615997,-41.1020524781,140.221168632,8.96938924506,-26.0695472932,162.214884737,147.803553589,-46.9569168879,173.781197719,116.09239091,-60.1535959363,176.643770464,0.0,0.0,0.0,0.0,0.0,0.0,0.041800371298,0.0744712736854,0.0544350381066,2.9401810502,7.96561893771,10.1195221877,0.0,0.0,0.0,0.0,0.0,0.0,-0.00877,0.04905,-1.13545,-3.19926477531,1.06292793669,-5.91306678655,
1566578972.94,-0.1534,-0.8849,-0.0533,0.4364,0.1928,0.9553,0.0081,-0.2236,0.2822,0.7608,0.5734,-0.1124,-0.1439,-0.8225,-0.4906,0.249,0.3984,0.8114,0.3616,-0.2277,0.2329,0.0416,0.9625,0.1319,0.1582,0.8738,0.2749,-0.3685,0.2866,0.7259,0.4705,-0.4116,-176.309558958,-52.0734469221,158.527340941,-175.504063592,-25.4933041097,156.161968303,111.398167767,-29.6510734918,159.768388091,118.213287003,-33.4255665799,-179.477972384,147.425681175,-41.1350034589,140.210681272,9.05667739042,-25.9416792429,162.303534302,147.775484026,-46.9728466847,173.78459185,116.02064259,-60.1552567693,176.685281727,0.0,0.0,0.0,0.0,0.0,0.0,0.041800371298,0.0744712736854,0.0544350381066,2.9401810502,7.96561893771,10.1195221877,0.0,0.0,0.0,0.0,0.0,0.0,-0.00877,0.04905,-1.13545,-3.19926477531,1.06292793669,-5.91306678655,
1566578972.96,-0.1534,-0.8849,-0.0533,0.4364,0.1928,0.9553,0.0081,-0.2236,0.2822,0.7608,0.5734,-0.1124,-0.1439,-0.8225,-0.4906,0.249,0.3984,0.8114,0.3616,-0.2277,0.2329,0.0416,0.9625,0.1319,0.1582,0.8738,0.2749,-0.3685,0.2866,0.7259,0.4705,-0.4116,-176.309558958,-52.0734469221,158.527340941,-175.504063592,-25.4933041097,156.161968303,111.398167767,-29.6510734918,159.768388091,118.213287003,-33.4255665799,-179.477972384,147.425681175,-41.1350034589,140.210681272,9.1290738872,-25.8963012989,162.363883594,147.74111873,-46.9264231153,173.837900275,115.918877136,-60.1313942201,176.789382079,0.0,0.0,0.0,0.0,0.0,0.0,0.0421203186848,0.0745843360502,0.0544473033874,2.93432796422,8.1395358935,10.105597034,0.0,0.0,0.0,0.0,0.0,0.0,-0.00859,0.04923,-1.13538,-3.15850727204,1.15618343828,-5.93825435637,
