S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.4205,0.0966,0.8472,0.3098,-0.3049,0.3262,0.8137,0.3718,32.312878216,84.191339058,46.6858667528
-0.4207,0.0971,0.8468,0.3104,-0.3052,0.3266,0.8137,0.3715,32.357189978,83.9696022568,46.1920364708
-0.4206,0.0971,0.847,0.31,-0.306,0.327,0.8135,0.3707,32.6382980248,83.864936255,46.4242159292
-0.4201,0.0969,0.8471,0.3105,-0.3067,0.3273,0.8131,0.3709,32.4655962406,84.0767492874,46.6682080972
-0.421,0.0969,0.8464,0.3112,-0.3073,0.327,0.8139,0.3687,32.4502341972,83.8627628028,46.5698527164
-0.421,0.0967,0.8465,0.311,-0.3078,0.3271,0.814,0.3679,32.3222005708,84.1291064148,46.6408812612
-0.4213,0.0967,0.8463,0.311,-0.3087,0.3273,0.8139,0.3673,32.4563584312,84.1391901792,46.6890311944
-0.4234,0.0972,0.8453,0.3107,-0.3114,0.328,0.8136,0.3651,32.4602513052,84.1846130832,46.8801371124
-0.4243,0.0973,0.8452,0.3099,-0.3128,0.3282,0.8136,0.3638,32.6094017466,84.4582622216,46.78650458
-0.4265,0.0972,0.8445,0.3088,-0.3156,0.3287,0.813,0.3623,32.470031284,84.223848388,46.491741182
-0.4302,0.0967,0.8434,0.3067,-0.319,0.3287,0.8135,0.358,32.4691805528,84.744614836,46.48166333
-0.4318,0.0964,0.8428,0.3061,-0.3209,0.3289,0.8134,0.3566,32.1278142144,85.08808032,46.475654848
-0.4341,0.0966,0.8417,0.306,-0.3236,0.3292,0.8128,0.355,32.358260642,84.791850282,45.9099632104
-0.4359,0.0969,0.8404,0.3067,-0.3276,0.3328,0.8117,0.3507,31.9351719244,85.122292884,46.6418104684
-0.4363,0.0967,0.8401,0.3073,-0.331,0.3346,0.8109,0.3475,32.0920207594,84.9494654808,46.6975238934
-0.4364,0.097,0.8392,0.3093,-0.3357,0.3355,0.8118,0.34,32.5392834276,84.885917944,45.595456863
-0.4364,0.0956,0.8392,0.3099,-0.337,0.3314,0.8171,0.3297,32.53078099,85.3044638476,46.4198628614
-0.4359,0.095,0.8391,0.311,-0.3353,0.3308,0.8189,0.3278,32.492124628,85.9264226736,46.2123819872
-0.4353,0.0953,0.8381,0.3143,-0.3289,0.3311,0.8209,0.3289,33.0361013058,85.7484286792,45.766460945
-0.4312,0.0971,0.837,0.3223,-0.3124,0.335,0.8238,0.3336,32.5513592814,86.2168761496,46.653915743
