seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566579094.1,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579094.12,-0.0937,-0.8684,0.0104,0.4867,0.177,0.9541,0.0068,-0.2413,0.3383,0.6919,0.6246,-0.1286,-0.1469,-0.7509,-0.6007,0.2315,0.4335,0.7532,0.4181,-0.2642,0.3253,0.0103,0.8695,0.3713,0.1229,0.8554,0.3238,-0.385,0.3045,0.6461,0.5373,-0.4484,-168.26251127,-57.5062478166,161.227251324,-175.311679956,-27.5743054795,157.829440306,103.492583491,-36.917165282,157.376940293,101.585375745,-31.6160243734,-176.127172612,141.873279972,-49.5174700321,138.265658411,18.2268253937,-33.9278381982,128.14956603,137.068224392,-47.5896006737,-176.67873483,92.7742638067,-65.0547675187,-167.903351845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579094.14,-0.0937,-0.8684,0.0104,0.4867,0.177,0.9541,0.0068,-0.2413,0.3352,0.6939,0.6242,-0.1279,-0.1452,-0.7515,-0.6005,0.2309,0.4331,0.7526,0.4199,-0.2636,0.3235,0.0097,0.8701,0.3715,0.1211,0.8557,0.3246,-0.3842,0.3021,0.6467,0.5369,-0.4494,-168.26251127,-57.5062478166,161.227251324,-175.311679956,-27.5743054795,157.829440306,103.533711815,-36.5881263274,157.631489061,101.627443657,-31.4368243793,-176.028761997,141.53610448,-49.5217902345,138.443586396,18.0290722067,-33.7686360453,128.245070963,136.883202135,-47.4120336422,-176.42661937,92.6080580992,-64.9466835435,-167.471915135,0.0,0.0,0.0,0.0,0.0,0.0,0.0410125162904,0.0781635750234,0.051840856732,5.74220136952,14.4336422194,15.8228514,0.0,0.0,0.0,0.0,0.0,0.0,0.00644,0.01339,-1.14115,7.4375429501,1.7460845421,-10.8595471819,
1566579094.16,-0.0937,-0.8684,0.0104,0.4867,0.177,0.9541,0.0068,-0.2413,0.3352,0.6939,0.6242,-0.1279,-0.1452,-0.7515,-0.6005,0.2309,0.4331,0.7526,0.4199,-0.2636,0.3235,0.0097,0.8701,0.3715,0.1211,0.8557,0.3246,-0.3842,0.3021,0.6467,0.5369,-0.4494,-168.26251127,-57.5062478166,161.227251324,-175.311679956,-27.5743054795,157.829440306,103.533711815,-36.5881263274,157.631489061,101.627443657,-31.4368243793,-176.028761997,141.53610448,-49.5217902345,138.443586396,18.0290722067,-33.7686360453,128.245070963,136.883202135,-47.4120336422,-176.42661937,92.6080580992,-64.9466835435,-167.471915135,0.0,0.0,0.0,0.0,0.0,0.0,0.0410125162904,0.0781635750234,0.051840856732,5.74220136952,14.4336422194,15.8228514,0.0,0.0,0.0,0.0,0.0,0.0,0.00644,0.01339,-1.14115,7.4375429501,1.7460845421,-10.8595471819,
1566579094.18,-0.0937,-0.8684,0.0104,0.4867,0.177,0.9541,0.0068,-0.2413,0.3328,0.6956,0.6236,-0.1276,-0.1427,-0.7522,-0.6002,0.2313,0.4312,0.7528,0.4218,-0.2635,0.3257,0.0028,0.8692,0.3719,0.1196,0.8562,0.3242,-0.384,0.3004,0.6475,0.5362,-0.4502,-168.26251127,-57.5062478166,161.227251324,-175.311679956,-27.5743054795,157.829440306,103.608323367,-36.3502150936,157.830658695,101.641496677,-31.2861566693,-175.773631763,141.093202335,-49.5078078307,138.892041147,17.4174559271,-34.3444624268,128.251110315,136.883829431,-47.3199965583,-176.262871231,92.6076609618,-64.8828064528,-167.232539962,0.0,0.0,0.0,0.0,0.0,0.0,0.0408907199904,0.0781677999408,0.051902743384,6.93092408941,13.9932802534,15.5229688586,0.0,0.0,0.0,0.0,0.0,0.0,0.00636,0.01275,-1.1415,7.492327442,1.66846663458,-10.6558297855,
1566579094.2,-0.0937,-0.8684,0.0104,0.4868,0.177,0.9541,0.0068,-0.2413,0.331,0.696,0.6242,-0.1273,-0.1411,-0.7525,-0.6003,0.2308,0.4302,0.7517,0.4247,-0.2632,0.3311,-0.0069,0.8663,0.3738,0.1178,0.8567,0.3249,-0.3827,0.2987,0.6479,0.5363,-0.4508,-168.258441023,-57.5160157089,161.223698904,-175.311679956,-27.5743054795,157.829440306,103.484599474,-36.1950127327,158.032405666,101.629797596,-31.1221982608,-175.661775234,140.535986018,-49.5773838542,139.245859211,16.7946402124,-35.3727572092,127.930393806,136.742362209,-47.0869951527,-176.054695875,92.4428119814,-64.7804942886,-166.911686603,0.0,0.0,0.0,0.0,0.0,0.0,0.0411753926144,0.0787435159712,0.0520617906384,6.89634921371,14.0549164642,15.3026108854,0.0,0.0,0.0,0.0,0.0,0.0,0.00636,0.01275,-1.1415,7.492327442,1.66846663458,-10.6558297855,
1566579094.22,-0.0937,-0.8684,0.0104,0.4868,0.177,0.9541,0.0068,-0.2413,0.3266,0.6983,0.6242,-0.1263,-0.1386,-0.7529,-0.6011,0.2291,0.4293,0.7498,0.4296,-0.2622,0.3411,-0.0168,0.8603,0.3783,0.1167,0.8569,0.3258,-0.3818,0.2959,0.6479,0.5376,-0.4511,-168.258441023,-57.5160157089,161.223698904,-175.311679956,-27.5743054795,157.829440306,103.447061597,-35.7461593069,158.421153056,101.567239161,-30.7749281769,-175.545646129,139.642968162,-49.6584802632,139.713471574,16.6437912987,-36.8478733472,126.947620318,136.586628516,-46.9289050404,-175.903066889,91.9763125544,-64.5332481333,-166.330890273,0.0,0.0,0.0,0.0,0.0,0.0,0.0411753926144,0.0787435159712,0.0520617906384,6.89634921371,14.0549164642,15.3026108854,0.0,0.0,0.0,0.0,0.0,0.0,0.00636,0.01275,-1.1415,7.492327442,1.66846663458,-10.6558297855,
1566579094.24,-0.0937,-0.8684,0.0104,0.4868,0.177,0.9541,0.0068,-0.2413,0.3243,0.7001,0.6234,-0.126,-0.1367,-0.753,-0.6015,0.2287,0.4282,0.7493,0.4315,-0.2621,0.3437,-0.0166,0.8582,0.3806,0.1149,0.8571,0.3267,-0.3811,0.2938,0.6481,0.538,-0.4516,-168.258441023,-57.5160157089,161.223698904,-175.311679956,-27.5743054795,157.829440306,103.559280982,-35.5117885619,158.597350838,101.500784825,-30.5954568377,-175.384253309,139.247053305,-49.6897583699,140.023215788,16.991237972,-37.0636540991,126.433723223,136.384334991,-46.7614958748,-175.641555976,91.7191036157,-64.3861990386,-165.925958897,0.0,0.0,0.0,0.0,0.0,0.0,0.0405316353936,0.07832642468,0.0521582751864,8.30684675979,13.3635634174,15.437598109,0.0,0.0,0.0,0.0,0.0,0.0,0.00633,0.01223,-1.14169,7.61938664517,1.55620608165,-10.5241670361,
1566579094.26,-0.0937,-0.8684,0.0104,0.4868,0.177,0.9541,0.0068,-0.2413,0.3243,0.7001,0.6234,-0.126,-0.1367,-0.753,-0.6015,0.2287,0.4282,0.7493,0.4315,-0.2621,0.3437,-0.0166,0.8582,0.3806,0.1149,0.8571,0.3267,-0.3811,0.2938,0.6481,0.538,-0.4516,-168.258441023,-57.5160157089,161.223698904,-175.311679956,-27.5743054795,157.829440306,103.559280982,-35.5117885619,158.597350838,101.500784825,-30.5954568377,-175.384253309,139.247053305,-49.6897583699,140.023215788,16.991237972,-37.0636540991,126.433723223,136.384334991,-46.7614958748,-175.641555976,91.7191036157,-64.3861990386,-165.925958897,0.0,0.0,0.0,0.0,0.0,0.0,0.0405316353936,0.07832642468,0.0521582751864,8.30684675979,13.3635634174,15.437598109,0.0,0.0,0.0,0.0,0.0,0.0,0.00633,0.01223,-1.14169,7.61938664517,1.55620608165,-10.5241670361,
1566579094.28,-0.0937,-0.8684,0.0104,0.4868,0.177,0.9541,0.0068,-0.2413,0.3229,0.7004,0.6238,-0.1258,-0.1341,-0.7529,-0.602,0.2293,0.426,0.7503,0.432,-0.2624,0.3395,-0.0125,0.8608,0.3787,0.1134,0.8576,0.3264,-0.3808,0.2908,0.6494,0.5372,-0.4527,-168.258441023,-57.5160157089,161.223698904,-175.311679956,-27.5743054795,157.829440306,103.472074817,-35.3942976692,158.751356494,101.365996029,-30.4526207859,-175.064713055,139.022827969,-49.6315160308,140.431958318,17.0353177147,-36.4460391876,126.861185533,136.376573351,-46.6572484158,-175.480102939,91.6829268285,-64.2339987658,-165.517489072,0.0,0.0,0.0,0.0,0.0,0.0,0.0398669445448,0.0786711060056,0.0521448295104,8.55525447454,12.9874653774,15.5708546531,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.01202,-1.14199,7.73631491577,1.41643222531,-10.3470483898,
