S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3529,0.0348,0.8743,0.3313,-0.194,0.389,0.7324,0.5239,33.9697414916,79.7492765552,52.4960465518
-0.3566,0.0307,0.8756,0.3243,-0.2362,0.368,0.7588,0.4826,34.0385615952,79.7035175832,52.158386634
-0.3559,0.0295,0.8763,0.3232,-0.2444,0.364,0.7605,0.4788,34.2925081024,81.2426980228,51.5753253352
-0.3546,0.0302,0.8756,0.3264,-0.2458,0.3679,0.7616,0.4733,34.6247847592,80.9337274536,52.4839749004
-0.354,0.03,0.8746,0.3296,-0.253,0.3659,0.7637,0.4676,34.4290965056,80.4139012872,52.8131946116
-0.354,0.03,0.8746,0.3296,-0.253,0.3659,0.7637,0.4676,34.963670012,80.3560487618,54.3004703776
-0.3528,0.0285,0.8756,0.3284,-0.2545,0.3648,0.7697,0.4577,34.9221949232,80.3666799272,53.973130036
-0.3539,0.0275,0.8751,0.3288,-0.2562,0.3638,0.7733,0.4514,34.894165322,81.026429982,53.83881368
-0.3544,0.0269,0.8751,0.3283,-0.2576,0.3623,0.7751,0.4488,34.794805665,81.024768348,53.6889569458
-0.3541,0.0261,0.8754,0.3277,-0.2593,0.3598,0.7746,0.4507,34.8925481548,80.9268914336,53.8198547728
-0.3527,0.0273,0.8734,0.3344,-0.2481,0.3683,0.7551,0.4821,34.626299676,80.3768285904,53.3846083612
-0.353,0.0274,0.8731,0.3348,-0.2396,0.3696,0.7502,0.4929,34.6256810594,79.434862178,53.8640042924
-0.3529,0.0271,0.8735,0.3341,-0.2346,0.3717,0.7473,0.4981,34.673421699,79.835021691,52.733928123
-0.3531,0.0268,0.873,0.3351,-0.2231,0.3767,0.7415,0.5083,34.579272749,79.5552647298,52.6522480744
-0.3533,0.0262,0.8725,0.3363,-0.2179,0.378,0.7399,0.5119,34.0590250104,79.2084276392,52.4646084728
-0.3538,0.0249,0.8729,0.3347,-0.2198,0.3761,0.7416,0.51,34.2786441244,79.3653681964,52.4608294892
-0.3563,0.0213,0.8739,0.33,-0.2341,0.3707,0.7483,0.4976,33.9677995824,80.09525851,51.779631219
-0.3586,0.0192,0.8739,0.3273,-0.2506,0.3637,0.759,0.4782,33.7536364346,81.3573630604,50.6508755482
-0.3609,0.0179,0.8739,0.3252,-0.2622,0.3565,0.7668,0.4648,34.1226007128,81.139489794,51.5492260102
-0.3637,0.0147,0.8735,0.3229,-0.2817,0.3498,0.7801,0.4354,34.2872544712,82.813186086,49.8889497306
-0.3659,0.0134,0.873,0.322,-0.2884,0.3439,0.7883,0.4206,34.4391473768,83.7551500634,50.2076724686
-0.3673,0.0127,0.8728,0.3211,-0.2902,0.3414,0.7919,0.4146,34.394135104,83.704044217,50.692708362
-0.3677,0.0117,0.8725,0.3212,-0.2874,0.345,0.7872,0.4225,34.3184019872,84.3864011738,50.0606884452
-0.3654,0.0128,0.8719,0.3256,-0.2761,0.3572,0.7709,0.4492,34.1211774594,82.5873844494,50.5357850598
-0.3649,0.0139,0.8711,0.3281,-0.2681,0.3618,0.7639,0.462,34.3296237696,82.945744736,50.1347722432
-0.363,0.015,0.8718,0.3283,-0.2485,0.3741,0.747,0.4901,34.3461684736,81.426361408,51.8312670592
-0.3623,0.017,0.871,0.3312,-0.2382,0.3795,0.7406,0.5006,34.0886885764,80.1715474948,51.3550395876
