seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566578244.07,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578244.09,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0986,0.658,0.6937,0.2754,0.0806,-0.7702,-0.6017,-0.195,0.2708,0.7337,0.6041,0.1525,0.4765,0.0588,0.837,0.262,0.0385,0.8913,0.4499,0.0383,0.0183,0.719,0.6914,-0.0665,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,83.2557785427,13.0431617944,148.295818918,102.568634054,23.4196455274,173.08162446,102.984976062,-5.93605510082,144.207557123,32.8710787087,-50.090833037,129.540895705,126.333883704,1.92772804629,174.078024145,92.0118447032,-6.94763864689,-176.207530584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566578244.11,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0986,0.658,0.6937,0.2754,0.0806,-0.7702,-0.6017,-0.195,0.2708,0.7337,0.6041,0.1525,0.4765,0.0588,0.837,0.262,0.0385,0.8913,0.4499,0.0383,0.0183,0.719,0.6914,-0.0665,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,83.2557785427,13.0431617944,148.295818918,102.568634054,23.4196455274,173.08162446,102.984976062,-5.93605510082,144.207557123,32.8710787087,-50.090833037,129.540895705,126.333883704,1.92772804629,174.078024145,92.0118447032,-6.94763864689,-176.207530584,-0.0035550704418,0.0874067613798,0.0550102604348,-6.14411179408,14.5644778914,0.0159436109317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09343,0.04985,-1.14188,45.9722237569,-44.0241975264,-24.0016200772,
1566578244.13,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0982,0.6584,0.6937,0.2747,0.0809,-0.7694,-0.6031,-0.1938,0.2705,0.7331,0.6049,0.1525,0.4786,0.0573,0.8358,0.2626,0.0374,0.8909,0.4509,0.0387,0.0156,0.7178,0.6926,-0.0682,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,83.3057948014,13.0337121032,148.39744702,102.405014954,23.3206531665,173.16464241,102.867524324,-5.95110080206,144.240307277,32.9694165304,-50.3575110459,129.275648018,126.207613199,2.01903457331,174.16804221,91.7973486222,-6.86542936859,-175.836178929,-0.0033604446012,0.0871169914812,0.0552155790432,-7.69586703353,14.9178436559,-0.20663883098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351,0.04997,-1.142,46.0493537257,-44.0661089552,-23.9928032959,
1566578244.14,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0979,0.6578,0.6943,0.2747,0.08,-0.7675,-0.6058,-0.1933,0.2707,0.7318,0.6059,0.1544,0.4817,0.0545,0.8339,0.2634,0.0359,0.8898,0.453,0.0395,0.0121,0.7153,0.6952,-0.0687,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,83.2061424088,13.0321034233,148.40975048,102.000895479,23.1859447415,173.037883103,102.653314825,-5.85887355332,144.090980761,33.0473015841,-50.7908771184,128.907715211,125.930146851,2.16493629555,174.274328303,91.3718586335,-6.61091628669,-175.483415591,-0.0033604446012,0.0871169914812,0.0552155790432,-7.69586703353,14.9178436559,-0.20663883098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351,0.04997,-1.142,46.0493537257,-44.0661089552,-23.9928032959,
1566578244.16,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0972,0.6558,0.6964,0.2747,0.0787,-0.7655,-0.6086,-0.1929,0.2719,0.7309,0.6058,0.1569,0.4832,0.0523,0.8332,0.2636,0.0349,0.889,0.4546,0.0411,0.0081,0.7127,0.6979,-0.0698,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,82.8713903888,12.9985612778,148.430804755,101.57242079,23.029583145,172.863511364,102.572772674,-5.74504860711,143.79515468,32.9495445644,-51.0495994908,128.812529776,125.714902483,2.36981566715,174.288674927,90.9265669246,-6.36173257049,-175.042422995,-0.0032184442244,0.0871746512852,0.0552633634024,-7.78230754375,14.9422837346,-0.263445761294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351,0.04997,-1.142,46.0493537257,-44.0661089552,-23.9928032959,
1566578244.18,-0.1104,-0.8842,-0.0346,0.4524,0.2135,0.9515,0.0124,-0.221,0.0953,0.6509,0.7014,0.2741,0.0778,-0.7634,-0.6125,-0.1894,0.2733,0.7304,0.6051,0.1599,0.4788,0.0504,0.8347,0.2669,0.0326,0.8876,0.4573,0.0437,0.002,0.708,0.7025,-0.0716,-176.234976149,-53.879239995,163.852027038,-175.513535994,-25.2068792656,153.70297318,82.0773009715,12.8953486002,148.546401742,101.106921282,22.6148362067,172.953296558,102.563181955,-5.57659376343,143.442357304,32.358638642,-50.5878440246,128.921913093,125.349648713,2.73769702837,174.378390986,90.1518270051,-5.98141908591,-174.358085486,-0.0032184442244,0.0871746512852,0.0552633634024,-7.78230754375,14.9422837346,-0.263445761294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351,0.04997,-1.142,46.0493537257,-44.0661089552,-23.9928032959,
1566578244.2,-0.1104,-0.8842,-0.0346,0.4524,0.2135,0.9515,0.0124,-0.221,0.0953,0.6509,0.7014,0.2741,0.0778,-0.7634,-0.6125,-0.1894,0.2733,0.7304,0.6051,0.1599,0.4788,0.0504,0.8347,0.2669,0.0326,0.8876,0.4573,0.0437,0.002,0.708,0.7025,-0.0716,-176.234976149,-53.879239995,163.852027038,-175.513535994,-25.2068792656,153.70297318,82.0773009715,12.8953486002,148.546401742,101.106921282,22.6148362067,172.953296558,102.563181955,-5.57659376343,143.442357304,32.358638642,-50.5878440246,128.921913093,125.349648713,2.73769702837,174.378390986,90.1518270051,-5.98141908591,-174.358085486,-0.0032542079376,0.0864200359784,0.0562565003484,-9.12333435133,14.9202237347,-0.979406207763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09348,0.04994,-1.14195,46.4337807937,-44.1833027938,-24.2614332086,
1566578244.22,-0.1104,-0.8842,-0.0346,0.4525,0.2135,0.9515,0.0124,-0.221,0.0939,0.6483,0.7041,0.2738,0.0773,-0.7631,-0.6138,-0.1861,0.2763,0.7304,0.6022,0.1655,0.4765,0.0521,0.8349,0.2703,0.031,0.8867,0.459,0.045,-0.0022,0.7048,0.7055,-0.0731,-176.232256374,-53.8893252007,163.850226452,-175.513535994,-25.2068792656,153.70297318,81.6459701594,12.8744979202,148.635195648,101.025163496,22.2742545256,173.140901384,102.752366344,-5.2226335945,142.731929661,32.5263430005,-50.1371912078,128.58018779,125.121071279,2.94342908211,174.466837756,89.6356563173,-5.73660095347,-173.869174245,-0.0030526387878,0.085811709135,0.0569089848996,-12.9219625363,15.2786217644,-2.72404843321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09346,0.04984,-1.1419,46.7300311328,-44.2379473568,-24.31158476,
1566578244.25,-0.1104,-0.8842,-0.0346,0.4523,0.2135,0.9515,0.0124,-0.221,0.0897,0.6419,0.7106,0.2735,0.0778,-0.7636,-0.6146,-0.1816,0.2789,0.7308,0.5989,0.171,0.48,0.0549,0.8306,0.2767,0.0294,0.885,0.462,0.0487,-0.0082,0.7006,0.7095,-0.0739,-176.237694975,-53.8691538262,163.853826541,-175.513535994,-25.2068792656,153.70297318,80.5695432413,12.9249329079,148.86627628,101.089122106,21.9024472907,173.537909731,102.989888758,-4.82724406925,142.06392676,33.7991979426,-50.0934271638,126.98987067,124.702870521,3.38465406241,174.421145842,88.9672152555,-5.27493780097,-173.288103245,-0.0030526387878,0.085811709135,0.0569089848996,-12.9219625363,15.2786217644,-2.72404843321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09346,0.04984,-1.1419,46.7300311328,-44.2379473568,-24.31158476,
