S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.4567,0.214,0.8145,0.2866,-0.21,0.3403,0.7167,0.5711,-8.7222007176,74.8266978438,71.607023452
-0.4558,0.214,0.8146,0.2875,-0.209,0.3395,0.7178,0.5706,-9.4780282608,75.1212734808,71.6927128866
-0.4552,0.2146,0.814,0.2897,-0.2069,0.3419,0.7154,0.5729,-9.701703914,74.7500768802,71.7717607888
-0.4552,0.2146,0.814,0.2897,-0.2069,0.3419,0.7154,0.5729,-8.8432841388,75.0640355772,71.3517518304
-0.4544,0.2162,0.8123,0.2944,-0.2053,0.3441,0.7144,0.5735,-9.090432852,74.7974944788,71.9445152124
-0.4528,0.2183,0.8098,0.3023,-0.2027,0.346,0.7159,0.5714,-8.4005802982,75.2387561808,71.8651212274
-0.4505,0.2205,0.8077,0.3097,-0.1989,0.3476,0.7158,0.572,-7.6972486212,75.7315912748,71.2449254752
-0.4498,0.2211,0.8065,0.3133,-0.1964,0.3482,0.7172,0.5706,-7.6244191852,74.153577271,72.5676374418
-0.4481,0.2203,0.8048,0.3205,-0.1959,0.3467,0.7188,0.5697,-7.255806865,74.637376125,72.336650645
-0.4457,0.2211,0.8027,0.3285,-0.1903,0.3543,0.7103,0.5776,-6.9358850802,75.100614635,71.3731090472
-0.4443,0.2224,0.8009,0.3341,-0.1832,0.3654,0.6933,0.5933,-7.3565883244,73.7976205728,72.5321206912
-0.4401,0.2218,0.8005,0.3408,-0.17,0.3855,0.6624,0.6193,-7.335702654,73.517365751,73.000042579
-0.4365,0.2236,0.7988,0.3482,-0.1604,0.3923,0.6441,0.6367,-6.096534106,73.8034933504,71.8188784916
-0.4346,0.2249,0.7971,0.3534,-0.1433,0.4041,0.6073,0.6687,-6.9708389116,73.2527583104,72.7536872684
-0.4309,0.2258,0.7961,0.3598,-0.1203,0.4174,0.5606,0.7049,-6.016528675,73.7040325684,72.011792987
-0.4281,0.2268,0.7951,0.3646,-0.1224,0.4187,0.5656,0.6998,-4.6951707252,73.8594871728,70.3397342372
-0.4265,0.2276,0.794,0.3686,-0.1247,0.4217,0.5728,0.6917,-5.073061576,73.7457692744,70.97782672
-0.4226,0.2282,0.7931,0.3743,-0.1351,0.4114,0.5983,0.6741,-4.0286739968,73.9340749392,70.064774832
-0.4212,0.2283,0.7921,0.3781,-0.1359,0.41,0.6073,0.6666,-3.329759839,73.961942736,68.448769945
-0.4197,0.2288,0.7912,0.3812,-0.1371,0.4078,0.6178,0.658,-3.263912839,74.4222186848,68.4518458346
-0.4158,0.2283,0.7904,0.3875,-0.1387,0.4069,0.6254,0.6511,-2.5366476794,74.3628483994,67.1011756012
-0.4144,0.2278,0.7903,0.3894,-0.1464,0.401,0.6318,0.6469,-2.059117653,74.3137970624,65.671611161
-0.4142,0.2269,0.7901,0.3905,-0.16,0.3939,0.6398,0.64,-2.105578758,74.2961993708,65.44793483
-0.4136,0.2279,0.788,0.3947,-0.1668,0.3938,0.6375,0.6406,-1.3948538084,74.2462386126,64.3572904426
-0.4137,0.2273,0.7879,0.3952,-0.1668,0.3931,0.6389,0.6397,-1.1601715928,74.1871756776,63.7145030064
-0.4145,0.2262,0.7882,0.3944,-0.167,0.3929,0.638,0.6408,-1.1789597972,74.30184474,63.4763902452
-0.4168,0.2252,0.7879,0.3931,-0.1659,0.3964,0.6313,0.6454,-1.5641790376,74.5856337928,63.210251851
-0.4177,0.2255,0.7877,0.3923,-0.1635,0.4008,0.6223,0.652,-1.0974317028,74.2766965308,63.3151555184
-0.4187,0.2258,0.7887,0.3892,-0.1582,0.402,0.6066,0.6672,-1.9221509574,74.2156577778,64.7182572328
-0.424,0.222,0.7932,0.3763,-0.1437,0.394,0.5844,0.6946,-2.79186932,74.3742304176,65.8475428328
-0.4257,0.2221,0.7938,0.3731,-0.1403,0.3914,0.5822,0.6986,-2.5356545494,73.7903509674,66.6745909532
-0.4285,0.2245,0.7933,0.3695,-0.1593,0.3707,0.6111,0.6809,-4.0840148486,74.120531511,67.2001379668
-0.4385,0.2235,0.7949,0.3546,-0.1941,0.3233,0.7089,0.5959,-4.839026721,73.495102779,69.070381872
-0.4439,0.2198,0.7969,0.3454,-0.1931,0.3206,0.7346,0.5659,-5.2555005702,72.7482099228,70.1839336902
-0.4461,0.2189,0.7975,0.3418,-0.186,0.3271,0.7305,0.5697,-6.5840800156,74.1175133068,69.6143256106
-0.4487,0.2174,0.8011,0.3308,-0.1899,0.3283,0.726,0.5735,-7.7734183168,73.6861678288,70.249032164
-0.4509,0.2188,0.802,0.3247,-0.1899,0.3319,0.7216,0.577,-8.2244501778,73.0280510174,71.0734214056
-0.4526,0.221,0.8021,0.3205,-0.1878,0.3415,0.7111,0.5851,-7.4105677728,74.04497701,70.259084076
-0.4573,0.2232,0.8039,0.3075,-0.1934,0.3447,0.7157,0.5756,-5.889430552,75.2826810922,68.9119679958
-0.4596,0.225,0.8035,0.3039,-0.1953,0.3455,0.7166,0.5734,-7.40937136,74.6264168264,69.5208043668
-0.46,0.2254,0.8044,0.3006,-0.1998,0.3423,0.7205,0.5688,-5.5328856128,75.560371824,67.8971470664
-0.4583,0.2233,0.809,0.2922,-0.1984,0.3362,0.7272,0.5644,-6.9480155386,76.3108278642,67.0276611946
-0.4572,0.2232,0.8103,0.2906,-0.1972,0.3343,0.7283,0.5646,-7.41562293,75.4701944488,67.950327794
