S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5292,0.1467,0.81,0.2055,-0.3529,0.3389,0.7622,0.4236,15.9954869942,84.5756838386,61.70475847
-0.5305,0.1439,0.8092,0.207,-0.3652,0.3215,0.7737,0.4055,15.797494993,87.907535175,60.341029827
-0.5323,0.1404,0.8081,0.2095,-0.3716,0.3049,0.7891,0.3822,15.3274275508,89.9388989592,58.24199242
-0.5317,0.1399,0.8077,0.2127,-0.3776,0.3009,0.7926,0.3721,15.5493181792,89.1129152524,58.6705410814
-0.5318,0.1409,0.8068,0.2152,-0.3707,0.3265,0.7858,0.3718,15.4936681334,90.7837876648,57.9031531678
-0.529,0.1434,0.8062,0.2225,-0.3529,0.3683,0.7608,0.401,15.7769027304,90.693322464,57.4116712272
-0.5244,0.1472,0.8064,0.2298,-0.2783,0.4254,0.7186,0.4743,15.871517148,90.8095752984,56.4044390908
-0.5244,0.1482,0.8062,0.2301,-0.2763,0.4283,0.7199,0.4709,15.8541034728,90.2166655544,56.3885146224
-0.525,0.1482,0.806,0.2294,-0.2756,0.4304,0.7188,0.4711,16.1607937052,90.3974428004,55.531475378
-0.5274,0.1475,0.8046,0.2293,-0.2758,0.4343,0.7092,0.4818,16.5373035304,90.5382138432,55.0398371744
-0.5282,0.1477,0.8042,0.2286,-0.2828,0.4299,0.7037,0.4896,15.7770352054,89.9997947368,56.274125041
-0.5301,0.1461,0.8043,0.2249,-0.3184,0.3794,0.7426,0.4506,15.068843346,88.6978444816,58.9337743664
-0.5325,0.1423,0.8045,0.221,-0.3507,0.3198,0.7772,0.4129,15.146284231,88.6558375656,58.8214095846
-0.5316,0.1433,0.8046,0.2221,-0.3474,0.3321,0.7569,0.4427,13.85936437,86.6216666912,61.6427148372
-0.532,0.1456,0.8035,0.2234,-0.3419,0.3437,0.7455,0.4572,13.7334337728,85.01911738,63.5669718254
-0.5315,0.1431,0.8054,0.2194,-0.3377,0.3552,0.7387,0.4625,13.9112152408,85.006541416,63.1368047608
-0.5317,0.1423,0.8058,0.218,-0.3361,0.3596,0.7337,0.4683,13.762151376,83.7758285904,64.2916276776
-0.5324,0.143,0.8054,0.2172,-0.3374,0.3593,0.7332,0.4683,13.508420914,82.828550795,64.7098663304
-0.5319,0.1424,0.806,0.2167,-0.3416,0.3569,0.7316,0.4696,13.6633883256,82.5739575012,64.8584614566
-0.5314,0.1422,0.8063,0.2169,-0.3441,0.3553,0.7312,0.4696,13.7208166056,82.5524980652,64.7053566134
-0.5317,0.1419,0.8062,0.2171,-0.3471,0.3537,0.7306,0.4695,14.1422103896,83.8672928112,63.8721010882
-0.5301,0.1415,0.8071,0.2178,-0.3541,0.338,0.7427,0.4566,14.407331316,83.922115434,64.1830683
-0.5307,0.1405,0.807,0.2173,-0.3612,0.3198,0.7639,0.4284,14.620874664,85.7262746936,62.2889411472
-0.5313,0.1389,0.807,0.2172,-0.36,0.3125,0.7745,0.4156,14.8389712992,87.8370840304,60.468147168
-0.528,0.1393,0.8076,0.2222,-0.3515,0.317,0.7785,0.4119,15.2081880264,87.808689492,61.1377754376
-0.527,0.1389,0.8078,0.2242,-0.3114,0.3664,0.7567,0.4428,15.058368972,89.0611060508,59.6404836796
-0.5263,0.1369,0.8084,0.2249,-0.297,0.3813,0.7381,0.4705,15.07833425,90.2521589748,57.972282126
-0.5245,0.1354,0.8096,0.2258,-0.2684,0.4009,0.706,0.5183,15.3232646104,90.3227396298,57.9778603264
-0.5241,0.1362,0.8094,0.2269,-0.2628,0.4028,0.7042,0.5222,15.2420616932,90.3272081404,57.4533768552
-0.5241,0.137,0.8088,0.2282,-0.2629,0.4022,0.7041,0.5227,15.2742725322,90.140597193,57.6385613596
-0.5239,0.1381,0.809,0.2276,-0.2692,0.3968,0.708,0.5183,15.388240891,90.2939188114,57.3411956868
-0.5238,0.1387,0.8091,0.227,-0.2955,0.3699,0.7421,0.4743,15.0126549716,89.3256458812,58.274506848
-0.5264,0.1378,0.8085,0.2238,-0.325,0.3326,0.7722,0.4328,14.7581138512,87.9931368196,59.8194809224
-0.5286,0.137,0.8079,0.2212,-0.3538,0.2992,0.7887,0.4038,14.6499373368,88.2268329428,59.9910832736
-0.5286,0.137,0.8079,0.2212,-0.3538,0.2992,0.7887,0.4038,14.1587862574,87.4976792972,60.6166933378
-0.529,0.138,0.8079,0.2197,-0.3563,0.304,0.7815,0.412,14.3016373226,87.4570909442,60.833179953
-0.5288,0.1367,0.8085,0.2185,-0.3598,0.3023,0.7805,0.4121,14.624377338,87.7478056758,60.6841535148
-0.5288,0.1367,0.8085,0.2185,-0.3598,0.3023,0.7805,0.4121,14.8034984358,88.1296129248,60.2585525988
-0.5253,0.1379,0.8097,0.222,-0.3355,0.3359,0.7816,0.4042,15.3056945986,90.2111682104,58.3824869148
-0.5257,0.1352,0.8101,0.2212,-0.2927,0.3726,0.7554,0.4525,15.6104797744,90.401296402,57.9825368408
-0.5257,0.1352,0.8101,0.2212,-0.2927,0.3726,0.7554,0.4525,15.5325809004,92.1144483644,55.5096457934
-0.523,0.1316,0.812,0.2226,-0.2802,0.3616,0.7619,0.4583,15.2772744952,92.4190902012,54.7393258364
-0.5213,0.1304,0.8129,0.2243,-0.2664,0.358,0.7661,0.4622,15.556786472,92.5680261998,54.441271455
-0.5213,0.1304,0.8129,0.2243,-0.2664,0.358,0.7661,0.4622,14.7182776272,92.2038119436,54.9095060892
-0.5249,0.1283,0.8116,0.2216,-0.2705,0.3618,0.7606,0.4661,14.756876887,92.180690497,55.21266692
-0.5271,0.1268,0.811,0.2196,-0.3168,0.3295,0.7855,0.4171,14.8281424672,92.0539877168,55.4904763924
-0.5271,0.1268,0.811,0.2196,-0.3168,0.3295,0.7855,0.4171,14.2218163416,90.8606223344,57.508255886
-0.5292,0.124,0.8114,0.2147,-0.3514,0.2722,0.8142,0.3734,13.4817097748,90.3326522708,58.6873457118
-0.5323,0.122,0.8099,0.2138,-0.3668,0.2572,0.8144,0.3687,13.288874817,90.2137642796,58.7567269782
-0.5323,0.122,0.8099,0.2138,-0.3668,0.2572,0.8144,0.3687,12.797149118,90.1256442496,58.9974293752
-0.5321,0.12,0.8104,0.2133,-0.3692,0.2521,0.8159,0.3665,12.599077283,90.446636234,59.080595769
-0.5349,0.1156,0.8099,0.211,-0.3549,0.2899,0.8023,0.3825,13.1052241616,90.5591684368,58.8747334788
-0.5349,0.1156,0.8099,0.211,-0.3549,0.2899,0.8023,0.3825,12.6250078696,91.9010181394,57.3136867462
-0.5382,0.1122,0.8081,0.2114,-0.3375,0.3191,0.7882,0.4036,12.8061523,93.2499538344,55.7410217448
-0.5422,0.1102,0.8056,0.2117,-0.3219,0.3274,0.7766,0.4312,13.1953446708,93.2366918164,56.15545233
-0.5422,0.1102,0.8056,0.2117,-0.3219,0.3274,0.7766,0.4312,13.2894592398,93.8708190524,54.449114954
-0.5401,0.1088,0.8065,0.2142,-0.3019,0.3223,0.7747,0.4523,12.8131505306,94.0065085918,53.23483018
-0.5413,0.1061,0.8066,0.212,-0.2937,0.3247,0.7703,0.4635,12.7868035446,94.2222899376,53.1384824552
-0.5413,0.1061,0.8066,0.212,-0.2937,0.3247,0.7703,0.4635,12.4015558494,94.3246987816,52.3164909968
-0.5413,0.1064,0.8062,0.2135,-0.2966,0.3262,0.7693,0.4622,12.5486856904,94.1094955156,51.9645054696
-0.5419,0.106,0.806,0.2127,-0.2991,0.3289,0.7614,0.4716,12.6507693688,94.20928892,52.0859535328
-0.5419,0.106,0.806,0.2127,-0.2991,0.3289,0.7614,0.4716,12.4026379936,93.8688531152,52.5441245808
-0.5445,0.1073,0.8052,0.2083,-0.3033,0.3376,0.756,0.4715,13.0741573488,94.0071197416,53.5425457568
-0.548,0.1086,0.8034,0.2056,-0.3352,0.3273,0.7674,0.4375,13.0131966522,94.1346795768,53.8353273098
-0.5486,0.1119,0.8022,0.2071,-0.3687,0.2863,0.7974,0.3821,13.530925753,92.3121127256,56.6216765322
-0.5473,0.1176,0.8023,0.2067,-0.3898,0.2342,0.8228,0.3407,12.9420391162,90.4785402876,59.4815128406
-0.5494,0.1209,0.8009,0.2047,-0.3814,0.2642,0.8015,0.3771,12.4467571414,90.8506665618,58.7003315668
-0.5494,0.1209,0.8009,0.2047,-0.3814,0.2642,0.8015,0.3771,12.0221026812,89.3168409452,60.0315876916
-0.5471,0.1266,0.802,0.2032,-0.3635,0.3023,0.7791,0.4113,12.363765783,86.5594524992,62.6232180638
-0.5502,0.1304,0.7994,0.2027,-0.3551,0.3296,0.754,0.4434,11.8850654108,86.905102144,62.0291114584
-0.5494,0.1328,0.7991,0.2041,-0.3521,0.3368,0.7463,0.4533,12.470440771,83.36655736,63.597742042
-0.5488,0.1334,0.7996,0.2036,-0.3497,0.3413,0.7418,0.459,11.8024273164,81.1772716968,63.8613308472
-0.5502,0.1311,0.7993,0.2029,-0.351,0.3462,0.7351,0.4651,11.819766988,81.3683464616,64.1306110896
-0.5502,0.1311,0.7993,0.2029,-0.351,0.3462,0.7351,0.4651,12.004283992,80.40696724,63.441050608
-0.5494,0.1313,0.7996,0.2036,-0.3488,0.3496,0.7308,0.471,12.1957063484,79.400393795,63.8605931106
-0.549,0.1368,0.7973,0.2101,-0.3462,0.3599,0.7199,0.4819,12.1895803472,79.508216494,64.5549537452
-0.5474,0.1391,0.7972,0.213,-0.3402,0.3639,0.7158,0.4892,12.8519441738,76.885579971,65.6321285858
-0.5447,0.1415,0.7975,0.2171,-0.3361,0.366,0.713,0.4945,12.297369592,75.1609838664,66.473934802
-0.5434,0.1417,0.7982,0.2177,-0.333,0.3675,0.7107,0.4987,12.3916212872,75.623565956,66.1660394804
-0.5423,0.1432,0.7981,0.2196,-0.3314,0.3688,0.7095,0.5005,12.1256225936,74.653552403,66.6119243402
-0.5429,0.1423,0.7982,0.2183,-0.3348,0.3676,0.7121,0.4955,12.745271882,75.6804347,66.397207826
-0.5429,0.1408,0.799,0.2166,-0.3386,0.3648,0.7152,0.4904,12.8927164796,75.6207824776,66.724742341
-0.5411,0.1385,0.8014,0.2135,-0.3452,0.3553,0.7258,0.4771,13.4153402248,79.0170505122,65.8420686718
-0.5391,0.1389,0.8031,0.212,-0.3531,0.3362,0.7475,0.4509,14.465220306,83.183231201,64.7949947948
-0.538,0.1403,0.8034,0.2128,-0.3569,0.3277,0.7572,0.4379,14.983792675,83.3357967888,65.0593816666
-0.5372,0.1427,0.8031,0.2146,-0.3604,0.3227,0.7635,0.4276,15.891741545,84.194212988,64.472432011
-0.5341,0.1488,0.8022,0.2212,-0.3501,0.3339,0.7582,0.437,16.4225909804,81.4881916226,66.6960136802
-0.5337,0.1507,0.8011,0.2249,-0.3366,0.3599,0.7341,0.4669,16.3292837148,82.3488550964,65.7070220396
-0.5325,0.1531,0.7993,0.2321,-0.3302,0.3652,0.7212,0.4871,14.8940239524,74.9629674424,69.3348395252
-0.5322,0.1531,0.7992,0.2334,-0.3195,0.3705,0.7025,0.5166,12.8824526728,72.8901330224,69.291406236
-0.5354,0.1512,0.7984,0.2302,-0.3204,0.3713,0.7011,0.5174,13.1153739016,72.6616692404,68.7033983102
-0.5355,0.1522,0.7977,0.2316,-0.3225,0.3718,0.6981,0.5198,12.8633709192,73.258450376,68.0997120672
-0.5347,0.1516,0.7988,0.2297,-0.3234,0.3722,0.7003,0.5161,13.7294531812,73.213472078,68.3929112384
-0.536,0.1481,0.8002,0.2241,-0.3258,0.3711,0.7039,0.5104,13.3983151498,72.995091792,68.0626007246
-0.5369,0.1452,0.8011,0.2207,-0.3305,0.3662,0.7126,0.4987,13.882495433,76.0325688672,67.064292371
-0.5362,0.1408,0.8037,0.2161,-0.343,0.3507,0.7334,0.4705,14.3265503928,80.464505506,66.095606028
-0.5372,0.1386,0.8039,0.2141,-0.351,0.3347,0.7504,0.4489,14.9655562616,80.1771623988,66.854419086
-0.5383,0.1365,0.8038,0.2127,-0.3585,0.3038,0.7862,0.4011,14.8775539616,86.3232262138,62.727413191
-0.5364,0.1344,0.8054,0.2129,-0.3453,0.312,0.7968,0.385,15.144273544,89.198395324,59.967787148
-0.536,0.1326,0.8063,0.2116,-0.338,0.3258,0.7836,0.4067,15.2322526972,88.9591732992,60.66801226
-0.5366,0.1309,0.8064,0.2108,-0.333,0.3368,0.7722,0.4232,15.1959687476,91.2723770384,58.0539564168
-0.5347,0.1323,0.8063,0.215,-0.3162,0.3568,0.7488,0.4603,15.4797691554,91.657318025,57.0872940204
-0.5335,0.1322,0.8073,0.2147,-0.3078,0.3663,0.7359,0.4789,15.7462777638,91.827112126,57.001042786
-0.5339,0.1323,0.807,0.2145,-0.3042,0.3741,0.7252,0.4913,15.5679992448,91.4089047138,57.1748678754
-0.5344,0.1336,0.8067,0.214,-0.3168,0.3655,0.7375,0.4711,15.6884089822,91.1090999074,57.5181387238
-0.5357,0.1337,0.8062,0.2124,-0.3317,0.3529,0.7523,0.4465,16.1245879956,91.3486171796,57.2096617108
-0.5373,0.1331,0.8057,0.2104,-0.364,0.3114,0.7849,0.393,15.7618678264,90.031964268,59.0125100508
-0.5374,0.1341,0.8057,0.2093,-0.375,0.2885,0.7937,0.3822,15.4444435892,88.1454298776,61.5012541144
-0.5374,0.1356,0.8054,0.21,-0.3726,0.2966,0.7843,0.3973,15.2378468956,88.3237815704,61.1839037498
-0.5391,0.1348,0.8048,0.208,-0.3717,0.3056,0.7739,0.4114,15.0975689408,87.7243630752,61.9843521766
-0.5399,0.131,0.806,0.2039,-0.3717,0.3101,0.767,0.4209,14.653430826,88.144696806,61.376730006
-0.5394,0.131,0.8064,0.2034,-0.3728,0.3099,0.7658,0.4224,14.8211994014,87.7744772016,61.8074928626
-0.5395,0.1315,0.806,0.2045,-0.3758,0.2989,0.778,0.4049,15.221104563,89.06488782,60.965647997
-0.5399,0.1281,0.8067,0.2031,-0.3737,0.2908,0.8016,0.3647,15.1337664776,91.9720411838,57.6718458642
-0.5402,0.1242,0.8078,0.2,-0.3618,0.3132,0.7922,0.3785,15.2778852484,91.7451112156,57.9839795252
-0.5397,0.1222,0.8087,0.1994,-0.3527,0.3276,0.7805,0.3986,14.8022423934,94.8323534956,53.5093700902
-0.536,0.1215,0.8112,0.1995,-0.3179,0.3451,0.7714,0.4297,15.467976731,95.7526089604,50.9885514118
-0.5369,0.1198,0.8113,0.1976,-0.3143,0.3434,0.7772,0.4231,15.5387943084,95.6941380768,51.6248130468
-0.5363,0.1196,0.8115,0.1986,-0.3112,0.345,0.7769,0.4247,15.303768986,95.869416946,49.7716900176
