seconds,S4.x, S4.y, S4.z,S4.w,S5.x, S5.y, S5.z,S5.w,S6.x, S6.y, S6.z,S6.w,S7.x, S7.y, S7.z,S7.w,S8.x, S8.y, S8.z,S8.w,S9.x, S9.y, S9.z,S9.w,S10.x, S10.y, S10.z,S10.w,S11.x, S11.y, S11.z,S11.w,S4_e.x, S4_e.y, S4_e.z,S5_e.x, S5_e.y, S5_e.z,S6_e.x, S6_e.y, S6_e.z,S7_e.x, S7_e.y, S7_e.z,S8_e.x, S8_e.y, S8_e.z,S9_e.x, S9_e.y, S9_e.z,S10_e.x, S10_e.y, S10_e.z,S11_e.x, S11_e.y, S11_e.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1566579440.32,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1566579440.33,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2416,0.0128,0.6714,0.6791,0.2962,0.0463,-0.8011,-0.4744,-0.3616,0.4257,0.6195,0.532,0.3895,0.3671,0.153,0.8849,0.2421,0.0191,0.9198,0.376,0.1096,0.0236,0.7567,0.6514,-0.0498,-169.150679423,-58.0784981283,161.990650536,-175.276920716,-27.607179805,157.576441945,83.9181399048,22.3589760504,153.02159082,111.628208058,38.5694467965,159.877403514,97.4903003548,1.699272849,109.518362294,33.274276094,-35.1492147173,138.584411341,134.881701608,10.7950953016,173.125261759,98.4639845288,-6.09160027204,-178.319264679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454755039728,0.089084375124,-0.0247864118908,146.22927841,-60.1263574231,7.46436736277,0.05363,0.07989,-1.12762,59.4738986006,-53.5482805167,-33.1232278273,
1566579440.35,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2416,0.0136,0.6716,0.6787,0.2965,0.046,-0.8007,-0.475,-0.3619,0.426,0.6194,0.5321,0.3893,0.3656,0.1553,0.885,0.2427,0.0191,0.9197,0.3764,0.1093,0.0234,0.7564,0.6516,-0.0499,-169.150679423,-58.0784981283,161.990650536,-175.276920716,-27.607179805,157.576441945,83.9599131561,22.3264169606,152.939273962,111.508260013,38.5612351437,159.785758821,97.4999831689,1.65727802751,109.509124624,33.464119622,-34.8745131365,138.54048251,134.837656431,10.7601743862,173.134759515,98.4227670485,-6.08529824112,-178.292035604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454755039728,0.089084375124,-0.0247864118908,146.22927841,-60.1263574231,7.46436736277,0.05363,0.07989,-1.12762,59.4738986006,-53.5482805167,-33.1232278273,
1566579440.37,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2416,0.0136,0.6716,0.6787,0.2965,0.046,-0.8007,-0.475,-0.3619,0.426,0.6194,0.5321,0.3893,0.3656,0.1553,0.885,0.2427,0.0191,0.9197,0.3764,0.1093,0.0234,0.7564,0.6516,-0.0499,-169.150679423,-58.0784981283,161.990650536,-175.276920716,-27.607179805,157.576441945,83.9599131561,22.3264169606,152.939273962,111.508260013,38.5612351437,159.785758821,97.4999831689,1.65727802751,109.509124624,33.464119622,-34.8745131365,138.54048251,134.837656431,10.7601743862,173.134759515,98.4227670485,-6.08529824112,-178.292035604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453438467936,0.0891577580536,-0.0249088661864,146.109920767,-60.2053783522,7.60305410527,0.05363,0.07989,-1.12762,59.4738986006,-53.5482805167,-33.1232278273,
1566579440.39,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2417,0.014,0.6718,0.6785,0.2967,0.0457,-0.8007,-0.475,-0.362,0.4263,0.6194,0.5318,0.3894,0.3639,0.1579,0.8856,0.2412,0.0192,0.9198,0.3762,0.1093,0.0234,0.7562,0.6518,-0.05,-169.150679423,-58.0784981283,161.990650536,-175.274355936,-27.6180651801,157.575334565,83.9881549676,22.3141366158,152.897169205,111.495862265,38.5500357982,159.745057722,97.52862671,1.66071686781,109.469172751,33.601879144,-34.6436591012,138.769971187,134.862785194,10.7571006956,173.126623407,98.3897727279,-6.0935988431,-178.282747185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453438467936,0.0891577580536,-0.0249088661864,146.109920767,-60.2053783522,7.60305410527,0.05363,0.07989,-1.12762,59.4738986006,-53.5482805167,-33.1232278273,
1566579440.41,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2417,0.0141,0.6715,0.6788,0.2966,0.0455,-0.8005,-0.4754,-0.3619,0.4263,0.6191,0.5321,0.3894,0.3618,0.1594,0.8867,0.2395,0.0192,0.9198,0.3763,0.1088,0.0234,0.7562,0.6519,-0.0505,-169.150679423,-58.0784981283,161.990650536,-175.274355936,-27.6180651801,157.575334565,83.9424224034,22.2870940945,152.889611727,111.43560456,38.5178494675,159.712251766,97.4889744608,1.63274441914,109.466764492,33.5622797972,-34.4243330985,139.095933072,134.857404262,10.7035975169,173.148431976,98.3783998105,-6.13634254112,-178.244756627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454772143744,0.0891021181152,-0.0249049264928,146.131193316,-60.074302671,7.56456592052,0.05372,0.07985,-1.12756,59.4838383199,-53.5360943327,-33.1497126753,
1566579440.43,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2418,0.0139,0.6712,0.6793,0.2962,0.0455,-0.8002,-0.476,-0.3618,0.4263,0.6188,0.5325,0.3892,0.3616,0.1596,0.8873,0.2372,0.0192,0.9197,0.3766,0.1086,0.0232,0.7559,0.6522,-0.0508,-169.150679423,-58.0784981283,161.990650536,-175.271790788,-27.6289499851,157.574226579,83.8909434486,22.2579898623,152.933121576,111.350603159,38.4933952338,159.691229472,97.4524682967,1.58576747312,109.481131965,33.4901350309,-34.47863945,139.398897034,134.8229745,10.6802197658,173.154190666,98.3273852525,-6.14676382107,-178.202093694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045295025076,0.08923446006,-0.025014647612,146.311093455,-59.9626772264,7.4370735058,0.05379,0.08001,-1.12756,59.4778063435,-53.4519953749,-33.0758997688,
1566579440.45,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2418,0.0139,0.6712,0.6793,0.2962,0.0455,-0.8002,-0.476,-0.3618,0.4263,0.6188,0.5325,0.3892,0.3616,0.1596,0.8873,0.2372,0.0192,0.9197,0.3766,0.1086,0.0232,0.7559,0.6522,-0.0508,-169.150679423,-58.0784981283,161.990650536,-175.271790788,-27.6289499851,157.574226579,83.8909434486,22.2579898623,152.933121576,111.350603159,38.4933952338,159.691229472,97.4524682967,1.58576747312,109.481131965,33.5303675191,-34.6128964926,139.225622528,134.824030315,10.6697278404,173.158702505,98.2455207758,-6.13081818964,-178.180252807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045295025076,0.08923446006,-0.025014647612,146.311093455,-59.9626772264,7.4370735058,0.05379,0.08001,-1.12756,59.4778063435,-53.4519953749,-33.0758997688,
1566579440.47,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2418,0.0139,0.6708,0.6797,0.2961,0.0452,-0.7998,-0.4765,-0.362,0.4264,0.6184,0.5329,0.3894,0.3629,0.1589,0.8867,0.238,0.0192,0.9197,0.3766,0.1085,0.023,0.7554,0.6527,-0.0508,-169.150679423,-58.0784981283,161.990650536,-175.271790788,-27.6289499851,157.574226579,83.8280195617,22.2355533831,152.930025614,111.246300992,38.4801320182,159.610713444,97.3937528533,1.5561651042,109.458521853,33.5303675191,-34.6128964926,139.225622528,134.824030315,10.6697278404,173.158702505,98.2455207758,-6.13081818964,-178.180252807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452689339384,0.0891433364108,-0.0248974189164,146.184233048,-60.035405843,7.59709780375,0.05379,0.08001,-1.12756,59.4778063435,-53.4519953749,-33.0758997688,
1566579440.49,-0.0909,-0.8668,0.006,0.4902,0.179,0.9536,0.0071,-0.2418,0.0143,0.6708,0.6798,0.2957,0.0451,-0.7997,-0.4767,-0.3621,0.4266,0.6183,0.5331,0.389,0.3646,0.1569,0.8855,0.241,0.0192,0.9196,0.377,0.108,0.0228,0.7551,0.6531,-0.0511,-169.150679423,-58.0784981283,161.990650536,-175.271790788,-27.6289499851,157.574226579,83.8373063227,22.1705954095,152.9373368,111.209190529,38.4766000028,159.58181089,97.4023316193,1.50142123206,109.473045096,33.5263798215,-34.7661199581,138.776115479,134.782083673,10.6138463492,173.177291857,98.1858032761,-6.14061990604,-178.137231198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452689339384,0.0891433364108,-0.0248974189164,146.184233048,-60.035405843,7.59709780375,0.05379,0.08001,-1.12756,59.4778063435,-53.4519953749,-33.0758997688,
