S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.093,-0.0789,0.8851,0.449,-0.1953,-0.1743,0.6803,0.6845,-0.2866,0.1361,-0.7554,-0.5732,33.116165204,97.9529093708,-3.4385922708
0.093,-0.079,0.8852,0.4487,-0.195,-0.174,0.6806,0.6843,-0.2866,0.1358,-0.7553,-0.5734,32.9941181702,97.9359711148,-3.5033985964
0.0936,-0.078,0.8853,0.4486,-0.1947,-0.1742,0.6809,0.6842,-0.2864,0.1356,-0.7556,-0.5731,33.0429801208,97.941534757,-3.576620107
0.0936,-0.078,0.8852,0.4487,-0.1953,-0.1749,0.6804,0.6842,-0.2862,0.1354,-0.7556,-0.5734,32.9411941936,97.9467671646,-3.5800306658
0.094,-0.0778,0.885,0.4492,-0.1953,-0.1749,0.6801,0.6845,-0.2861,0.1354,-0.7554,-0.5736,33.0440906736,97.8790615916,-3.3946034688
0.0938,-0.0778,0.8847,0.4498,-0.1948,-0.1743,0.6797,0.6852,-0.2861,0.1351,-0.7551,-0.5741,33.005065359,97.9224166228,-3.4731789078
0.0943,-0.0775,0.8845,0.4501,-0.1961,-0.176,0.679,0.6851,-0.2862,0.1345,-0.755,-0.5742,33.0455402642,97.8714163632,-3.349650469
0.0944,-0.0776,0.8839,0.4512,-0.196,-0.1762,0.6781,0.686,-0.2863,0.1342,-0.7547,-0.5747,33.102609147,97.865092034,-3.205907277
0.0902,-0.0796,0.8834,0.4527,-0.2005,-0.1829,0.6731,0.6878,-0.2842,0.1295,-0.7565,-0.5744,33.0101357624,97.9274864718,-3.4094749806
0.0877,-0.0808,0.8831,0.4537,-0.203,-0.1872,0.6701,0.6889,-0.2803,0.1223,-0.7592,-0.5743,32.5701672384,97.9737759156,-2.9836198516
0.0835,-0.0837,0.8826,0.4548,-0.2071,-0.1961,0.6647,0.6904,-0.2781,0.1181,-0.7611,-0.5739,30.6051057128,98.2000231532,-2.3153271656
0.0797,-0.0891,0.8796,0.4603,-0.2147,-0.2205,0.6532,0.6917,-0.2658,0.0869,-0.7736,-0.5684,30.6235674156,98.1437428788,-2.5797394386
0.0788,-0.0911,0.878,0.463,-0.2173,-0.2307,0.6486,0.6919,-0.2557,0.0578,-0.7841,-0.5624,26.1684385244,98.472184194,0.3616711006
0.0783,-0.0946,0.8751,0.4679,-0.2221,-0.249,0.6387,0.6931,-0.2473,0.03,-0.7922,-0.557,21.1678467472,98.037836264,3.7416094528
0.0752,-0.0987,0.8725,0.4724,-0.2266,-0.2752,0.6228,0.6964,-0.2261,-0.0285,-0.8076,-0.5437,21.1616064184,97.7674636108,2.174389494
0.0745,-0.1003,0.8714,0.4742,-0.2269,-0.2833,0.618,0.6972,-0.2165,-0.0546,-0.8105,-0.5414,17.198165074,96.698757372,6.255297432
0.0762,-0.1007,0.8702,0.4761,-0.2258,-0.2891,0.6147,0.6981,-0.213,-0.0658,-0.8127,-0.5382,15.17327672,95.786935656,7.494542816
0.0765,-0.1007,0.869,0.4782,-0.2236,-0.2885,0.6128,0.7008,-0.2075,-0.0774,-0.815,-0.5354,15.2368300802,95.6431104696,6.6896795356
0.0765,-0.1004,0.8688,0.4786,-0.2216,-0.2866,0.613,0.702,-0.2061,-0.0814,-0.816,-0.5338,15.301740649,95.4877756846,7.2774814726
0.0775,-0.0993,0.869,0.4784,-0.2201,-0.2817,0.6137,0.7039,-0.2058,-0.0844,-0.8173,-0.5313,15.817142556,95.3247524458,6.9928597678
0.0858,-0.091,0.8681,0.4803,-0.2101,-0.2478,0.6227,0.7117,-0.2112,-0.0731,-0.8171,-0.5313,16.002850082,95.2654590788,6.6217571826
0.0947,-0.0819,0.8682,0.4799,-0.2034,-0.2305,0.6296,0.7134,-0.2167,-0.0625,-0.8162,-0.5317,19.4379190956,95.7032849618,5.4658177218
0.0983,-0.0775,0.8688,0.4788,-0.1951,-0.2112,0.639,0.7133,-0.2279,-0.0374,-0.8133,-0.5339,26.7560696862,96.6787844996,1.8611717212
0.1018,-0.0711,0.871,0.4751,-0.1878,-0.1928,0.6482,0.7122,-0.2486,0.0063,-0.8049,-0.5386,26.2622592176,96.8324729448,1.8927469088
0.1021,-0.07,0.8714,0.4744,-0.1873,-0.1884,0.6505,0.7114,-0.2547,0.0196,-0.8015,-0.5406,30.693379,96.7963794084,-0.8004329984
0.1019,-0.0698,0.8719,0.4737,-0.1895,-0.1853,0.653,0.7094,-0.2658,0.0402,-0.7933,-0.546,32.9578080524,96.8469494222,-2.1741037
0.1037,-0.07,0.8726,0.472,-0.1921,-0.1838,0.6564,0.7058,-0.287,0.0816,-0.7749,-0.5571,32.8604424144,97.0298712132,-1.3757997636
0.1043,-0.0703,0.8726,0.4718,-0.1933,-0.184,0.6566,0.7053,-0.2918,0.0896,-0.7708,-0.5591,34.7998052624,96.7662473592,-2.3514619816
0.1043,-0.0703,0.8727,0.4716,-0.1939,-0.1837,0.6569,0.705,-0.2961,0.0942,-0.7687,-0.5588,35.4492196248,96.3995829492,-2.6257804996
0.0935,-0.0769,0.8744,0.4697,-0.2012,-0.207,0.643,0.7092,-0.291,0.0739,-0.7797,-0.5494,35.4917745978,96.5468620688,-2.3962594492
0.0885,-0.0812,0.8722,0.4739,-0.2034,-0.2208,0.6359,0.7108,-0.2834,0.0462,-0.7894,-0.5425,32.3621240492,97.1404297232,-0.8903322726
0.1057,-0.0628,0.8715,0.4746,-0.1807,-0.1773,0.6508,0.7157,-0.2855,0.0526,-0.7765,-0.5592,33.5132757148,96.1171113086,-1.706669473
0.1063,-0.0635,0.8729,0.4718,-0.1861,-0.1755,0.6558,0.7101,-0.2985,0.0917,-0.7588,-0.5714,37.074817932,95.8232937122,-2.7774098344
0.1065,-0.0642,0.8732,0.471,-0.191,-0.1755,0.6583,0.7066,-0.3064,0.1099,-0.7481,-0.5781,36.8815024974,96.0166158118,-2.022423885
0.1055,-0.0651,0.8754,0.467,-0.1989,-0.1743,0.666,0.6974,-0.3248,0.1412,-0.7268,-0.5883,39.492831204,94.952301283,-3.9720496
0.1065,-0.0644,0.877,0.4639,-0.1985,-0.1711,0.6699,0.6946,-0.3326,0.148,-0.7249,-0.5847,40.7192103,94.428415116,-4.429035132
0.1064,-0.0631,0.8776,0.4631,-0.1985,-0.1688,0.6712,0.6939,-0.3362,0.1504,-0.7247,-0.5822,41.1811516504,94.3712982028,-3.5587116
0.1074,-0.0586,0.8795,0.4598,-0.1921,-0.1604,0.6748,0.6942,-0.3395,0.1502,-0.7284,-0.5756,42.402959614,93.755138883,-4.475615575
0.109,-0.0567,0.8798,0.4591,-0.1895,-0.1586,0.6751,0.695,-0.3432,0.1428,-0.7331,-0.5695,43.8914472144,93.3952998672,-3.644724392
0.1101,-0.0549,0.88,0.4586,-0.1851,-0.1542,0.6761,0.6962,-0.3456,0.1393,-0.7347,-0.5668,43.6299546786,93.4907106742,-3.4008972168
0.1118,-0.0509,0.881,0.4567,-0.1797,-0.1495,0.6768,0.6979,-0.3507,0.1357,-0.7371,-0.5613,44.9915293072,92.8580142264,-3.1588105476
0.109,-0.052,0.8815,0.4562,-0.1807,-0.1516,0.6757,0.6983,-0.3519,0.1321,-0.739,-0.559,45.4027607156,92.59412681,-3.2728797348
0.1074,-0.0516,0.882,0.4558,-0.1809,-0.1553,0.6722,0.7008,-0.3526,0.1283,-0.7413,-0.5563,45.0752856,92.7410356832,-3.1815149944
0.0991,-0.0537,0.8822,0.457,-0.1838,-0.1794,0.6553,0.7103,-0.3453,0.086,-0.7598,-0.5439,44.4244513,93.0143646548,-2.4930183866
0.0949,-0.0561,0.8785,0.4647,-0.1843,-0.1876,0.6472,0.7153,-0.322,0.0363,-0.7821,-0.5322,37.5295827422,95.1684533608,0.6688855174
0.0942,-0.0551,0.876,0.4696,-0.1838,-0.1983,0.6386,0.7204,-0.3096,0.0058,-0.7938,-0.5232,36.5405046494,95.1966754206,-1.2866860092
0.0931,-0.0535,0.8721,0.4772,-0.1861,-0.2218,0.6237,0.726,-0.2813,-0.0648,-0.8056,-0.5173,32.156319246,95.7867686076,3.5503806964
0.09,-0.0556,0.8693,0.4827,-0.1883,-0.2324,0.617,0.7278,-0.2667,-0.0877,-0.8071,-0.5191,25.8851247742,95.1341659474,5.0326383952
0.0899,-0.0571,0.8672,0.4863,-0.1867,-0.2453,0.6082,0.7315,-0.2496,-0.1166,-0.8076,-0.5213,25.40657692,94.981008144,3.281330936
0.0903,-0.0611,0.866,0.4879,-0.187,-0.256,0.6038,0.7313,-0.2369,-0.1389,-0.8089,-0.5197,21.9889466144,94.0320208288,6.51465483
0.0908,-0.0625,0.8656,0.4882,-0.1868,-0.2562,0.6035,0.7315,-0.2341,-0.1425,-0.8098,-0.5187,21.1705635992,93.765426642,5.7128466812
0.0925,-0.062,0.8656,0.488,-0.1848,-0.2524,0.6042,0.7327,-0.2316,-0.1475,-0.8107,-0.517,21.348766789,93.7611776242,5.39292673
0.0968,-0.0581,0.8665,0.4861,-0.1807,-0.2285,0.6106,0.7363,-0.2345,-0.1495,-0.8122,-0.5126,21.970767471,93.6370384274,4.94097189
0.1012,-0.0537,0.8682,0.4826,-0.1785,-0.2153,0.6165,0.7359,-0.2377,-0.1426,-0.8129,-0.5121,25.7552201716,94.0539479968,2.536727266
0.1051,-0.051,0.8693,0.4801,-0.1732,-0.1976,0.6254,0.7346,-0.2447,-0.1266,-0.814,-0.5112,26.2548773652,93.9973704206,2.9622294814
0.1127,-0.0443,0.8716,0.4749,-0.1638,-0.1734,0.6415,0.729,-0.2636,-0.0758,-0.8071,-0.5226,30.8752315872,94.3967591826,-0.9341001486
0.1162,-0.0403,0.8737,0.4706,-0.1595,-0.1625,0.6472,0.7274,-0.2764,-0.0517,-0.8029,-0.5254,36.7737140964,94.201156953,-3.4592283682
0.1168,-0.0388,0.8751,0.468,-0.1588,-0.1528,0.654,0.7235,-0.2965,-0.0131,-0.7955,-0.5281,36.779010231,94.3502558368,-2.1910507414
0.1175,-0.0361,0.8774,0.4636,-0.1594,-0.1431,0.6624,0.7177,-0.3222,0.044,-0.7738,-0.5435,41.0195569998,93.2851787552,-5.3830622974
0.1177,-0.0355,0.8795,0.4596,-0.1591,-0.14,0.6661,0.715,-0.3287,0.0556,-0.77,-0.544,43.2284652066,92.5708373562,-5.570040364
0.1189,-0.0343,0.8804,0.4577,-0.1571,-0.1376,0.6678,0.7144,-0.3354,0.0654,-0.7673,-0.5425,43.3268324488,92.6503585458,-4.6220647162
0.1086,-0.0387,0.8822,0.4564,-0.1633,-0.1639,0.6547,0.7195,-0.3353,0.0371,-0.7764,-0.5321,44.2420952584,92.0640770524,-5.0512982144
