S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0675,-0.0946,0.9411,0.3175,-0.275,-0.0345,0.7973,0.536,0.3101,0.5905,0.6115,0.4257,46.3398991282,95.0592232796,-1.3827473722
-0.0684,-0.0936,0.9409,0.3182,-0.2763,-0.0327,0.797,0.536,0.3094,0.5914,0.6107,0.426,46.986857073,94.257341202,-2.0797148224
-0.0701,-0.0918,0.9406,0.319,-0.277,-0.0296,0.7964,0.5366,0.308,0.5932,0.609,0.4269,46.4324493264,94.7885291136,-1.8809835824
-0.0701,-0.0918,0.9406,0.319,-0.277,-0.0296,0.7964,0.5366,0.308,0.5932,0.609,0.4269,46.8711361846,94.2062522252,-2.4197392698
-0.07,-0.0922,0.9409,0.3181,-0.2766,-0.0292,0.7963,0.5371,0.3079,0.5935,0.6086,0.4271,46.504987478,95.075635174,-2.0130824958
-0.0683,-0.0941,0.9414,0.3163,-0.2748,-0.0311,0.7969,0.5369,0.3089,0.5923,0.6096,0.4265,46.461225946,94.75008283,-2.0185957256
-0.0678,-0.0945,0.9414,0.3164,-0.2744,-0.0314,0.7968,0.5372,0.3092,0.5916,0.61,0.4266,46.1611285908,95.4043407132,-1.5840064696
-0.0679,-0.0941,0.9414,0.3167,-0.2743,-0.0309,0.7969,0.5372,0.3092,0.5917,0.6099,0.4266,46.3389016264,94.77342582,-1.7486990032
-0.0697,-0.0925,0.941,0.3179,-0.2762,-0.0302,0.7965,0.5368,0.3082,0.5935,0.6085,0.4271,46.3502535414,94.8459762394,-1.9028518684
-0.0697,-0.0925,0.941,0.3179,-0.2762,-0.0302,0.7965,0.5368,0.3082,0.5935,0.6085,0.4271,46.6496399332,94.3095208556,-2.3596465636
-0.069,-0.0924,0.9407,0.3188,-0.2757,-0.0305,0.7966,0.537,0.3088,0.5936,0.6078,0.4274,46.5710060394,94.5196244404,-1.8531285326
-0.0681,-0.0932,0.9406,0.3191,-0.2742,-0.0304,0.797,0.5371,0.3093,0.5928,0.6083,0.4273,46.5080002042,94.783643615,-2.0076031736
-0.0677,-0.0932,0.9406,0.3192,-0.2745,-0.0313,0.7972,0.5367,0.3099,0.5926,0.6083,0.4271,46.3303012236,94.683133562,-1.8671836008
-0.0677,-0.0931,0.9406,0.3193,-0.2741,-0.031,0.7974,0.5365,0.3103,0.5926,0.6084,0.4268,46.5001678288,94.5817471432,-2.0191985464
-0.0681,-0.0921,0.9406,0.3195,-0.2739,-0.0292,0.7974,0.5368,0.3103,0.5934,0.6077,0.4268,46.3902448232,94.7831953556,-2.049481009
-0.0682,-0.0915,0.9407,0.3192,-0.2739,-0.0288,0.7974,0.5368,0.3103,0.5939,0.6072,0.4266,46.7623525616,94.6209240608,-2.254872376
-0.0686,-0.0911,0.9408,0.3189,-0.2742,-0.0281,0.7973,0.5369,0.3101,0.5942,0.6069,0.4267,46.8562004196,94.8365856256,-2.2022197528
-0.0687,-0.0908,0.9411,0.3182,-0.2741,-0.0277,0.7974,0.5367,0.3098,0.5948,0.6068,0.4265,46.4750868516,94.7911333472,-2.0936918604
-0.0698,-0.0901,0.9414,0.3174,-0.2748,-0.0266,0.7976,0.5362,0.309,0.5958,0.6066,0.426,46.7172507876,94.9508990632,-2.3598335324
-0.07,-0.0899,0.9414,0.3173,-0.275,-0.0261,0.7973,0.5365,0.3088,0.596,0.6063,0.4262,46.5730755826,94.9544773728,-2.3440393852
-0.07,-0.0897,0.9415,0.3171,-0.275,-0.0261,0.7973,0.5366,0.3087,0.5963,0.606,0.4263,46.4908179132,94.7601809328,-2.2126067996
-0.07,-0.0894,0.9417,0.3165,-0.2755,-0.0259,0.7969,0.5368,0.3082,0.5967,0.6056,0.4266,46.5780656092,94.9753938984,-2.1194941644
-0.0698,-0.0892,0.9418,0.3161,-0.2754,-0.0256,0.797,0.5368,0.3082,0.5967,0.6056,0.4266,46.6804594352,95.0891734854,-1.9967529476
-0.0708,-0.0886,0.9419,0.316,-0.2759,-0.0252,0.7968,0.5369,0.3076,0.5973,0.6052,0.4268,46.5338972832,94.794783595,-2.2004658616
-0.072,-0.0877,0.9421,0.3154,-0.2764,-0.0238,0.7966,0.5369,0.3068,0.5985,0.6044,0.4268,46.8739757734,95.002673364,-2.2606042402
-0.0723,-0.0875,0.9419,0.3158,-0.2766,-0.0236,0.7963,0.5372,0.3065,0.5988,0.6041,0.4271,46.8861171882,94.879108903,-2.1812820096
-0.0717,-0.0875,0.9419,0.3161,-0.2765,-0.0237,0.7962,0.5375,0.3066,0.5988,0.6038,0.4273,46.4976909106,94.8075111006,-2.268597664
-0.0714,-0.0877,0.9417,0.3166,-0.2762,-0.024,0.7964,0.5373,0.307,0.5985,0.6041,0.4271,46.465619672,94.6745460516,-2.012696036
-0.0717,-0.0877,0.9415,0.3171,-0.2764,-0.0238,0.7965,0.537,0.3072,0.5986,0.604,0.427,46.0067500304,94.4576911058,-2.719527463
-0.0715,-0.088,0.9415,0.317,-0.2764,-0.0238,0.7971,0.5362,0.3074,0.5985,0.6043,0.4266,46.5151621072,94.7731134448,-2.3634540672
-0.0703,-0.0889,0.9415,0.3171,-0.2763,-0.0247,0.7974,0.5357,0.3082,0.598,0.6047,0.4262,45.7638117968,94.5726092576,-2.8707064944
