seconds,S8.x,S8.y,S8.z,S9.x,S9.y,S9.z,S10.x,S10.y,S10.z,S11.x,S11.y,S11.z,middle_pose.position.x,middle_pose.position.y,middle_pose.position.z,middle_pose.orientation.x,middle_pose.orientation.y,middle_pose.orientation.z,index_pose.position.x, index_pose.position.y, index_pose.position.z,index_pose.orientation.x, index_pose.orientation.y, index_pose.orientation.z,thumb_pose.position.x, thumb_pose.position.y, thumb_pose.position.z,thumb_pose.orientation.x, thumb_pose.orientation.y, thumb_pose.orientation.z,wrist_pose.position.x,wrist_pose.position.y,wrist_pose.position.z,wrist_pose.orientation.x,wrist_pose.orientation.y,wrist_pose.orientation.z, 
1565367265.67,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1565367265.69,136.101817323,10.2602267669,163.334351676,117.398770296,20.1936583371,-150.707730948,121.461053053,2.08141511707,152.468901932,108.194007003,-15.4009031999,-158.959524591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026744510769,0.0824645454924,-0.0274772734866,124.117408523,-76.6040561782,59.5623787371,0.03022,0.08857,-1.24294,5.61237219901,-50.3656791374,42.7263846255,
1565367265.71,136.052723486,10.3730553399,163.380654659,117.264295745,20.1855394967,-150.967952282,121.254396205,2.05537156805,152.77397242,107.728391513,-14.9330905185,-158.367765334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209768655622,0.0826082906118,-0.0260306406408,143.509577799,-76.3490157506,49.2223748981,0.02977,0.08867,-1.24321,6.39479534791,-50.6579032182,43.0994332441,
1565367265.73,135.513451189,10.0711271325,163.688513006,116.998228744,19.7495667746,-151.369363605,121.415712141,2.30123407345,153.416090008,107.835555017,-15.1862553301,-158.022793736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216099252734,0.0816296244622,-0.0276516172588,141.52671214,-75.3603918201,50.8812078072,0.02977,0.08867,-1.24321,6.39479534791,-50.6579032182,43.0994332441,
1565367265.75,135.339818777,9.90519650965,163.920662494,117.45388469,19.5790775428,-151.23467116,121.610113475,2.49216857984,153.487036684,108.05303907,-15.2378906941,-158.086209973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216099252734,0.0816296244622,-0.0276516172588,141.52671214,-75.3603918201,50.8812078072,0.02977,0.08867,-1.24321,6.39479534791,-50.6579032182,43.0994332441,
1565367265.77,135.541027493,9.97045448188,163.934304258,117.668766715,19.5969864356,-151.195173042,121.839802722,2.84341816264,153.540072269,108.407056181,-15.2528751563,-158.326260241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187886517332,0.0814115767964,-0.0274333331432,147.33434701,-73.8142562606,49.0250829153,0.02935,0.08859,-1.24304,6.20402447856,-50.5174848181,43.3593469512,
1565367265.79,135.967259854,10.3276084853,163.67374712,117.837282494,19.9285643774,-151.224954826,121.895640016,3.3770133807,153.20973107,108.232165754,-15.2778430681,-158.717440168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187886517332,0.0814115767964,-0.0274333331432,147.33434701,-73.8142562606,49.0250829153,0.02935,0.08859,-1.24304,6.20402447856,-50.5174848181,43.3593469512,
1565367265.81,135.996920979,10.3781569543,163.345352819,117.635254017,20.2995490182,-151.226618512,121.822973673,3.60699972883,153.041959525,108.062593844,-15.3059559068,-159.00900494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201960411884,0.081258982192,-0.0279333973156,143.948845944,-74.7345578426,51.6016107163,0.02934,0.08855,-1.24345,5.84944410525,-50.4045436509,43.5058918809,
1565367265.83,136.02992686,10.4403033751,163.074301516,117.501100903,20.5133124967,-151.438929514,121.533084808,3.79598494547,152.887259026,108.16523144,-15.9287088032,-160.160351506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020708507142,0.0813941047064,-0.0273155886044,144.157630127,-75.0005670255,51.3200208992,0.02934,0.08855,-1.24345,5.84944410525,-50.4045436509,43.5058918809,
1565367265.85,136.593788716,10.2423129517,162.430264249,117.522077947,21.1359580376,-150.942530128,120.915046889,3.52316137245,152.573590826,109.595660223,-17.1260341925,-162.469002959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020708507142,0.0813941047064,-0.0273155886044,144.157630127,-75.0005670255,51.3200208992,0.02934,0.08855,-1.24345,5.84944410525,-50.4045436509,43.5058918809,
1565367265.87,137.091161584,10.2176310085,162.240427318,117.903451732,21.5428343725,-150.599610517,120.649718955,3.50749912941,152.821690222,110.14102232,-17.3765584236,-163.091232264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027558429066,0.0811664454468,-0.0281895474328,127.479043113,-76.457568175,60.1190292219,0.0298,0.08842,-1.24362,5.97673185289,-50.197921714,42.9123661467,
1565367265.89,137.217872716,10.2528276906,162.196465804,118.017171478,21.6608294748,-150.542198171,120.324062625,3.52520390972,152.838242982,110.025927179,-17.4379573432,-162.976207697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027558429066,0.0811664454468,-0.0281895474328,127.479043113,-76.457568175,60.1190292219,0.0298,0.08842,-1.24362,5.97673185289,-50.197921714,42.9123661467,
1565367265.91,136.619795225,10.1955691521,162.204449042,117.801895588,21.6396094279,-150.570394491,121.057440356,2.70992833384,152.886705669,109.249045297,-17.4409791929,-161.515984592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314696555056,0.0810192816028,-0.0289336633916,114.664838369,-75.568163217,66.9242470882,0.03018,0.08847,-1.24291,5.7288510555,-50.7475414072,42.4666540989,
1565367265.93,136.188670228,9.99172681672,162.398335966,117.628988564,21.4296702028,-150.69952623,121.432978974,2.40664214605,152.939759479,109.004791138,-17.343954508,-161.082262448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301124204328,0.081636332286,-0.0286350211496,117.783269451,-75.8681655347,64.1281347021,0.03018,0.08847,-1.24291,5.7288510555,-50.7475414072,42.4666540989,
1565367265.95,136.038966784,9.92263966524,162.491521003,117.369173374,20.9572617775,-150.815597783,122.392525052,1.83846291023,152.905730665,108.817357246,-16.9093252347,-160.355072822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301124204328,0.081636332286,-0.0286350211496,117.783269451,-75.8681655347,64.1281347021,0.03018,0.08847,-1.24291,5.7288510555,-50.7475414072,42.4666540989,
1565367265.97,135.702099618,10.0370691078,162.69480012,117.222136977,20.3633698597,-151.22829093,123.712987855,1.99459998133,153.228211078,108.482564579,-16.1197741082,-159.476822786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259683206244,0.081796438541,-0.0277786061398,132.110792565,-75.030159142,56.575842166,0.03022,0.08857,-1.24233,6.09229863186,-50.5211332052,42.5433982301,
1565367265.99,135.707493564,10.1245653696,162.782821731,117.206105738,20.1614231583,-151.403237389,123.741078728,2.08143755359,153.279772662,108.301114271,-15.8846090709,-159.274079847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259683206244,0.081796438541,-0.0277786061398,132.110792565,-75.030159142,56.575842166,0.03022,0.08857,-1.24233,6.09229863186,-50.5211332052,42.5433982301,
1565367266.01,135.715936508,10.1034894251,162.793738934,117.171378575,20.1195587544,-151.423646788,123.418970899,2.13220599578,153.513740846,108.253181678,-15.8724452272,-159.198646065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219446231736,0.0818438314416,-0.0273271475414,139.216272146,-75.5498916267,54.6401362968,0.03002,0.08879,-1.24261,6.40902379128,-50.7314269705,42.8252320375,
1565367266.03,135.741074947,10.0123922874,162.872015801,117.063562943,20.1733642799,-151.399137961,123.239318473,2.09087108307,153.534325489,108.395450071,-15.7110079489,-159.497836334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223533359384,0.081231473838,-0.0279513593944,138.616367285,-75.0028687681,55.0189858231,0.03002,0.08879,-1.24261,6.40902379128,-50.7314269705,42.8252320375,
1565367266.05,135.954658913,10.0795661275,162.788629774,117.071551726,20.2805257824,-151.398975417,123.194297748,2.14174932872,153.474604329,108.484104407,-15.5011082269,-159.915902619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223533359384,0.081231473838,-0.0279513593944,138.616367285,-75.0028687681,55.0189858231,0.03002,0.08879,-1.24261,6.40902379128,-50.7314269705,42.8252320375,
1565367266.07,136.091857957,10.1113437484,162.733883383,117.046394953,20.5687156527,-151.454804764,122.996975774,2.28514092886,153.473700537,108.504856232,-15.3931465758,-160.199791438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223533359384,0.081231473838,-0.0279513593944,138.616367285,-75.0028687681,55.0189858231,0.02998,0.08882,-1.24321,6.29211858954,-50.5419100324,42.964892814,
1565367266.09,136.422893891,10.293344004,162.42162139,116.861336279,21.2720875644,-151.465761088,121.921480671,2.64190751401,153.141236012,108.360706643,-15.300223803,-161.695965736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218451122528,0.0814219217592,-0.027903579544,140.15220257,-75.345588453,54.1437884729,0.02998,0.08882,-1.24321,6.29211858954,-50.5419100324,42.964892814,
1565367266.11,136.722802931,10.3789542329,162.057325099,116.804554633,21.5283880977,-151.483388683,121.279493522,2.70630323807,153.030299464,108.332779929,-15.3972710599,-162.18727061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024966560616,0.0818585326408,-0.0266955648456,133.409352006,-77.2936397632,58.1480126093,0.02985,0.08871,-1.24364,6.53194228794,-50.4538395461,42.8692415182,
1565367266.13,136.855018636,10.4010531626,161.905769339,116.63169118,21.9217039785,-151.459778593,120.338011868,2.81952715677,152.720583533,108.313927053,-15.5847167317,-162.927361882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253419394484,0.0818160076956,-0.0267581229776,132.714760627,-77.1905753525,58.8923105455,0.02985,0.08871,-1.24364,6.53194228794,-50.4538395461,42.8692415182,
1565367266.15,136.875078624,10.3406099686,161.70949746,116.475091227,22.0891392601,-151.459237092,120.017768278,2.72004932304,152.697635499,108.124631468,-15.6495174486,-162.719402656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253419394484,0.0818160076956,-0.0267581229776,132.714760627,-77.1905753525,58.8923105455,0.02985,0.08871,-1.24364,6.53194228794,-50.4538395461,42.8692415182,
1565367266.17,136.790684718,10.3457555702,161.720116591,116.358904187,22.0057180165,-151.546785841,120.027948745,2.6273570595,152.793115763,107.92509719,-15.5061745929,-162.434657018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253419394484,0.0818160076956,-0.0267581229776,132.714760627,-77.1905753525,58.8923105455,0.02985,0.08871,-1.24364,6.53194228794,-50.4538395461,42.8692415182,
1565367266.19,136.674269249,10.3577664879,161.721584611,116.34533417,21.9301934911,-151.649345385,120.276724816,2.54679304546,152.840643596,107.741513081,-15.2888163299,-161.96575263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292683286346,0.0816708873752,-0.0264699831882,125.155698646,-77.0588489701,61.2094020599,0.0299,0.08859,-1.24327,7.05878490558,-50.56228264,42.4106891924,
1565367266.21,136.28210707,10.3914827025,161.872872923,116.04783836,21.0586431034,-152.179731112,121.844132033,2.09952282283,153.094806013,107.153462254,-14.9073180047,-159.940750835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292683286346,0.0816708873752,-0.0264699831882,125.155698646,-77.0588489701,61.2094020599,0.0299,0.08859,-1.24327,7.05878490558,-50.56228264,42.4106891924,
