folder,err_independant_train,err_all_dimenssion_regression_train,err_time_series_train,dataset,err_indep_regression_test_t,err_regression_test_t,err_time_series_test_t
1,43.8397,42.6481,17.9882,1,154.9537,140.3346,40.3435
1,43.8397,42.6481,17.9882,2,77.5611,80.6611,49.4369
1,43.8397,42.6481,17.9882,3,66.4303,63.0386,21.6749
1,43.8397,42.6481,17.9882,4,102.9096,102.6786,22.721
1,43.8397,42.6481,17.9882,5,93.0115,96.0762,23.1989
1,49.0944,44.4495,18.4957,1,133.6533,128.3136,56.5316
1,49.0944,44.4495,18.4957,2,78.2045,80.6136,56.7681
1,49.0944,44.4495,18.4957,3,53.0626,67.9152,29.6414
1,49.0944,44.4495,18.4957,4,73.9025,111.5189,24.9393
1,49.0944,44.4495,18.4957,5,58.9912,117.366,26.167
1,48.464,49.4169,17.7608,1,128.4129,133.0373,44.5548
1,48.464,49.4169,17.7608,2,80.4412,79.0888,35.224
1,48.464,49.4169,17.7608,3,52.1237,54.8507,24.0722
1,48.464,49.4169,17.7608,4,83.8292,79.6635,27.9211
1,48.464,49.4169,17.7608,5,64.4803,61.4406,26.8484
1,49.2407,43.9294,19.627,1,144.9455,100.02,39.6183
1,49.2407,43.9294,19.627,2,79.8751,90.8929,33.2952
1,49.2407,43.9294,19.627,3,51.9375,74.1626,26.9208
1,49.2407,43.9294,19.627,4,75.5882,109.6894,31.8472
1,49.2407,43.9294,19.627,5,59.6164,91.6259,31.0633
1,49.4791,41.6058,19.3111,1,132.6099,142.7197,57.1781
1,49.4791,41.6058,19.3111,2,79.0936,81.6242,45.3559
1,49.4791,41.6058,19.3111,3,50.3926,75.651,24.1991
1,49.4791,41.6058,19.3111,4,73.6767,121.9464,32.976
1,49.4791,41.6058,19.3111,5,58.5163,101.5085,27.7291
2,25.3517,25.5201,22.654,1,135.4306,129.6207,86.1266
2,25.3517,25.5201,22.654,2,78.5788,78.1592,39.2835
2,25.3517,25.5201,22.654,3,49.2715,48.686,29.307
2,25.3517,25.5201,22.654,4,85.49,87.7798,53.4502
2,25.3517,25.5201,22.654,5,64.9792,66.0312,33.6469
2,25.5626,25.4343,21.6432,1,135.1806,127.0933,50.8911
2,25.5626,25.4343,21.6432,2,77.3554,77.974,31.5048
2,25.5626,25.4343,21.6432,3,49.322,50.5445,22.6971
2,25.5626,25.4343,21.6432,4,88.3074,90.6987,25.2434
2,25.5626,25.4343,21.6432,5,67.3554,69.0987,19.5871
2,25.1493,25.1421,22.5032,1,124.7858,141.5804,81.0146
2,25.1493,25.1421,22.5032,2,76.1885,78.5396,31.7191
2,25.1493,25.1421,22.5032,3,48.5105,50.4147,35.5803
2,25.1493,25.1421,22.5032,4,86.391,90.2369,43.3136
2,25.1493,25.1421,22.5032,5,67.5066,66.9074,32.2036
2,25.3881,25.5273,21.8867,1,134.965,130.9198,52.8368
2,25.3881,25.5273,21.8867,2,78.5811,78.5611,32.0335
2,25.3881,25.5273,21.8867,3,49.2459,50.0376,27.743
2,25.3881,25.5273,21.8867,4,88.9084,89.2426,30.1558
2,25.3881,25.5273,21.8867,5,66.4978,68.0892,32.7292
2,25.5843,25.3556,21.6304,1,135.7142,136.302,69.2466
2,25.5843,25.3556,21.6304,2,79.9417,78.7154,45.8211
2,25.5843,25.3556,21.6304,3,49.5331,51.2048,32.9232
2,25.5843,25.3556,21.6304,4,87.2084,89.6115,37.8831
2,25.5843,25.3556,21.6304,5,65.9386,66.269,30.2314
3,25.595,25.4927,21.5221,1,152.1542,143.875,64.196
3,25.595,25.4927,21.5221,2,80.0368,85.6235,102.3004
3,25.595,25.4927,21.5221,3,42.8241,45.1976,29.1861
3,25.595,25.4927,21.5221,4,89.159,91.03,61.2229
3,25.595,25.4927,21.5221,5,71.4573,76.7343,46.4303
3,26.5923,25.4549,21.6076,1,154.5495,143.141,144.0163
3,26.5923,25.4549,21.6076,2,80.4651,84.7455,90.2453
3,26.5923,25.4549,21.6076,3,42.5783,42.6542,29.8541
3,26.5923,25.4549,21.6076,4,87.088,91.1766,92.979
3,26.5923,25.4549,21.6076,5,73.4206,72.4119,51.726
3,26.2785,25.5654,21.0753,1,172.3789,144.0378,163.6545
3,26.2785,25.5654,21.0753,2,82.0678,83.8767,95.6336
3,26.2785,25.5654,21.0753,3,42.4106,42.7601,34.5704
3,26.2785,25.5654,21.0753,4,91.2734,94.036,57.438
3,26.2785,25.5654,21.0753,5,75.0769,77.4481,36.469
3,26.9151,25.5585,21.4699,1,162.279,146.3794,107.1885
3,26.9151,25.5585,21.4699,2,79.0397,87.7496,54.9492
3,26.9151,25.5585,21.4699,3,41.6223,43.9893,25.2434
3,26.9151,25.5585,21.4699,4,84.5898,91.4034,43.5404
3,26.9151,25.5585,21.4699,5,71.398,75.9483,31.9606
3,26.8561,25.4188,21.1502,1,148.5962,144.9897,51.7798
3,26.8561,25.4188,21.1502,2,81.3821,87.1506,54.0431
3,26.8561,25.4188,21.1502,3,42.305,42.2209,24.8379
3,26.8561,25.4188,21.1502,4,89.3209,93.3707,43.246
3,26.8561,25.4188,21.1502,5,75.1239,74.5758,33.4392
4,37.3908,37.3669,18.2464,1,220.0557,251.9175,107.7328
4,37.3908,37.3669,18.2464,2,99.8646,101.0806,65.5952
4,37.3908,37.3669,18.2464,3,79.2195,79.6127,21.7296
4,37.3908,37.3669,18.2464,4,36.1303,37.8887,23.3135
4,37.3908,37.3669,18.2464,5,39.9451,42.5013,19.9717
4,37.8884,37.6957,18.2871,1,269.9075,268.8505,56.9558
4,37.8884,37.6957,18.2871,2,103.6676,109.9029,51.4615
4,37.8884,37.6957,18.2871,3,79.1213,77.8434,26.9003
4,37.8884,37.6957,18.2871,4,36.4,35.6551,26.8722
4,37.8884,37.6957,18.2871,5,40.88,42.6652,21.6761
4,38.1592,37.3885,18.1964,1,315.6565,256.613,122.3806
4,38.1592,37.3885,18.1964,2,114.0946,102.3779,58.8754
4,38.1592,37.3885,18.1964,3,82.0184,77.6599,34.131
4,38.1592,37.3885,18.1964,4,37.7542,37.8974,23.0682
4,38.1592,37.3885,18.1964,5,41.221,41.9241,28.0631
4,37.5282,37.5211,17.8261,1,341.0252,265.9096,100.9308
4,37.5282,37.5211,17.8261,2,118.9246,103.6657,92.9741
4,37.5282,37.5211,17.8261,3,86.6148,79.254,24.9503
4,37.5282,37.5211,17.8261,4,37.5729,37.1985,24.0282
4,37.5282,37.5211,17.8261,5,41.2522,41.2186,20.4785
4,37.6564,37.5582,18.4614,1,274.5923,267.5348,60.0241
4,37.6564,37.5582,18.4614,2,101.1836,101.5166,77.3126
4,37.6564,37.5582,18.4614,3,77.0165,79.9871,27.9488
4,37.6564,37.5582,18.4614,4,36.8797,38.1772,29.9967
4,37.6564,37.5582,18.4614,5,41.3513,44.245,27.9588
5,36.6818,36.3415,21.3431,1,258.2177,237.2429,156.4003
5,36.6818,36.3415,21.3431,2,115.8363,101.9284,57.1082
5,36.6818,36.3415,21.3431,3,81.0532,77.3233,35.2772
5,36.6818,36.3415,21.3431,4,34.8212,34.2462,35.5996
5,36.6818,36.3415,21.3431,5,40.7498,40.527,28.2992
5,36.7898,36.6332,20.7538,1,247.9714,238.7573,155.5943
5,36.7898,36.6332,20.7538,2,112.9628,107.9889,80.0175
5,36.7898,36.6332,20.7538,3,78.9319,79.2653,34.3277
5,36.7898,36.6332,20.7538,4,34.9494,35.0301,24.1577
5,36.7898,36.6332,20.7538,5,41.0182,41.7853,28.4468
5,36.6789,36.6372,21.5801,1,249.3172,231.4791,121.0263
5,36.6789,36.6372,21.5801,2,114.9928,101.7114,76.5012
5,36.6789,36.6372,21.5801,3,80.8188,77.432,53.7064
5,36.6789,36.6372,21.5801,4,34.8339,35.7431,28.0068
5,36.6789,36.6372,21.5801,5,40.9556,41.5259,36.2701
5,36.7956,36.6259,21.8689,1,271.9083,251.7027,77.9843
5,36.7956,36.6259,21.8689,2,117.4862,108.8059,42.8084
5,36.7956,36.6259,21.8689,3,78.9742,76.7742,24.0231
5,36.7956,36.6259,21.8689,4,34.3489,35.0848,26.1885
5,36.7956,36.6259,21.8689,5,40.4736,41.4288,27.8265
5,36.6976,32.1708,23.0608,1,258.076,189.8586,105.4621
5,36.6976,32.1708,23.0608,2,115.7975,116.2099,56.6571
5,36.6976,32.1708,23.0608,3,79.7888,73.6691,40.5946
5,36.6976,32.1708,23.0608,4,34.783,41.0141,30.239
5,36.6976,32.1708,23.0608,5,40.512,46.2152,34.1302
